step,value
250,-4.8381584747403394e-06
500,-0.0012095454148948193
750,-0.00103282043710351
1000,-0.0011917449301108718
1250,-0.0011366824619472027
1500,-0.0012542394688352942
1750,-0.0012580055044963956
2000,-0.001259072800166905
2250,-0.0012515694834291935
2500,-0.001241430756635964
2750,-0.0012296703644096851
3000,-0.0012268255231902003
3250,-0.0012223640223965049
3500,-0.0012140740873292089
3750,-0.00120652059558779
4000,-0.0012088798684999347
4250,-0.0011849197326228023
4500,-0.0011826448608189821
4750,-0.0011632547248154879
5000,-0.0011752794962376356
5250,-0.0011648198124021292
5500,-0.0011328470427542925
5750,-0.0011249750386923552
6000,-0.0011096562957391143
6250,-0.0011126977624371648
6500,-0.0011136035900563002
6750,-0.001099980901926756
7000,-0.0010892358841374516
7250,-0.0010997967328876257
7500,-0.0010870062978938222
7750,-0.001096067950129509
8000,-0.0010666901944205165
8250,-0.0010726877953857183
8500,-0.0010441496269777417
8750,-0.001054997555911541
9000,-0.0010456531308591366
9250,-0.001056827837601304
9500,-0.001040650182403624
9750,-0.0010210839100182056
10000,-0.0010174803901463747
10250,-0.0010020920308306813
10500,-0.0009793764911592007
10750,-0.0009741372778080404
11000,-0.0009153196006081998
11250,-0.0009297876968048513
11500,-0.0009211615542881191
11750,-0.0009325970895588398
12000,-0.0008916937513276935
12250,-0.0008856424828991294
12500,-0.0008867164142429829
12750,-0.0008553053485229611
13000,-0.0008908940362744033
13250,-0.000839213898871094
13500,-0.0008755566086620092
13750,-0.0008406884153373539
14000,-0.0008553930674679577
14250,-0.000860490370541811
14500,-0.0008342697401531041
14750,-0.0008290457772091031
15000,-0.0008460632525384426
15250,-0.0008250308455899358
15500,-0.0008213560795411468
15750,-0.0008193434332497418
16000,-0.0008215912384912372
16250,-0.0007948976126499474
16500,-0.0008159482385963202
16750,-0.0007677153334952891
17000,-0.0007815729477442801
17250,-0.0007739656721241772
17500,-0.0007704469608142972
17750,-0.0007645658333785832
18000,-0.0007590706227347255
18250,-0.0007627205923199654
18500,-0.0007558798533864319
18750,-0.0007480336935259402
19000,-0.0007236500387080014
19250,-0.0007308824569918215
19500,-0.0007342242170125246
19750,-0.0007242031861096621
20000,-0.0007073356537148356
20250,-0.0007126523414626718
20500,-0.0007164421258494258
20750,-0.0006791313644498587
21000,-0.0006910811644047499
21250,-0.0006964331259950995
21500,-0.0006660367944277823
21750,-0.0006622610380873084
22000,-0.00066167808836326
22250,-0.0006477870047092438
22500,-0.0006701502134092152
22750,-0.0006460795411840081
23000,-0.0006716386415064335
23250,-0.0006319651147350669
23500,-0.0006254992913454771
23750,-0.0006001704605296254
24000,-0.0006115057040005922
24250,-0.00063874147599563
24500,-0.0006077798316255212
24750,-0.0006038855644874275
25000,-0.0006209069979377091
25250,-0.0006031898665241897
25500,-0.0005952900392003357
25750,-0.0005712708807550371
26000,-0.0005847358261235058
26250,-0.0005790327559225261
26500,-0.0005829833680763841
26750,-0.0005795171018689871
27000,-0.0005782583612017334
27250,-0.0005371015868149698
27500,-0.0005626209313049912
27750,-0.0005902955308556557
28000,-0.0005784328677691519
28250,-0.0005691817495971918
28500,-0.0005444895941764116
28750,-0.0005739220068790019
29000,-0.0005317659815773368
29250,-0.0005120007554069161
29500,-0.0005358541966415942
29750,-0.0005436325445771217
30000,-0.0005249348469078541
30250,-0.0005105059826746583
30500,-0.0005655654822476208
30750,-0.0005124252638779581
31000,-0.0005094329244457185
31250,-0.000504399708006531
31500,-0.0005377477500587702
31750,-0.0005446068244054914
32000,-0.0004982203827239573
32250,-0.0005360772483982146
32500,-0.0004930116701871157
32750,-0.00048350164433941245
33000,-0.000490224570967257
33250,-0.0004797915171366185
33500,-0.00048341037472710013
33750,-0.0005001543322578073
34000,-0.0004801630857400596
34250,-0.000488664023578167
34500,-0.0004994126502424479
34750,-0.0004787395882885903
35000,-0.0004792023391928524
35250,-0.0004708553897216916
35500,-0.0004812049737665802
35750,-0.0005060618277639151
36000,-0.000479430629638955
36250,-0.0004589441232383251
36500,-0.00048184223123826087
36750,-0.0004791831015609205
37000,-0.0004946143017150462
37250,-0.00047074619214981794
37500,-0.000507691758684814
37750,-0.0004896222962997854
38000,-0.0004766274068970233
38250,-0.0004633567587006837
38500,-0.0004738772113341838
38750,-0.0004598616505973041
39000,-0.0004635113291442394
39250,-0.0004676588287111372
39500,-0.00045274881995283067
39750,-0.0004909595591016114
40000,-0.00047338861622847617
40250,-0.0004595407226588577
40500,-0.0004679000994656235
40750,-0.00046709200250916183
41000,-0.0004480546631384641
41250,-0.0004741527372971177
41500,-0.0004726112529169768
41750,-0.00047838877071626484
42000,-0.0004934685421176255
42250,-0.00047586869914084673
42500,-0.00048724314547143877
42750,-0.0004935541655868292
43000,-0.00047478958731517196
43250,-0.00048346060793846846
43500,-0.000467597390525043
43750,-0.0004714418319053948
44000,-0.00048129886272363365
44250,-0.00048380307271145284
44500,-0.00047874246956780553
44750,-0.0004779467999469489
45000,-0.00046190706780180335
45250,-0.000494732812512666
45500,-0.00047996282228268683
45750,-0.00048409480950795114
46000,-0.000502800743561238
46250,-0.0004993684124201536
46500,-0.0004892286378890276
46750,-0.000490501697640866
47000,-0.0005065255681984127
47250,-0.0004803596530109644
47500,-0.0004977400531060994
47750,-0.0004978409851901233
48000,-0.0005099620902910829
48250,-0.0004821847833227366
48500,-0.000503014016430825
48750,-0.0004969323053956032
49000,-0.00048745013191364706
49250,-0.0005033539491705596
49500,-0.0005049839965067804
49750,-0.0004919407656416297
50000,-0.0004856333544012159
50250,-0.0004921741201542318
50500,-0.000493789731990546
50750,-0.0005002043908461928
51000,-0.0005007286090403795
51250,-0.0004973812028765678
51500,-0.0005105694872327149
51750,-0.0005237127770669758
52000,-0.0005114604136906564
52250,-0.0005104020237922668
52500,-0.0004889632691629231
52750,-0.0005143051967024803
53000,-0.0005160658620297909
53250,-0.0005001958925276995
53500,-0.0005262745544314384
53750,-0.0005009787855669856
54000,-0.000477110268548131
54250,-0.000472509884275496
54500,-0.00048272087587974966
54750,-0.0005038233357481658
55000,-0.0005062601412646472
55250,-0.0005065309233032167
55500,-0.0004985887208022177
55750,-0.0005123891751281917
56000,-0.0004980057128705084
56250,-0.0005240750615485013
56500,-0.000512836268171668
56750,-0.0005198233411647379
57000,-0.0005240244208835065
57250,-0.0005166175542399287
57500,-0.00052182178478688
