step,value
250,-2.4007280444493517e-05
500,-0.006006328389048576
750,-0.023706061765551567
1000,-0.027953797951340675
1250,-0.034213095903396606
1500,-0.02222209982573986
1750,-0.02051367051899433
2000,-0.022252077236771584
2250,-0.019075609743595123
2500,-0.026189230382442474
2750,-0.018764086067676544
3000,-0.014091387391090393
3250,-0.017640164121985435
3500,-0.019792228937149048
3750,-0.01288482453674078
4000,-0.012247721664607525
4250,-0.007149947341531515
4500,-0.007953783497214317
4750,-0.004857881926000118
5000,-0.005887200124561787
5250,-0.005737410858273506
5500,-0.002965008607134223
5750,-0.0013866630615666509
6000,-0.0024127827491611242
6250,-0.0017845516558736563
6500,-0.0016143358079716563
6750,-0.0009646275429986417
7000,-0.0006766350707039237
7250,-0.0004960366641171277
7500,-0.0003997059538960457
7750,-0.0003251352463848889
8000,-0.00039162265602499247
8250,-0.0001680472632870078
8500,-0.00015280189109034836
8750,-0.0001265261380467564
9000,-0.00012806087033823133
9250,-0.00013434208813123405
9500,-0.0001611217448953539
9750,-0.00011476863437565044
10000,-0.00010548798309173435
10250,-6.668546120636165e-05
10500,-0.00011305889347568154
10750,-6.896477134432644e-05
11000,-3.894806286552921e-05
11250,-5.528514884645119e-05
11500,-2.9763568818452768e-05
11750,-3.955977445002645e-05
12000,-3.002504126925487e-05
12250,-1.5897927369223908e-05
12500,-1.8492588424123824e-05
12750,-1.538848300697282e-05
13000,-3.5012883017770946e-05
13250,-9.136386324826162e-06
13500,-2.7163778213434853e-05
13750,-1.0599677807476837e-05
14000,-8.043309208005667e-06
14250,-7.976807864906732e-06
14500,-3.561267294571735e-05
14750,-8.544818228983786e-06
15000,-1.0182466212427244e-05
15250,-8.070220246736426e-06
15500,-6.409379238903057e-06
15750,-6.411215508705936e-06
16000,-4.972338501829654e-06
16250,-4.725643066194607e-06
16500,-4.87584793518181e-06
16750,-3.772503760046675e-06
17000,-3.078548616031185e-06
17250,-3.6736273614224046e-06
17500,-3.127481932096998e-06
17750,-2.4816825316520408e-05
18000,-5.429094017017633e-06
18250,-4.1468924791843165e-06
18500,-1.1501548215164803e-05
18750,-5.065489403932588e-06
19000,-6.229737209650921e-06
19250,-6.71459974910249e-06
19500,-1.4429034308705013e-05
19750,-2.166519516322296e-05
20000,-1.8163742424803786e-05
20250,-1.107074785977602e-05
20500,-1.666695243329741e-05
20750,-2.3981645426829346e-05
21000,-1.7043888874468394e-05
21250,-3.148607720504515e-05
21500,-1.7865668269223534e-05
21750,-1.784699816198554e-05
22000,-2.5369381546624936e-05
22250,-9.600960765965283e-06
22500,-8.778833944234066e-06
22750,-8.872568287188187e-06
23000,-1.4270484825829044e-05
23250,-2.3430271539837122e-05
23500,-1.0185181963606738e-05
23750,-1.7961168850888498e-05
24000,-1.9492632418405265e-05
24250,-9.458569365961011e-06
24500,-4.960472506354563e-05
