step,value
250,-0.0003134378930553794
500,-0.07846438884735107
750,-0.059883348643779755
1000,-0.15508636832237244
1250,-0.08275114744901657
1500,-0.059298690408468246
1750,-0.08702301979064941
2000,-0.07736863195896149
2250,-0.2475791573524475
2500,-0.12826792895793915
2750,-0.06770168989896774
3000,-0.06726574152708054
3250,-0.16676409542560577
3500,-0.05021576210856438
3750,-0.048520527780056
4000,-0.11713137477636337
4250,-0.03868161514401436
4500,-0.09848791360855103
4750,-0.02804885432124138
5000,-0.02818969078361988
5250,-0.01482384093105793
5500,-0.02111087180674076
5750,-0.019786374643445015
6000,-0.016188420355319977
6250,-0.008041187189519405
6500,-0.015646325424313545
6750,-0.017597967758774757
7000,-0.013870544731616974
7250,-0.07377944886684418
7500,-0.0126640684902668
7750,-0.008621226996183395
8000,-0.004072663374245167
8250,-0.005661150440573692
8500,-0.006876772735267878
8750,-0.0013169226003810763
9000,-0.0008738458273001015
9250,-5.072981002740562e-05
9500,-0.00720860343426466
9750,-0.000721656484529376
10000,-0.002297199796885252
10250,-0.00644600298255682
10500,-0.0006248521385714412
10750,-0.004445606376975775
11000,-0.15811394155025482
11250,-0.004675108473747969
11500,-0.005291994195431471
11750,-0.005423830356448889
12000,-0.009815949015319347
12250,-0.00827172864228487
12500,-0.005353456828743219
12750,-0.12038853019475937
13000,-0.002932545728981495
13250,-0.006040241569280624
13500,-0.03175099939107895
13750,-0.004328210838139057
14000,-0.003766467794775963
14250,-0.006738308817148209
14500,-0.008726557716727257
14750,-0.004720710683614016
15000,-0.007056258153170347
15250,-0.014147229492664337
15500,-0.010816502384841442
15750,-0.0023756236769258976
16000,-0.0017143985023722053
16250,-0.006438109092414379
16500,-0.004310062155127525
16750,-0.009180126711726189
17000,-0.011864862404763699
17250,-0.008113065734505653
17500,-0.008305409923195839
17750,-0.010152904316782951
18000,-0.008427540771663189
18250,-0.010061461478471756
18500,-0.017758434638381004
18750,-0.11741049587726593
19000,-0.014303681440651417
19250,-0.009284344501793385
19500,-0.01877879910171032
19750,-0.017977289855480194
20000,-0.04706668481230736
20250,-0.061815597116947174
20500,-0.016367584466934204
20750,-0.02081279456615448
21000,-0.0684276595711708
21250,-0.02082076482474804
21500,-0.016840960830450058
21750,-0.026095252484083176
22000,-0.038797203451395035
22250,-0.05817168951034546
22500,-0.021186206489801407
22750,-0.07168027013540268
23000,-0.04156634211540222
23250,-0.05678456649184227
23500,-0.0586111843585968
23750,-0.1950075775384903
24000,-0.20306892693042755
24250,-0.08600292354822159
24500,-0.06361088156700134
24750,-0.28541287779808044
25000,-0.08218902349472046
25250,-0.08538705855607986
25500,-0.10039576143026352
25750,-0.09510566294193268
26000,-0.13072103261947632
26250,-0.10459718108177185
26500,-0.2988297939300537
26750,-0.11011835932731628
27000,-0.4170406758785248
27250,-0.44703784584999084
27500,-0.1863435059785843
27750,-0.2981753647327423
28000,-0.16166837513446808
28250,-0.16149483621120453
28500,-0.5898220539093018
28750,-0.3497583866119385
29000,-0.22401916980743408
29250,-0.7171019315719604
29500,-0.43522605299949646
29750,-0.3444267809391022
30000,-0.4130280315876007
30250,-0.5646139979362488
30500,-0.5486529469490051
30750,-0.46514183282852173
31000,-0.3640442490577698
31250,-0.4288240969181061
31500,-0.25280827283859253
31750,-0.5435482263565063
32000,-0.5203625559806824
32250,-0.2598779797554016
32500,-0.6194422841072083
32750,-0.8339575529098511
33000,-0.5249267816543579
33250,-0.9034349918365479
33500,-0.6962624788284302
33750,-0.47085040807724
34000,-0.8572338819503784
34250,-0.4453686773777008
34500,-0.6424558162689209
34750,-0.35111433267593384
35000,-0.6085782051086426
35250,-0.6015632748603821
35500,-0.8273395299911499
35750,-0.8028314113616943
36000,-0.5142067074775696
36250,-0.7818192839622498
36500,-0.48473936319351196
36750,-0.733195960521698
37000,-0.519388735294342
37250,-0.8810243010520935
37500,-0.7341904640197754
37750,-0.40818551182746887
38000,-0.4746744632720947
38250,-0.6912775039672852
38500,-1.021870493888855
38750,-1.1290165185928345
39000,-0.7579478621482849
39250,-0.8698354959487915
39500,-1.2927826642990112
39750,-0.4507012367248535
40000,-0.40768444538116455
40250,-0.9771422147750854
40500,-0.6763409972190857
40750,-0.3943619728088379
41000,-0.938386857509613
41250,-0.5632761716842651
41500,-0.3217571973800659
41750,-0.5454694032669067
42000,-0.40218445658683777
42250,-0.23861970007419586
42500,-0.20239073038101196
42750,-0.17159104347229004
43000,-0.41421979665756226
43250,-0.5780957341194153
