step,value
250,-9.393881919095293e-05
500,-0.023484792560338974
750,-0.02015760727226734
1000,-0.023004842922091484
1250,-0.022131873294711113
1500,-0.023652542382478714
1750,-0.02367408014833927
2000,-0.023629281669855118
2250,-0.023481745272874832
2500,-0.023667771369218826
2750,-0.023675089702010155
3000,-0.023608753457665443
3250,-0.023665614426136017
3500,-0.023640593513846397
3750,-0.023609638214111328
4000,-0.023589909076690674
4250,-0.02356754243373871
4500,-0.02363731898367405
4750,-0.023538824170827866
5000,-0.02357621118426323
5250,-0.023559803143143654
5500,-0.023575639352202415
5750,-0.02356511540710926
6000,-0.023563172668218613
6250,-0.023534176871180534
6500,-0.023548411205410957
6750,-0.023525938391685486
7000,-0.02353074587881565
7250,-0.023508993908762932
7500,-0.0235588401556015
7750,-0.023567626252770424
8000,-0.023535486310720444
8250,-0.023522278293967247
8500,-0.0235081035643816
8750,-0.02349036931991577
9000,-0.02350132167339325
9250,-0.023488346487283707
9500,-0.02348463423550129
9750,-0.02348203957080841
10000,-0.02346792444586754
10250,-0.023425664752721786
10500,-0.023427285254001617
10750,-0.02345319464802742
11000,-0.023388376459479332
11250,-0.023449549451470375
11500,-0.023432191461324692
11750,-0.023468876257538795
12000,-0.023422447964549065
12250,-0.023398861289024353
12500,-0.023454878479242325
12750,-0.02341199666261673
13000,-0.023461122065782547
13250,-0.023375509306788445
13500,-0.023467309772968292
13750,-0.0234077051281929
14000,-0.02340332791209221
14250,-0.023398736491799355
14500,-0.023392463102936745
14750,-0.023370498791337013
15000,-0.023433472961187363
15250,-0.02342226356267929
15500,-0.0234072245657444
15750,-0.02338586561381817
16000,-0.02341875061392784
16250,-0.023347532376646996
16500,-0.023400533944368362
16750,-0.023349324241280556
17000,-0.023405540734529495
17250,-0.02335677295923233
17500,-0.023420192301273346
17750,-0.023398421704769135
18000,-0.023332953453063965
18250,-0.02336154319345951
18500,-0.023377034813165665
18750,-0.02338005043566227
19000,-0.023301243782043457
19250,-0.0233420729637146
19500,-0.02333018183708191
19750,-0.023296421393752098
20000,-0.02328692376613617
20250,-0.023132000118494034
20500,-0.023253099992871284
20750,-0.022975478321313858
21000,-0.02327747642993927
21250,-0.023259196430444717
21500,-0.0232649277895689
21750,-0.023187503218650818
22000,-0.023106006905436516
22250,-0.023074038326740265
22500,-0.02316161058843136
22750,-0.023178204894065857
23000,-0.023201249539852142
23250,-0.023142311722040176
23500,-0.022925516590476036
23750,-0.023088116198778152
24000,-0.022951215505599976
24250,-0.023051626980304718
24500,-0.022715892642736435
24750,-0.022945836186408997
25000,-0.022926241159439087
25250,-0.022587761282920837
25500,-0.02274606004357338
25750,-0.02230178564786911
26000,-0.022589176893234253
26250,-0.022371670231223106
26500,-0.02272537723183632
26750,-0.022549889981746674
27000,-0.022441694512963295
27250,-0.021752240136265755
27500,-0.02186313457787037
27750,-0.02225237525999546
28000,-0.022126276046037674
28250,-0.02207619696855545
28500,-0.022161856293678284
28750,-0.022005662322044373
29000,-0.021890243515372276
29250,-0.02122710458934307
29500,-0.021904073655605316
29750,-0.02170850709080696
30000,-0.021136721596121788
30250,-0.020986616611480713
30500,-0.021712083369493484
30750,-0.021130064502358437
31000,-0.020896829664707184
31250,-0.02032432146370411
31500,-0.021418927237391472
31750,-0.021283315494656563
32000,-0.02083052508533001
32250,-0.020901095122098923
32500,-0.020405441522598267
32750,-0.019819479435682297
33000,-0.020554903894662857
33250,-0.019939661026000977
33500,-0.019525982439517975
33750,-0.02046566642820835
34000,-0.019826790317893028
34250,-0.019775280728936195
34500,-0.020135367289185524
34750,-0.01951533369719982
35000,-0.020079392939805984
35250,-0.01935814507305622
35500,-0.019891977310180664
35750,-0.020420916378498077
36000,-0.01929854229092598
36250,-0.019019363448023796
36500,-0.019285477697849274
36750,-0.01944524236023426
37000,-0.019625037908554077
37250,-0.019464880228042603
37500,-0.02012159489095211
37750,-0.019227350130677223
38000,-0.01919909380376339
38250,-0.018548142164945602
38500,-0.018702445551753044
38750,-0.01880255527794361
39000,-0.018708819523453712
39250,-0.018633808940649033
39500,-0.019268013536930084
39750,-0.019151849672198296
40000,-0.01912384107708931
40250,-0.01852482184767723
40500,-0.01900225132703781
40750,-0.018648836761713028
41000,-0.018582765012979507
41250,-0.018755070865154266
41500,-0.018732111901044846
41750,-0.01895180717110634
42000,-0.019111188128590584
42250,-0.019138626754283905
42500,-0.01918128691613674
42750,-0.019175073131918907
43000,-0.01909957453608513
43250,-0.019555743783712387
43500,-0.018681269139051437
43750,-0.01895304024219513
44000,-0.019190680235624313
44250,-0.018699895590543747
44500,-0.019007140770554543
44750,-0.01910559833049774
45000,-0.01866745576262474
45250,-0.019940178841352463
45500,-0.01925669237971306
45750,-0.01885688677430153
46000,-0.019125157967209816
46250,-0.01924048364162445
46500,-0.01879395917057991
46750,-0.01896047405898571
47000,-0.019023224711418152
47250,-0.019259078428149223
47500,-0.019176794216036797
47750,-0.01911929063498974
48000,-0.019554130733013153
48250,-0.019915485754609108
48500,-0.019530897960066795
48750,-0.019170084968209267
49000,-0.01939556375145912
49250,-0.019115570932626724
49500,-0.01958351954817772
49750,-0.019244026392698288
50000,-0.019327882677316666
50250,-0.01919986493885517
50500,-0.01895013079047203
50750,-0.018845194950699806
51000,-0.019076300784945488
51250,-0.019377177581191063
51500,-0.019285006448626518
51750,-0.01967703178524971
52000,-0.019209684804081917
52250,-0.019294576719403267
52500,-0.019126061350107193
52750,-0.019538717344403267
53000,-0.019368356093764305
53250,-0.019345499575138092
53500,-0.01968679018318653
53750,-0.019603382796049118
54000,-0.019358782097697258
54250,-0.019336171448230743
54500,-0.019507095217704773
54750,-0.01932443305850029
55000,-0.019215716049075127
55250,-0.0191641952842474
55500,-0.019175125285983086
55750,-0.01929190568625927
56000,-0.019421033561229706
56250,-0.020217670127749443
56500,-0.019715048372745514
56750,-0.0196196511387825
57000,-0.019994838163256645
57250,-0.019943008199334145
57500,-0.019658392295241356
57750,-0.020019974559545517
58000,-0.01995081827044487
58250,-0.019980015233159065
58500,-0.02006506361067295
58750,-0.020392660051584244
59000,-0.020076312124729156
59250,-0.020197173580527306
59500,-0.02033679001033306
59750,-0.020177334547042847
60000,-0.020121462643146515
60250,-0.0201321542263031
60500,-0.02013244852423668
60750,-0.020165396854281425
61000,-0.01985827460885048
61250,-0.01998615823686123
61500,-0.020192500203847885
61750,-0.02021300420165062
62000,-0.020149212330579758
62250,-0.020234789699316025
62500,-0.020345529541373253
62750,-0.020196307450532913
63000,-0.020247427746653557
63250,-0.020094117149710655
63500,-0.020352626219391823
63750,-0.020376982167363167
64000,-0.020412692800164223
64250,-0.020314602181315422
64500,-0.02027861401438713
64750,-0.02019627019762993
65000,-0.020412007346749306
65250,-0.020242899656295776
65500,-0.019999900832772255
65750,-0.020326266065239906
66000,-0.020332874730229378
66250,-0.020311200991272926
66500,-0.01998980902135372
66750,-0.02039168030023575
67000,-0.020254356786608696
67250,-0.020209865644574165
67500,-0.020354092121124268
67750,-0.02024885080754757
68000,-0.020280204713344574
68250,-0.020214058458805084
68500,-0.020321326330304146
68750,-0.020324092358350754
69000,-0.020484045147895813
69250,-0.020441321656107903
69500,-0.020401742309331894
69750,-0.0202315840870142
70000,-0.02040220983326435
70250,-0.020437870174646378
70500,-0.020356474444270134
70750,-0.02040574885904789
71000,-0.020314302295446396
71250,-0.020136553794145584
71500,-0.02053779549896717
71750,-0.020607078447937965
72000,-0.02035638689994812
72250,-0.020420322194695473
72500,-0.02032146416604519
72750,-0.02050287462770939
73000,-0.020439451560378075
73250,-0.020451653748750687
73500,-0.020334457978606224
73750,-0.020292527973651886
74000,-0.020517336204648018
74250,-0.020558562129735947
74500,-0.02042912133038044
74750,-0.020130453631281853
75000,-0.02047162689268589
75250,-0.020425591617822647
75500,-0.020566895604133606
75750,-0.020540229976177216
76000,-0.02055470459163189
76250,-0.020493080839514732
76500,-0.02041708678007126
76750,-0.02059788815677166
77000,-0.02062734216451645
77250,-0.02050345204770565
77500,-0.02022230438888073
77750,-0.020446468144655228
78000,-0.020397676154971123
78250,-0.020448977127671242
78500,-0.020509716123342514
78750,-0.020443333312869072
79000,-0.02047785371541977
79250,-0.020724624395370483
79500,-0.020493442192673683
79750,-0.020507991313934326
80000,-0.020513007417321205
80250,-0.020089011639356613
80500,-0.02048507332801819
80750,-0.020616158843040466
81000,-0.02048748917877674
81250,-0.020633213222026825
81500,-0.02053544856607914
81750,-0.020428568124771118
82000,-0.02023710310459137
82250,-0.020443476736545563
82500,-0.02060399204492569
82750,-0.02055543102324009
83000,-0.020523928105831146
83250,-0.020518533885478973
83500,-0.02046937495470047
83750,-0.020414255559444427
84000,-0.020574720576405525
84250,-0.020547736436128616
84500,-0.020558740943670273
84750,-0.020497258752584457
85000,-0.020555958151817322
85250,-0.02070237696170807
85500,-0.020595354959368706
85750,-0.020553328096866608
86000,-0.020682869479060173
86250,-0.020568696781992912
86500,-0.020434396341443062
86750,-0.020762626081705093
87000,-0.02056123875081539
87250,-0.020677223801612854
87500,-0.02055811509490013
87750,-0.02077755704522133
88000,-0.020692551508545876
88250,-0.02094324305653572
88500,-0.020667776465415955
88750,-0.021004682406783104
89000,-0.020909329876303673
89250,-0.02107963152229786
89500,-0.020861806347966194
89750,-0.021199503913521767
90000,-0.020987946540117264
90250,-0.020851098001003265
90500,-0.0206922497600317
90750,-0.020786143839359283
91000,-0.020805444568395615
91250,-0.02070101909339428
91500,-0.020748494192957878
91750,-0.020671173930168152
92000,-0.020821183919906616
92250,-0.020816845819354057
92500,-0.02074570208787918
92750,-0.02095763385295868
93000,-0.020858898758888245
93250,-0.020742371678352356
93500,-0.020971670746803284
93750,-0.020890122279524803
94000,-0.02098105661571026
94250,-0.02085302397608757
94500,-0.02097841165959835
94750,-0.020702237263321877
95000,-0.020971883088350296
95250,-0.020980065688490868
95500,-0.02082069404423237
95750,-0.020513514056801796
96000,-0.020808633416891098
96250,-0.020742172375321388
96500,-0.020737510174512863
96750,-0.02093276008963585
97000,-0.02080058492720127
97250,-0.02077186480164528
97500,-0.020692162215709686
97750,-0.02083272486925125
98000,-0.020752228796482086
98250,-0.02078714780509472
98500,-0.02075587958097458
98750,-0.020883476361632347
99000,-0.020870402455329895
99250,-0.020784063264727592
99500,-0.020792530849575996
99750,-0.020626544952392578
100000,-0.02066091075539589
100250,-0.020852113142609596
100500,-0.020418155938386917
100750,-0.020666271448135376
101000,-0.020572064444422722
101250,-0.020729506388306618
101500,-0.02059214934706688
101750,-0.020835071802139282
102000,-0.02064378745853901
102250,-0.02057529240846634
102500,-0.020570678636431694
102750,-0.020390303805470467
103000,-0.020588872954249382
103250,-0.02055525965988636
103500,-0.020591776818037033
103750,-0.020224813371896744
104000,-0.02079182304441929
104250,-0.020610082894563675
104500,-0.02055620215833187
104750,-0.020696133375167847
105000,-0.020498255267739296
105250,-0.020398100838065147
105500,-0.020351087674498558
105750,-0.020253336057066917
106000,-0.020557913929224014
106250,-0.020299578085541725
106500,-0.020382503047585487
106750,-0.020427091047167778
107000,-0.02033509500324726
107250,-0.020400187000632286
107500,-0.020357932895421982
107750,-0.02055242471396923
108000,-0.02043101377785206
108250,-0.02029271237552166
108500,-0.019982608035206795
108750,-0.019908711314201355
109000,-0.02029341086745262
109250,-0.020372357219457626
109500,-0.020022740587592125
109750,-0.0203620083630085
110000,-0.020071567967534065
110250,-0.02032862976193428
110500,-0.020469842478632927
110750,-0.02029659040272236
111000,-0.020023969933390617
111250,-0.020237423479557037
111500,-0.020211169496178627
111750,-0.02026916667819023
112000,-0.020420962944626808
112250,-0.02011452242732048
112500,-0.020210430026054382
112750,-0.020716149359941483
113000,-0.020467281341552734
113250,-0.02062361128628254
113500,-0.02004716731607914
113750,-0.020325513556599617
114000,-0.020328139886260033
114250,-0.02014853246510029
114500,-0.020227929577231407
114750,-0.02047148160636425
115000,-0.020046161487698555
115250,-0.020228175446391106
115500,-0.020045842975378036
115750,-0.020329397171735764
116000,-0.020239317789673805
116250,-0.02018212340772152
116500,-0.020403960719704628
116750,-0.02009819634258747
117000,-0.02014508843421936
117250,-0.019697310402989388
117500,-0.020129835233092308
117750,-0.01991136185824871
118000,-0.020339632406830788
118250,-0.0202412661164999
118500,-0.020136388018727303
118750,-0.020574038848280907
119000,-0.01990978792309761
119250,-0.019905313849449158
119500,-0.01998262293636799
119750,-0.020181186497211456
120000,-0.019905325025320053
120250,-0.01997017301619053
120500,-0.020110318437218666
120750,-0.019727798178792
121000,-0.019617056474089622
121250,-0.020032567903399467
121500,-0.0197234395891428
121750,-0.019979162141680717
122000,-0.01971137523651123
122250,-0.019747912883758545
122500,-0.01940547488629818
122750,-0.019485842436552048
123000,-0.019558044150471687
123250,-0.01988147757947445
123500,-0.019677596166729927
123750,-0.0194880161434412
124000,-0.020008478313684464
124250,-0.019598381593823433
124500,-0.019812695682048798
124750,-0.01955249160528183
125000,-0.02013203501701355
125250,-0.01966145820915699
125500,-0.019628126174211502
125750,-0.01968444511294365
126000,-0.019762253388762474
126250,-0.01996017061173916
126500,-0.01946796476840973
126750,-0.01988147757947445
127000,-0.019553665071725845
127250,-0.019585419446229935
127500,-0.019574524834752083
127750,-0.01943068578839302
128000,-0.01928309164941311
128250,-0.01946442574262619
128500,-0.019531331956386566
128750,-0.019602762535214424
129000,-0.019402872771024704
129250,-0.019785450771450996
129500,-0.01950811594724655
129750,-0.01972717046737671
130000,-0.01961042359471321
130250,-0.019763806834816933
130500,-0.018970608711242676
130750,-0.019501224160194397
131000,-0.020060457289218903
131250,-0.01962781883776188
131500,-0.019612370058894157
131750,-0.019838649779558182
132000,-0.01953691989183426
132250,-0.019658168777823448
132500,-0.019491812214255333
132750,-0.019901031628251076
133000,-0.019738929346203804
133250,-0.019436510279774666
133500,-0.019779598340392113
133750,-0.019696524366736412
134000,-0.01983582228422165
134250,-0.01950080506503582
134500,-0.020043304190039635
134750,-0.019654415547847748
135000,-0.01997060887515545
