step,value
250,-1.619097929506097e-05
500,-0.004047586116939783
750,-0.0034304389264434576
1000,-0.0035337479785084724
1250,-0.003280772129073739
1500,-0.0035468880087137222
1750,-0.003522061975672841
2000,-0.0035227227490395308
2250,-0.0034845147747546434
2500,-0.0034516837913542986
2750,-0.0033707262482494116
3000,-0.0035111133474856615
3250,-0.0034624736290425062
3500,-0.0034249366726726294
3750,-0.0034885944332927465
4000,-0.0034159128554165363
4250,-0.0034738383255898952
4500,-0.0034010037779808044
4750,-0.0034034631680697203
5000,-0.003303073812276125
5250,-0.003264449303969741
5500,-0.003263596212491393
5750,-0.003199594793841243
6000,-0.003194825490936637
6250,-0.003164334688335657
6500,-0.003103181952610612
6750,-0.0031226284336298704
7000,-0.003100699046626687
7250,-0.0030456881504505873
7500,-0.003008101135492325
7750,-0.0030698487535119057
8000,-0.0030273173470050097
8250,-0.003003463614732027
8500,-0.003004438243806362
8750,-0.0029976852238178253
9000,-0.0029900867957621813
9250,-0.002967115957289934
9500,-0.0029524234123528004
9750,-0.0029816615860909224
10000,-0.0029579661786556244
10250,-0.0029655122198164463
10500,-0.0029513698536902666
10750,-0.002882987027987838
11000,-0.0029561191331595182
11250,-0.0028588895220309496
11500,-0.002874671248719096
11750,-0.002904968336224556
12000,-0.002851496683433652
12250,-0.002879407024011016
12500,-0.0028397804126143456
12750,-0.002865120070055127
13000,-0.002807005774229765
13250,-0.0028531805146485567
13500,-0.0028094612061977386
13750,-0.0028150558937340975
14000,-0.002809986937791109
14250,-0.002783434232696891
14500,-0.0027813909109681845
14750,-0.002773657673969865
15000,-0.002743586665019393
15250,-0.002793525578454137
15500,-0.002756261033937335
15750,-0.00271143508143723
16000,-0.0027421743143349886
16250,-0.002714565023779869
16500,-0.0026882425881922245
16750,-0.002710979897528887
17000,-0.00259212963283062
17250,-0.0026832283474504948
17500,-0.002664516679942608
17750,-0.002644776366651058
18000,-0.002600995823740959
18250,-0.002617310266941786
18500,-0.0026678703725337982
18750,-0.00260809320025146
19000,-0.0025963429361581802
19250,-0.0026419158093631268
19500,-0.002626348054036498
19750,-0.002637135563418269
20000,-0.002648669295012951
20250,-0.0026348410174250603
20500,-0.0026606800965964794
20750,-0.0025771295186132193
21000,-0.0026732191909104586
21250,-0.0026028333231806755
21500,-0.0026138180401176214
21750,-0.002584564732387662
22000,-0.0025610888842493296
22250,-0.002610510913655162
22500,-0.002577486215159297
22750,-0.002587350783869624
23000,-0.002537558088079095
23250,-0.0025822995230555534
23500,-0.0026144685689359903
23750,-0.002591053955256939
24000,-0.0026023206301033497
24250,-0.0025288781616836786
24500,-0.002508726203814149
24750,-0.002529578283429146
25000,-0.002543640322983265
25250,-0.002621146384626627
25500,-0.0025624604895710945
25750,-0.002582590328529477
26000,-0.002555512823164463
26250,-0.0026081539690494537
26500,-0.0025844548363238573
26750,-0.0025274401996284723
27000,-0.002587401308119297
27250,-0.002585636219009757
27500,-0.0026029159780591726
27750,-0.0026297569274902344
28000,-0.002555934712290764
28250,-0.002577691338956356
28500,-0.002611864823848009
28750,-0.0025783441960811615
29000,-0.002632533200085163
29250,-0.0026781235355883837
29500,-0.002649907022714615
29750,-0.002565516624599695
30000,-0.0026574195362627506
30250,-0.0026895501650869846
30500,-0.002569634234532714
30750,-0.002640077145770192
31000,-0.002663498278707266
31250,-0.0026892658788710833
31500,-0.002640325343236327
31750,-0.0026055460330098867
32000,-0.0026174166705459356
32250,-0.002601086860522628
32500,-0.0025543675292283297
32750,-0.0025666221044957638
33000,-0.0026598526164889336
33250,-0.0026544546708464622
33500,-0.0026462767273187637
33750,-0.0026022845413535833
34000,-0.0025932276621460915
34250,-0.00266626151278615
34500,-0.0026112794876098633
34750,-0.0026522057596594095
35000,-0.0026900116354227066
35250,-0.0026799135375767946
35500,-0.0026729826349765062
35750,-0.0025889656972140074
36000,-0.0026245564222335815
36250,-0.0026104366406798363
36500,-0.002589652081951499
36750,-0.0025723211001604795
37000,-0.0025656474754214287
37250,-0.0025866995565593243
