step,value
250,0.0
500,0.0
750,0.0
1000,0.0
1250,0.0
1500,0.0
1750,0.0
2000,0.0
2250,0.0
2500,0.0
2750,0.0
3000,0.0
3250,0.0
3500,0.0
3750,0.0
4000,0.0
4250,0.0
4500,0.0
4750,0.0
5000,0.0
5250,0.0
5500,0.0
5750,0.0
6000,0.0
6250,0.0
6500,0.0
6750,0.0
7000,0.0
7250,0.0
7500,0.0
7750,0.0
8000,0.0
8250,0.0
8500,0.0
8750,0.0
9000,0.0
9250,0.0
9500,0.0
9750,0.0
10000,0.0
10250,0.0
10500,0.0
10750,0.0
11000,0.0
11250,0.0
11500,0.0
11750,0.0
12000,0.0
12250,0.0
12500,0.0
12750,0.0
13000,0.0
13250,0.0
13500,0.0
13750,0.0
14000,0.0
14250,0.0
14500,0.0
14750,0.0
15000,0.0
15250,0.0
15500,0.0
15750,0.0
16000,0.0
16250,0.0
16500,0.0
16750,0.0
17000,0.0
17250,0.0
17500,0.0
17750,0.0
18000,0.0
18250,0.0
18500,0.0
18750,0.0
19000,0.0
19250,0.0
19500,0.0
19750,0.0
20000,0.0
20250,0.0
20500,0.0
20750,0.0
21000,0.0
21250,0.0
21500,0.0
21750,0.0
22000,0.0
22250,0.0
22500,0.0
22750,0.0
23000,0.0
23250,0.0
23500,0.0
23750,0.0
24000,0.0
24250,0.0
24500,0.0
24750,0.0
25000,0.0
25250,0.0
25500,0.0
25750,0.0
26000,0.0
26250,0.0
26500,0.0
26750,0.0
27000,0.0
27250,0.0
27500,0.0
27750,0.0
28000,0.0
28250,0.0
28500,0.0
28750,0.0
29000,0.0
29250,0.0
29500,0.0
29750,0.0
30000,0.0
30250,0.0
30500,0.0
30750,0.0
31000,0.0
31250,0.0
31500,0.0
31750,0.0
32000,0.0
32250,0.0
32500,0.0
32750,0.0
33000,0.0
33250,0.0
33500,0.0
33750,0.0
34000,0.0
34250,0.0
34500,0.0
34750,0.0
35000,0.0
35250,0.0
35500,0.0
35750,0.0
36000,0.0
36250,0.0
36500,0.0
36750,0.0
37000,0.0
37250,0.0
37500,0.0
37750,0.0
38000,0.0
38250,0.0
38500,0.0
38750,0.0
39000,0.0
39250,0.0
39500,0.0
39750,0.0
40000,0.0
40250,0.0
40500,0.0
40750,0.0
41000,0.0
41250,0.0
41500,0.0
41750,0.0
42000,0.0
42250,0.0
42500,0.0
42750,0.0
43000,0.0
43250,0.0
43500,0.0
43750,0.0
44000,0.0
44250,0.0
44500,0.0
44750,0.0
45000,0.0
45250,0.0
45500,0.0
45750,0.0
46000,0.0
46250,0.0
46500,0.0
46750,0.0
47000,0.0
47250,0.0
47500,0.0
47750,0.0
48000,0.0
48250,0.0
48500,0.0
48750,0.0
49000,0.0
49250,0.0
49500,0.0
49750,0.0
50000,0.0
50250,0.0
50500,0.0
50750,0.0
51000,0.0
51250,0.0
51500,0.0
51750,0.0
52000,0.0
52250,0.0
52500,0.0
52750,0.0
53000,0.0
53250,0.0
53500,0.0
53750,0.0
54000,0.0
54250,0.0
54500,0.0
54750,0.0
55000,0.0
55250,0.0
55500,0.0
55750,0.0
56000,0.0
56250,0.0
56500,0.0
56750,0.0
57000,0.0
57250,0.0
57500,0.0
57750,0.0
58000,0.0
58250,0.0
58500,0.0
58750,0.0
59000,0.0
59250,0.0
59500,0.0
59750,0.0
60000,0.0
60250,0.0
60500,0.0
60750,0.0
61000,0.0
61250,0.0
61500,0.0
61750,0.0
62000,0.0
62250,0.0
62500,0.0
62750,0.0
63000,0.0
63250,0.0
63500,0.0
63750,0.0
64000,0.0
64250,0.0
64500,0.0
64750,0.0
65000,0.0
65250,0.0
65500,0.0
65750,0.0
66000,0.0
66250,0.0
66500,0.0
66750,0.0
67000,0.0
67250,0.0
67500,0.0
67750,0.0
68000,0.0
68250,0.0
68500,0.0
68750,0.0
69000,0.0
69250,0.0
69500,0.0
69750,0.0
70000,0.0
70250,0.0
70500,0.0
70750,0.0
71000,0.0
71250,0.0
71500,0.0
71750,0.0
72000,0.0
72250,0.0
72500,0.0
72750,0.0
73000,0.0
73250,0.0
73500,0.0
73750,0.0
74000,0.0
74250,0.0
74500,0.0
74750,0.0
75000,0.0
75250,0.0
75500,0.0
75750,0.0
76000,0.0
76250,0.0
76500,0.0
76750,0.0
77000,0.0
77250,0.0
77500,0.0
77750,0.0
78000,0.0
78250,0.0
78500,0.0
78750,0.0
79000,0.0
79250,0.0
79500,0.0
79750,0.0
80000,0.0
80250,0.0
80500,0.0
80750,0.0
81000,0.0
81250,0.0
81500,0.0
81750,0.0
82000,0.0
82250,0.0
82500,0.0
82750,0.0
83000,0.0
83250,0.0
83500,0.0
83750,0.0
84000,0.0
84250,0.0
84500,0.0
84750,0.0
85000,0.0
85250,0.0
85500,0.0
85750,0.0
86000,0.0
86250,0.0
86500,0.0
86750,0.0
87000,0.0
87250,0.0
87500,0.0
87750,0.0
88000,0.0
88250,0.0
88500,0.0
88750,0.0
89000,0.0
89250,0.0
89500,0.0
89750,0.0
90000,0.0
90250,0.0
90500,0.0
90750,0.0
91000,0.0
91250,0.0
91500,0.0
91750,0.0
92000,0.0
92250,0.0
92500,0.0
92750,0.0
93000,0.0
93250,0.0
93500,0.0
93750,0.0
94000,0.0
94250,0.0
94500,0.0
94750,0.0
95000,0.0
95250,0.0
95500,0.0
95750,0.0
96000,0.0
96250,0.0
96500,0.0
96750,0.0
97000,0.0
97250,0.0
97500,0.0
97750,0.0
98000,0.0
98250,0.0
98500,0.0
98750,0.0
99000,0.0
