step,value
250,-0.2808070778846741
500,-0.6194251179695129
750,-0.6968827843666077
1000,-0.6697976589202881
1250,-0.6759645938873291
1500,-0.6413409113883972
1750,-0.6392093300819397
2000,-0.6042488217353821
2250,-0.6228002905845642
2500,-0.631594717502594
2750,-0.5388275980949402
3000,-0.4862024188041687
3250,-0.537666380405426
3500,-0.488320529460907
3750,-0.5576642155647278
4000,-0.5402065515518188
4250,-0.433899462223053
4500,-0.38689354062080383
4750,-0.4514479339122772
5000,-0.39867132902145386
5250,-0.35522374510765076
5500,-0.3541930019855499
5750,-0.3765421509742737
6000,-0.3717142343521118
6250,-0.3762931525707245
6500,-0.3771097660064697
6750,-0.3603093922138214
7000,-0.3645137846469879
7250,-0.355045348405838
7500,-0.35643813014030457
7750,-0.360030859708786
8000,-0.3654239773750305
8250,-0.3583029508590698
8500,-0.34453967213630676
8750,-0.341164231300354
9000,-0.353298157453537
9250,-0.346501886844635
9500,-0.3454185724258423
9750,-0.347983181476593
10000,-0.3486311137676239
10250,-0.36601722240448
10500,-0.3714253008365631
10750,-0.399012953042984
11000,-0.4191967844963074
11250,-0.43162620067596436
11500,-0.46964123845100403
11750,-0.46391385793685913
12000,-0.4876032769680023
12250,-0.506123423576355
12500,-0.5028064250946045
12750,-0.5161213278770447
13000,-0.516096293926239
13250,-0.5417953133583069
13500,-0.5515302419662476
13750,-0.5550516247749329
14000,-0.5506516098976135
14250,-0.5513184666633606
14500,-0.549799919128418
14750,-0.543317973613739
15000,-0.5405718684196472
15250,-0.5341059565544128
15500,-0.5296350717544556
15750,-0.53043133020401
16000,-0.5299567580223083
16250,-0.5271787643432617
16500,-0.5264884233474731
16750,-0.5259372591972351
17000,-0.5220276117324829
17250,-0.5205234289169312
17500,-0.51563960313797
17750,-0.51078200340271
18000,-0.5053541660308838
18250,-0.5049617886543274
18500,-0.49841785430908203
18750,-0.4982996881008148
19000,-0.4943651556968689
19250,-0.4900166690349579
19500,-0.4868070185184479
19750,-0.48738887906074524
20000,-0.48840269446372986
20250,-0.4856901466846466
20500,-0.4815303385257721
20750,-0.4788537919521332
21000,-0.4754164516925812
21250,-0.47221606969833374
21500,-0.47148653864860535
21750,-0.47120264172554016
22000,-0.4701688289642334
22250,-0.46737781167030334
22500,-0.4644380509853363
22750,-0.46340981125831604
23000,-0.4576069116592407
23250,-0.4556562006473541
23500,-0.4540135860443115
23750,-0.45264551043510437
24000,-0.45270824432373047
24250,-0.4478156566619873
24500,-0.4455867111682892
24750,-0.44296205043792725
25000,-0.4407666325569153
25250,-0.4406224489212036
25500,-0.4388311803340912
25750,-0.4392871856689453
26000,-0.4379194974899292
26250,-0.4349837005138397
26500,-0.43540823459625244
26750,-0.4359756410121918
27000,-0.436879962682724
27250,-0.43655017018318176
27500,-0.4358971118927002
27750,-0.4323887825012207
28000,-0.4288344383239746
28250,-0.42956411838531494
28500,-0.42875173687934875
28750,-0.4286670386791229
29000,-0.43035420775413513
29250,-0.42835038900375366
29500,-0.42689505219459534
29750,-0.4270514249801636
30000,-0.42800426483154297
30250,-0.4285244941711426
30500,-0.4280584454536438
30750,-0.4279510974884033
31000,-0.4286125898361206
31250,-0.4289398789405823
31500,-0.4260371923446655
31750,-0.42622533440589905
32000,-0.4252917766571045
32250,-0.4260592460632324
32500,-0.42414045333862305
32750,-0.4240191578865051
33000,-0.42505109310150146
33250,-0.4224933981895447
33500,-0.42277440428733826
33750,-0.42164766788482666
34000,-0.4187735617160797
34250,-0.41884636878967285
34500,-0.4193866550922394
34750,-0.4181496500968933
35000,-0.41876503825187683
35250,-0.4173354208469391
35500,-0.41750529408454895
35750,-0.41740432381629944
36000,-0.4173278510570526
36250,-0.41658228635787964
36500,-0.41703692078590393
36750,-0.41685423254966736
37000,-0.4158441722393036
37250,-0.4172399640083313
37500,-0.41850951313972473
37750,-0.41895434260368347
38000,-0.4197118878364563
38250,-0.41845783591270447
38500,-0.41696932911872864
38750,-0.41760650277137756
39000,-0.4160847067832947
39250,-0.4153730869293213
39500,-0.41736775636672974
39750,-0.41569846868515015
40000,-0.41649723052978516
40250,-0.4151875972747803
40500,-0.4190100133419037
40750,-0.41750088334083557
41000,-0.41525089740753174
41250,-0.4165704548358917
41500,-0.41593706607818604
41750,-0.4147314131259918
42000,-0.4125755727291107
42250,-0.4123953580856323
42500,-0.41257521510124207
42750,-0.41410940885543823
43000,-0.4152767062187195
43250,-0.4149564504623413
43500,-0.41519907116889954
43750,-0.41457000374794006
44000,-0.4163150489330292
44250,-0.4184662401676178
