step,value
250,-0.00011701370385708287
500,-0.01269887201488018
750,-0.0003204520035069436
1000,-0.0018219668418169022
1250,-0.00011018378427252173
1500,-5.951459024799988e-05
1750,-0.00029325642390176654
2000,-0.0002002081018872559
2250,-0.0001864930964075029
2500,-0.0017306081717833877
2750,-0.01181519590318203
3000,-0.011075519025325775
3250,-0.011817128397524357
3500,-0.010326662100851536
3750,-0.009369819425046444
4000,-0.012999949976801872
4250,-0.010595177300274372
4500,-0.00894966907799244
4750,-0.006903260946273804
5000,-0.00711806071922183
5250,-0.007923497818410397
5500,-0.008642875589430332
5750,-0.00360405957326293
6000,-0.003505965694785118
6250,-0.003873082110658288
6500,-0.0028100807685405016
6750,-0.0018454231321811676
7000,-0.0018552326364442706
7250,-0.0015922485617920756
7500,-0.0020517725497484207
7750,-0.0028642902616411448
8000,-0.002783440053462982
8250,-0.0024965289048850536
8500,-0.001428527175448835
8750,-0.0020838510245084763
9000,-0.002468495164066553
9250,-0.001471719704568386
9500,-0.001306051854044199
9750,-0.001818473800085485
10000,-0.0012869323836639524
10250,-0.0014957492239773273
10500,-0.001567057566717267
10750,-0.0025740526616573334
11000,-0.0025336681865155697
11250,-0.002881295746192336
11500,-0.0035714663099497557
11750,-0.0031856463756412268
12000,-0.005150276701897383
12250,-0.00605193292722106
12500,-0.005744346417486668
12750,-0.006964908912777901
13000,-0.006258455105125904
13250,-0.0053582098335027695
13500,-0.004175037145614624
13750,-0.001962581416592002
14000,-0.0015721296658739448
14250,-0.0008989586494863033
14500,-0.0007310796645469964
14750,-0.00034499706816859543
15000,-0.00044227868784219027
15250,-0.00038656010292470455
15500,-0.0003342415438964963
15750,-0.00028336976538412273
16000,-0.00022049705148674548
16250,-0.00023169764608610421
16500,-0.0002155091060558334
16750,-0.000294424855383113
17000,-0.00032155646476894617
17250,-0.0003215385368093848
17500,-0.0003292553883511573
17750,-0.00023678191064391285
18000,-0.00023569130280520767
18250,-0.0003618717018980533
18500,-0.0001756666461005807
18750,-0.00017559634579811245
19000,-0.0001724764733808115
19250,-5.1628288929350674e-05
19500,-0.00010790061787702143
19750,-9.13104522624053e-05
20000,-4.032433935208246e-05
20250,-0.0001080147412721999
20500,-4.0950897528091446e-05
20750,-5.309997504809871e-05
21000,-7.633085624547675e-05
21250,-3.4710115869529545e-05
21500,-5.100126873003319e-05
21750,-3.5627224860945717e-05
22000,-2.79310825135326e-05
22250,-2.2875612557982095e-05
22500,-1.0408838534203824e-05
22750,-1.227324264618801e-05
23000,-4.7634712245780975e-06
23250,-1.4504516911983956e-05
23500,-1.5289526345441118e-05
23750,-8.0709760368336e-06
24000,-2.428763582429383e-05
24250,-1.0003474017139524e-05
24500,-1.9921468265238218e-05
24750,-2.3956037694006227e-05
25000,-3.497814032016322e-05
25250,-2.7662450520438142e-05
25500,-1.3034403309575282e-05
25750,-1.4854140317765996e-06
26000,-3.3376622923242394e-06
26250,-7.803767402947415e-06
26500,-6.81605740737723e-07
26750,-1.172572069663147e-06
27000,-3.5179837141186e-06
27250,-3.454988757312094e-07
27500,-1.66590311323489e-07
27750,-7.798939805070404e-07
28000,-2.3768217261022073e-07
28250,-8.730457921046764e-06
28500,-6.547922566824127e-06
28750,-3.4791173675330356e-06
29000,-4.870786142419092e-06
29250,-7.5335010478738695e-06
29500,-2.592913233456784e-06
29750,-2.1311036269011652e-11
30000,-2.912330785420636e-07
30250,-8.103365090050829e-09
30500,-3.8210583852560376e-07
30750,-2.970532708701512e-09
31000,-6.350892363116145e-07
31250,0.0
31500,-3.5151521160514676e-07
31750,0.0
32000,0.0
32250,0.0
32500,-1.7684739361811808e-07
32750,0.0
33000,-2.0961522295692703e-07
33250,0.0
33500,-6.006844466277528e-10
33750,0.0
34000,0.0
34250,0.0
34500,-1.0060501836051117e-06
34750,-1.4053584074247283e-08
35000,0.0
35250,0.0
35500,0.0
35750,0.0
36000,0.0
36250,0.0
36500,0.0
36750,0.0
37000,0.0
37250,-2.485201454349717e-11
37500,0.0
37750,-9.064674344472223e-09
38000,0.0
38250,0.0
38500,0.0
38750,0.0
39000,-5.195765595544799e-09
39250,0.0
39500,0.0
39750,0.0
40000,0.0
40250,0.0
40500,-2.298116754673174e-07
40750,0.0
41000,0.0
41250,0.0
41500,0.0
41750,0.0
42000,0.0
42250,0.0
42500,0.0
42750,0.0
43000,0.0
43250,0.0
43500,0.0
43750,0.0
44000,0.0
44250,0.0
44500,0.0
44750,0.0
45000,0.0
45250,0.0
45500,0.0
45750,0.0
46000,-2.9252602562479524e-09
46250,0.0
46500,0.0
46750,-2.6765880623003113e-09
47000,-2.944442467622821e-10
47250,0.0
47500,0.0
47750,0.0
48000,0.0
48250,0.0
48500,0.0
48750,-2.6481296322433678e-11
49000,-7.107496458047535e-08
49250,0.0
49500,0.0
49750,0.0
50000,-7.173520444325732e-09
50250,-3.714754484462901e-06
50500,-3.5868615668732673e-06
50750,0.0
51000,-4.12891054679676e-09
51250,-1.2928695891645248e-09
51500,-2.5891060886351625e-06
51750,-5.070549535801661e-10
52000,0.0
52250,-3.3468737115072145e-08
52500,-1.7768086024716467e-07
52750,-3.538926485191496e-09
53000,-2.369201865803916e-06
53250,-8.697668363311095e-08
53500,-8.239746307481255e-08
53750,0.0
54000,0.0
54250,-1.7345815876979032e-06
54500,-1.3642694511872833e-06
54750,-2.896215676173597e-07
55000,-1.4373975432135921e-07
55250,-1.7365997528884236e-10
55500,-9.977588888432365e-07
55750,-8.922236816033546e-08
56000,-1.5541047559963772e-06
56250,-3.168975581502309e-06
56500,-1.5195303149084793e-06
56750,-1.4836253967587254e-06
57000,-1.5029171436253819e-06
57250,-5.150438482814934e-06
57500,-7.179046406236012e-07
57750,-5.2656496336567216e-06
58000,-1.5055939911690075e-05
58250,-2.5650576844782336e-06
58500,-1.3056833267910406e-06
58750,-1.0626389666867908e-05
59000,-3.968701093981508e-06
59250,-2.0077555973330163e-07
59500,-4.049373728776118e-06
59750,-6.958517246857809e-07
60000,-3.403493565201643e-06
60250,-1.5256748611136572e-06
60500,-5.962503564660437e-06
60750,-3.1587553621648112e-06
61000,-6.535306965815835e-06
61250,-9.427250233784434e-07
61500,-6.860614121251274e-06
61750,-3.760962044907501e-06
62000,-2.5350025225634454e-06
62250,-2.606503812785377e-06
62500,-7.389214147224266e-07
62750,-7.282912974915234e-07
63000,-2.764373050467839e-07
63250,-1.3321830749646324e-07
63500,-2.1670941805496113e-06
63750,-2.2999093118869496e-07
64000,-2.232811084468267e-06
64250,-9.645048066886375e-07
64500,-5.191513423596916e-07
64750,-3.726457009634032e-07
65000,-2.1656587705365382e-06
65250,-2.3074136379364063e-07
65500,-2.932346433226485e-06
65750,-1.1644364406038221e-07
66000,-2.51852247856732e-06
66250,-4.275613264326239e-06
66500,-1.3593964467872865e-05
66750,-5.557272743317299e-06
67000,-9.811702511797193e-06
67250,-1.1494016689539421e-05
67500,-7.2155653469963e-06
67750,-1.0626368748489767e-05
68000,-5.776937541668303e-06
68250,-4.136637016927125e-06
68500,-2.3592233446834143e-06
68750,-1.1953059583902359e-05
69000,-1.033890112012159e-05
69250,-2.584051344456384e-06
69500,-1.4289808859757613e-05
69750,-1.1661152711894829e-05
70000,-3.002509220095817e-05
70250,-3.372704304638319e-05
70500,-4.583096597343683e-05
70750,-6.246298289624974e-05
71000,-1.7156027752207592e-05
71250,-2.6989004254573956e-05
71500,-2.3869988581282087e-05
71750,-4.193257336737588e-05
72000,-2.4520059014321305e-05
72250,-4.7024335799505934e-05
72500,-3.4125921956729144e-05
72750,-3.529008608893491e-05
73000,-5.511627023224719e-05
73250,-9.378856339026242e-05
73500,-6.894655234646052e-05
73750,-6.716819189023226e-05
74000,-3.609351551858708e-05
74250,-1.214862732012989e-05
74500,-1.6250523913186044e-05
74750,-1.3643513739225455e-05
75000,-9.507461072644219e-06
75250,-2.3066957510309294e-05
75500,-1.8847327737603337e-05
75750,-1.6351517842849717e-05
76000,-2.553424383222591e-05
76250,-5.987955228192732e-05
76500,-5.68723953620065e-05
76750,-6.735261558787897e-05
77000,-0.00015167966193985194
77250,-5.6742745073279366e-05
77500,-0.00018085064948536456
77750,-8.56592450872995e-05
78000,-6.267270509852096e-05
78250,-0.0002559046552050859
78500,-0.00028495214064605534
78750,-0.00014899698726367205
79000,-0.00014702259795740247
79250,-0.00014106764865573496
79500,-0.00012758922821376473
79750,-4.054943201481365e-05
80000,-5.0182632548967376e-05
80250,-1.968177457456477e-05
80500,-0.00012862560106441379
80750,-8.308563701575622e-05
81000,-0.00011567633191589266
81250,-0.00016296730609610677
81500,-0.00021290098084136844
81750,-0.0004368310037534684
82000,-0.0004191879415884614
82250,-0.0007575449417345226
82500,-0.00038714337279088795
82750,-0.0002801877271849662
83000,-0.00047258773702196777
83250,-0.000472987478133291
83500,-0.0003263278922531754
83750,-0.000397176860133186
84000,-0.00025344561436213553
84250,-0.00012249867722857744
84500,-0.00020043266704306006
