step,value
250,-7.849108515922687e-12
500,-1.8699054457615993e-11
750,-2.448297467538829e-11
1000,-2.2329712731639084e-11
1250,-2.467309169473797e-11
1500,-2.4248360264156332e-11
1750,-2.4333051198976996e-11
2000,-2.474850012423868e-11
2250,-2.5096872496854772e-11
2500,-2.377079783011382e-11
2750,-2.0423595106788817e-11
3000,-2.0337389758373625e-11
3250,-2.1304902286800598e-11
3500,-2.097100791631501e-11
3750,-2.2509967848027834e-11
4000,-2.2579561484437072e-11
4250,-2.165312720792123e-11
4500,-2.163678958222448e-11
4750,-2.2849075062558732e-11
5000,-2.3160749360040533e-11
5250,-2.336675644643016e-11
5500,-2.285561670478664e-11
5750,-2.4784532065558196e-11
6000,-2.4575418089423096e-11
6250,-2.4545622478999718e-11
6500,-2.475214824770866e-11
6750,-2.4677556872965134e-11
7000,-2.511921746994883e-11
7250,-2.456806459660843e-11
7500,-2.466385949639882e-11
7750,-2.437528304199965e-11
8000,-2.4847207624745238e-11
8250,-2.491319477104792e-11
8500,-2.5086535279661426e-11
8750,-2.4588104122202914e-11
9000,-2.4888058627881016e-11
9250,-2.504583866691501e-11
9500,-2.4768334952463e-11
9750,-2.496742049218348e-11
10000,-2.469800579329995e-11
10250,-2.4850378699259323e-11
10500,-2.4558990258105595e-11
10750,-2.4406157650425087e-11
11000,-2.4669549389400025e-11
11250,-2.4126339814856124e-11
11500,-2.4703367823564193e-11
11750,-2.448655861408966e-11
12000,-2.4680838969781682e-11
12250,-2.4669039380698088e-11
12500,-2.4919592431227322e-11
12750,-2.4966900075140686e-11
13000,-2.4943843865421478e-11
13250,-2.517258450296378e-11
13500,-2.51143238150231e-11
13750,-2.5107339818308816e-11
14000,-2.5158422220505905e-11
14250,-2.5109242809961962e-11
14500,-2.5110956716756228e-11
14750,-2.5164696715318513e-11
15000,-2.5139239648308553e-11
15250,-2.5220636343248337e-11
15500,-2.5209792586800006e-11
15750,-2.5246305046522366e-11
16000,-2.529397871708916e-11
16250,-2.5297259079182233e-11
16500,-2.5266049669125934e-11
16750,-2.5257363908681718e-11
17000,-2.5276152698650023e-11
17250,-2.5136462356023515e-11
17500,-2.5200737330255407e-11
17750,-2.5198444025820166e-11
18000,-2.5178924917268475e-11
18250,-2.5173760645480492e-11
18500,-2.5104324868907568e-11
18750,-2.5038145168299053e-11
19000,-2.5012091356413357e-11
19250,-2.5045682541802172e-11
19500,-2.505596771729124e-11
19750,-2.5019302601902993e-11
20000,-2.5059362571133725e-11
20250,-2.5076477352947713e-11
20500,-2.504042286022301e-11
20750,-2.5052040303341627e-11
21000,-2.5095430941646235e-11
21250,-2.50680656788127e-11
21500,-2.5043900980792344e-11
21750,-2.505069415792427e-11
22000,-2.5090507796421413e-11
22250,-2.5056985999971637e-11
22500,-2.5054033500615525e-11
22750,-2.5073621998106255e-11
23000,-2.511209816480342e-11
23250,-2.5063321210105904e-11
23500,-2.5105740403263965e-11
23750,-2.513851626861907e-11
24000,-2.5105478460019093e-11
24250,-2.508944441093064e-11
24500,-2.5189825919591513e-11
24750,-2.5207365708657115e-11
25000,-2.5126338509817714e-11
25250,-2.514622191029936e-11
25500,-2.512942805232843e-11
25750,-2.50464891882185e-11
26000,-2.5086441604593723e-11
26250,-2.5138393103252277e-11
26500,-2.521082127782126e-11
26750,-2.5240191880993024e-11
27000,-2.528005235702402e-11
27250,-2.5226303684844353e-11
27500,-2.5270972814350756e-11
27750,-2.5247578333553733e-11
28000,-2.518977561261071e-11
28250,-2.5224411101532063e-11
28500,-2.529675947882115e-11
28750,-2.5238963696772032e-11
29000,-2.5213331422691e-11
29250,-2.5237383363685417e-11
29500,-2.518836528242474e-11
29750,-2.5164459058202304e-11
30000,-2.5178087045829578e-11
30250,-2.5137072978687058e-11
30500,-2.5125358391053787e-11
30750,-2.5107457779505182e-11
31000,-2.506207741337363e-11
31250,-2.514798612407443e-11
31500,-2.5205178222353908e-11
31750,-2.5147309581918798e-11
32000,-2.5228890157547035e-11
