step,value
250,-0.001525410800240934
500,-0.003322902601212263
750,-0.0041666640900075436
1000,-0.005998311098664999
1250,-0.004800446797162294
1500,-0.004423834383487701
1750,-0.0048973169177770615
2000,-0.006189317442476749
2250,-0.00540502555668354
2500,-0.004123164806514978
2750,-0.004149740096181631
3000,-0.002349431626498699
3250,-0.0030308207497000694
3500,-0.002639178652316332
3750,-0.0032733166590332985
4000,-0.002988987835124135
4250,-0.002075662836432457
4500,-0.0015405232552438974
4750,-0.0021031133364886045
5000,-0.0017207771306857467
5250,-0.0011936828959733248
5500,-0.0011346823303028941
5750,-0.0009509306401014328
6000,-0.000803984294179827
6250,-0.0007711301441304386
6500,-0.0007116232882253826
6750,-0.0006684090476483107
7000,-0.0006962910993024707
7250,-0.0007409648969769478
7500,-0.0007059256895445287
7750,-0.0007158489315770566
8000,-0.0006808263133279979
8250,-0.0006860518478788435
8500,-0.0006208665436133742
8750,-0.0006244335672818124
9000,-0.0006578203174285591
9250,-0.000662270758766681
9500,-0.0006449877982959151
9750,-0.0006389759364537895
10000,-0.0006000629509799182
10250,-0.0007321386365219951
10500,-0.0006467727362178266
10750,-0.0007549834554083645
11000,-0.000759829708840698
11250,-0.0007256774697452784
11500,-0.0009061418822966516
11750,-0.0007884808583185077
12000,-0.0007773950346745551
12250,-0.0007893368601799011
12500,-0.0008005740819498897
12750,-0.0007722931914031506
13000,-0.0007451685960404575
13250,-0.0007371837273240089
13500,-0.0007214014767669141
13750,-0.0007235680823214352
14000,-0.0007187306182458997
14250,-0.0007247300236485898
14500,-0.0007245331071317196
14750,-0.0007210767944343388
15000,-0.0007295235409401357
15250,-0.0007338489522226155
15500,-0.0007316718110814691
15750,-0.0007190015749074519
16000,-0.0007207587477751076
16250,-0.0007149539305828512
16500,-0.0007182761328294873
16750,-0.0007118959911167622
17000,-0.0007130723097361624
17250,-0.0007122473907656968
17500,-0.0007111933664418757
17750,-0.0007065404788590968
18000,-0.0007052836590446532
18250,-0.000706144142895937
18500,-0.0006996189476922154
18750,-0.0007018743199296296
19000,-0.0007010572007857263
19250,-0.0006983350031077862
19500,-0.0006984586943872273
19750,-0.0007005342049524188
20000,-0.0007031203713268042
20250,-0.0007109131547622383
20500,-0.0007015661685727537
20750,-0.000700256263371557
21000,-0.0007009912515059114
21250,-0.0006989443209022284
21500,-0.0006984331412240863
21750,-0.0007010927074588835
22000,-0.000700649106875062
22250,-0.0006968008237890899
22500,-0.0006903483299538493
22750,-0.0006877842242829502
23000,-0.0006848982884548604
23250,-0.0006825298187322915
23500,-0.0006834554951637983
23750,-0.0006848399061709642
24000,-0.0006882735760882497
24250,-0.000686215702444315
24500,-0.0006865006871521473
24750,-0.0006890482036396861
25000,-0.0006862976588308811
25250,-0.0006887329509481788
25500,-0.000686800864059478
25750,-0.0006848391494713724
26000,-0.0006839065463282168
26250,-0.0006792658823542297
26500,-0.0006771947955712676
26750,-0.0006752974586561322
27000,-0.0006764291319996119
27250,-0.0006782475393265486
27500,-0.0006779655814170837
27750,-0.0006778559763915837
28000,-0.0006730483728460968
28250,-0.0006719994125887752
28500,-0.0006730600143782794
28750,-0.0006759516545571387
29000,-0.000677291420288384
29250,-0.0006789310136809945
29500,-0.0006759096868336201
29750,-0.000679879158269614
30000,-0.0006801775307394564
30250,-0.0006800279370509088
30500,-0.0006775775691494346
30750,-0.0006761501426808536
31000,-0.0006756533402949572
31250,-0.0006750466418452561
31500,-0.0006743875565007329
31750,-0.0006734588532708585
32000,-0.0006734962807968259
32250,-0.0006763722631148994
