step,value
250,1.2968592866258177e-09
500,8.738492596194192e-08
750,3.3356744921775316e-08
1000,6.379852646176687e-09
1250,0.0
1500,0.0
1750,4.807040454579692e-07
2000,2.711221824824861e-08
2250,1.4668891878955037e-08
2500,4.185715241078469e-08
2750,1.846363630875203e-07
3000,1.3334833965927828e-06
3250,4.4997736381446884e-07
3500,1.9944117468639888e-07
3750,2.5495964450783504e-07
4000,1.8380934108108704e-08
4250,2.469371622737526e-07
4500,7.3537602673923175e-09
4750,7.213852768472861e-07
5000,2.1789105630887207e-07
5250,6.449921841067408e-08
5500,1.2864829841419123e-06
5750,2.1332931510187336e-07
6000,7.680156954847916e-07
6250,1.991111133747836e-07
6500,1.7777777472360867e-08
6750,2.9361305564634677e-07
7000,4.802806756742939e-07
7250,5.653710277719881e-10
7500,1.2307692642821166e-08
7750,0.0
8000,0.0
8250,0.0
8500,0.0
8750,0.0
9000,0.0
9250,0.0
9500,0.0
9750,0.0
10000,0.0
10250,0.0
10500,3.1128405408864523e-10
10750,0.0
11000,0.0
11250,0.0
11500,5.333333419343944e-08
11750,0.0
12000,0.0
12250,6.399999961104186e-07
12500,2.399999914359796e-07
12750,0.0
13000,1.8140589030934962e-09
13250,7.999998388186214e-07
13500,4.0036445625446504e-07
13750,4.571428391386689e-08
14000,1.4578588336533471e-09
14250,1.8407284869681462e-06
14500,1.0661958640412195e-06
14750,2.7099465569335734e-06
15000,4.040091141632729e-07
15250,5.891115506528877e-07
15500,1.89895229141257e-06
15750,1.6007288650143892e-06
16000,2.7022451831726357e-06
16250,1.0064084676741913e-07
16500,7.200181926236837e-07
16750,5.576986040978227e-06
17000,6.597600190616504e-07
17250,6.195899349137335e-09
17500,2.9528931122513313e-07
17750,6.135155672382098e-08
18000,3.291116001946648e-07
18250,3.236446275423077e-07
18500,2.0036445391724556e-07
18750,2.54512610808888e-06
19000,1.4368220035976265e-06
19250,4.3691111386578996e-06
19500,4.995662948203972e-06
19750,4.069839178555412e-06
20000,2.012160621234216e-06
20250,9.843796760833357e-06
20500,1.4944722579457448e-06
20750,2.7959647042052893e-08
21000,4.62472917206469e-06
21250,1.4871038729324937e-05
21500,2.5850868041743524e-06
21750,2.898223556258017e-06
22000,9.148001822723018e-07
22250,3.963279141316889e-06
22500,1.43856027534639e-06
22750,9.003734930956853e-07
23000,4.367380199710169e-07
23250,6.44373585600988e-07
23500,8.451024768874049e-07
23750,4.949430376655073e-08
24000,1.6036446481848543e-07
24250,1.199999957179898e-07
24500,2.775237589958124e-06
24750,2.5178308078466216e-06
25000,3.22186792800494e-07
25250,2.154623643946252e-06
25500,9.44233761401847e-06
25750,5.289912678563269e-06
26000,1.1019680641766172e-05
26250,2.4001697056519333e-06
26500,2.0545785446302034e-06
26750,5.8731843637360726e-06
27000,1.3294943528308067e-05
27250,7.085071729306947e-07
27500,2.747461394392303e-06
27750,4.289332537155133e-06
28000,8.344991329067852e-06
28250,8.039029353312799e-07
28500,4.8799979595059995e-06
28750,2.7207649964111624e-06
29000,6.097107416280778e-06
29250,1.023218828777317e-05
29500,6.202913937158883e-06
29750,6.266835953283589e-06
30000,8.949671610025689e-06
