step,value
250,0.9999878406524658
500,0.9991689324378967
750,0.9988769292831421
1000,0.9993534684181213
1250,0.999653697013855
1500,0.9991688132286072
1750,0.9994812607765198
2000,0.9991326332092285
2250,0.9924688339233398
2500,0.9858253598213196
2750,0.977300226688385
3000,0.9916194081306458
3250,0.9839535355567932
3500,0.9874369502067566
3750,0.9906317591667175
4000,0.977742075920105
4250,0.8968279361724854
4500,0.9810027480125427
4750,0.9624179005622864
5000,0.9165420532226562
5250,0.97800213098526
5500,0.9877305030822754
5750,0.9870988130569458
6000,0.9404662847518921
6250,0.9955077171325684
6500,0.9959449172019958
6750,0.9729087948799133
7000,0.9926245808601379
7250,0.9919806122779846
7500,0.9986026287078857
7750,0.9901338815689087
8000,0.9800000190734863
8250,0.9981784820556641
8500,0.9984298348426819
8750,0.977540910243988
9000,0.998462975025177
9250,0.9927051663398743
9500,0.9863976240158081
9750,0.9942145943641663
10000,0.9989764094352722
10250,0.9824130535125732
10500,0.9936355352401733
10750,0.9819827079772949
11000,0.984642744064331
11250,0.9919754862785339
11500,0.9830864071846008
11750,0.9849743843078613
12000,0.9682809114456177
12250,0.9946488738059998
12500,0.9936820864677429
12750,0.9834285974502563
13000,0.9978575706481934
13250,0.9989908933639526
13500,0.9986575841903687
13750,0.9973333477973938
14000,0.9999908804893494
14250,1.0
14500,0.9990000128746033
14750,0.9999908804893494
15000,1.0
15250,0.9980000257492065
15500,1.0
15750,1.0
16000,0.9999908804893494
16250,0.9993333220481873
16500,1.0
16750,1.0
17000,0.9999817609786987
17250,1.0
17500,0.9990000128746033
17750,0.9991999864578247
18000,1.0
18250,0.9990000128746033
18500,1.0
18750,0.9959999918937683
19000,1.0
19250,1.0
19500,1.0
19750,1.0
20000,1.0
20250,1.0
20500,0.9991999864578247
20750,1.0
21000,1.0
21250,1.0
21500,1.0
21750,1.0
22000,0.9999908804893494
22250,1.0
22500,1.0
22750,0.9926666617393494
23000,1.0
23250,1.0
23500,1.0
23750,1.0
24000,1.0
24250,1.0
24500,1.0
24750,1.0
25000,1.0
25250,1.0
25500,1.0
25750,1.0
26000,1.0
26250,1.0
26500,1.0
26750,1.0
27000,1.0
27250,1.0
27500,1.0
27750,1.0
28000,1.0
28250,1.0
28500,1.0
28750,1.0
29000,1.0
29250,1.0
29500,1.0
29750,1.0
30000,1.0
30250,1.0
30500,1.0
30750,1.0
31000,1.0
31250,1.0
31500,1.0
31750,1.0
32000,1.0
32250,1.0
32500,1.0
32750,1.0
33000,1.0
33250,1.0
33500,1.0
33750,1.0
34000,1.0
34250,1.0
34500,1.0
34750,1.0
35000,1.0
35250,1.0
35500,1.0
35750,1.0
36000,1.0
36250,1.0
36500,1.0
36750,1.0
37000,1.0
37250,1.0
37500,0.9983999729156494
37750,1.0
38000,1.0
38250,1.0
38500,1.0
38750,1.0
39000,1.0
39250,1.0
39500,1.0
39750,1.0
40000,1.0
40250,1.0
40500,1.0
40750,1.0
41000,1.0
41250,1.0
41500,1.0
41750,1.0
42000,1.0
42250,1.0
42500,1.0
42750,1.0
43000,1.0
43250,1.0
43500,1.0
43750,1.0
44000,1.0
44250,1.0
44500,1.0
44750,1.0
45000,1.0
45250,1.0
45500,1.0
45750,1.0
46000,1.0
46250,1.0
46500,1.0
46750,1.0
47000,1.0
47250,1.0
47500,1.0
47750,1.0
48000,1.0
48250,1.0
48500,1.0
48750,1.0
49000,1.0
49250,1.0
49500,1.0
49750,1.0
50000,1.0
50250,1.0
50500,1.0
50750,1.0
51000,1.0
51250,1.0
51500,1.0
51750,1.0
52000,0.9999908804893494
52250,1.0
52500,1.0
52750,1.0
53000,1.0
53250,1.0
53500,1.0
53750,1.0
54000,1.0
54250,1.0
54500,1.0
54750,1.0
55000,1.0
55250,1.0
55500,1.0
55750,1.0
56000,1.0
56250,1.0
56500,0.9999908804893494
56750,1.0
57000,1.0
57250,1.0
57500,1.0
57750,1.0
58000,1.0
58250,1.0
58500,1.0
58750,1.0
59000,1.0
59250,1.0
59500,1.0
59750,1.0
60000,1.0
60250,1.0
60500,1.0
60750,1.0
61000,1.0
61250,1.0
61500,1.0
61750,1.0
62000,1.0
62250,1.0
62500,1.0
62750,1.0
63000,1.0
63250,1.0
63500,1.0
63750,1.0
64000,1.0
64250,1.0
64500,1.0
64750,1.0
65000,1.0
65250,1.0
65500,1.0
65750,1.0
66000,1.0
66250,1.0
66500,1.0
66750,1.0
67000,1.0
67250,1.0
67500,1.0
67750,1.0
68000,1.0
68250,1.0
68500,1.0
68750,1.0
69000,1.0
69250,1.0
69500,1.0
69750,1.0
70000,1.0
70250,1.0
70500,1.0
