step,value
250,-9.820327977649868e-05
500,-0.024556053802371025
750,-0.025948556140065193
1000,-0.04812265560030937
1250,-0.0429077073931694
1500,-0.10534685105085373
1750,-0.06532023847103119
2000,-0.08657608926296234
2250,-0.060690149664878845
2500,-0.04759608581662178
2750,-0.01815478689968586
3000,-0.05462117865681648
3250,-0.02356080897152424
3500,-0.03963114693760872
3750,-0.030555827543139458
4000,-0.05696358531713486
4250,-0.02548479661345482
4500,-0.01979658752679825
4750,-0.03233097866177559
5000,-0.024224478751420975
5250,-0.011043771170079708
5500,-0.008343835361301899
5750,-0.01415478065609932
6000,-0.0031158593483269215
6250,-0.010614234954118729
6500,-0.022441916167736053
6750,-0.00309460936114192
7000,-0.0004190626204945147
7250,-0.007470014505088329
7500,-3.80469391529914e-05
7750,-0.00948821846395731
8000,-0.0036182880867272615
8250,-1.0390636816737242e-05
8500,-0.0025872685946524143
8750,0.0
9000,-1.0156251164517016e-06
9250,-0.0002528906334191561
9500,0.0
9750,0.0
10000,0.0
10250,0.0
10500,0.0
10750,0.0
11000,0.0
11250,0.0
11500,0.0
11750,0.0
12000,0.0
12250,0.0
12500,0.0
12750,0.0
13000,0.0
13250,0.0
13500,0.0
13750,0.0
14000,0.0
14250,0.0
14500,0.0
14750,0.0
15000,0.0
15250,0.0
15500,0.0
15750,0.0
16000,0.0
16250,0.0
16500,0.0
16750,0.0
17000,0.0
17250,0.0
17500,0.0
17750,0.0
18000,0.0
18250,0.0
18500,0.0
18750,0.0
19000,0.0
19250,0.0
19500,-2.1093751456646714e-06
19750,-0.0005310937413014472
20000,-0.001458983402699232
20250,0.0
20500,0.0
20750,-1.56249996052793e-07
21000,-3.89062479371205e-05
21250,-8.75000569067197e-06
21500,-0.002190704457461834
21750,-0.0029763325583189726
22000,-1.6406252143497113e-06
22250,-0.00042492192005738616
22500,-0.0040851556695997715
22750,-1.1484368769743014e-05
23000,-0.002893592230975628
23250,-0.008507665246725082
23500,-0.01137133501470089
23750,-0.007587503641843796
24000,-0.019687656313180923
24250,-0.029451876878738403
24500,-0.02908032201230526
24750,-0.014052193611860275
25000,-0.011463834904134274
25250,-0.006364068482071161
25500,-0.010452191345393658
25750,-0.011170011945068836
26000,-0.005860233213752508
26250,-0.010960799641907215
26500,-0.01674274355173111
26750,-0.013022349216043949
27000,-0.02150789275765419
27250,-0.022552428767085075
27500,-0.03578133136034012
27750,-0.07966017723083496
28000,-0.10183476656675339
28250,-0.05304625257849693
28500,-0.08697845786809921
28750,-0.09806124866008759
29000,-0.0776347741484642
29250,-0.1552884727716446
29500,-0.23710475862026215
29750,-0.3044299781322479
30000,-0.4056941568851471
30250,-0.4231867790222168
30500,-0.5067654848098755
30750,-0.5525414347648621
31000,-0.6021697521209717
31250,-0.7340835928916931
31500,-0.807223379611969
31750,-0.8067547678947449
32000,-0.9418849349021912
32250,-0.9247923493385315
32500,-0.9654232263565063
32750,-1.0175198316574097
33000,-1.1392707824707031
33250,-1.2347831726074219
33500,-1.288033366203308
33750,-1.4450117349624634
34000,-1.5061187744140625
34250,-1.5757344961166382
34500,-1.7435760498046875
34750,-1.7731379270553589
35000,-1.9119771718978882
35250,-1.9370983839035034
35500,-2.0360219478607178
35750,-2.1005492210388184
36000,-2.2461674213409424
36250,-2.2539589405059814
36500,-2.270986557006836
36750,-2.2826945781707764
37000,-2.3835978507995605
37250,-2.3738138675689697
37500,-2.364591598510742
37750,-2.422065019607544
38000,-2.3470733165740967
38250,-2.4352638721466064
38500,-2.650322437286377
38750,-2.5498368740081787
39000,-2.639492988586426
39250,-2.6581335067749023
39500,-2.688600540161133
39750,-2.767402410507202
40000,-2.8827219009399414
40250,-2.82531476020813
40500,-2.9364771842956543
40750,-2.923279047012329
41000,-2.848389148712158
41250,-2.820629835128784
41500,-2.849898099899292
41750,-2.8817996978759766
42000,-2.909998655319214
42250,-2.8262150287628174
42500,-2.9572675228118896
42750,-2.9471001625061035
43000,-3.054835319519043
43250,-2.9301960468292236
43500,-3.0411460399627686
43750,-3.077273368835449
44000,-3.126692533493042
44250,-3.191584348678589
44500,-3.1565678119659424
44750,-3.1272552013397217
45000,-3.137890338897705
45250,-3.17067551612854
45500,-3.230374574661255
45750,-3.214975595474243
46000,-3.1684958934783936
46250,-3.1480631828308105
46500,-3.2816708087921143
46750,-3.199838638305664
47000,-3.1343936920166016
47250,-3.2738590240478516
47500,-3.299401044845581
47750,-3.3095216751098633
48000,-3.3737270832061768
48250,-3.380887269973755
48500,-3.347205877304077
48750,-3.311372995376587
49000,-3.3110063076019287
49250,-3.2535746097564697
49500,-3.233091115951538
49750,-3.320678234100342
50000,-3.38126277923584
50250,-3.4267795085906982
50500,-3.4645793437957764
50750,-3.445964813232422
51000,-3.4951961040496826
51250,-3.552013635635376
51500,-3.541249990463257
51750,-3.559051990509033
52000,-3.559663772583008
52250,-3.561800241470337
52500,-3.575683355331421
52750,-3.593374013900757
53000,-3.600086212158203
53250,-3.580991268157959
53500,-3.6025052070617676
53750,-3.6217379570007324
54000,-3.678027868270874
54250,-3.641993284225464
54500,-3.553274393081665
54750,-3.6423890590667725
55000,-3.685765266418457
55250,-3.6459128856658936
55500,-3.637843132019043
55750,-3.59053635597229
56000,-3.658637762069702
56250,-3.551731824874878
56500,-3.679497480392456
56750,-3.6158788204193115
57000,-3.61912202835083
57250,-3.64685320854187
57500,-3.6445021629333496
57750,-3.6498215198516846
58000,-3.5891709327697754
58250,-3.6291377544403076
58500,-3.645962715148926
58750,-3.6021687984466553
59000,-3.6833605766296387
59250,-3.672196626663208
59500,-3.6727843284606934
59750,-3.7077417373657227
60000,-3.717393159866333
60250,-3.6938703060150146
60500,-3.6783456802368164
60750,-3.7216484546661377
61000,-3.6830592155456543
61250,-3.7326669692993164
61500,-3.6459712982177734
61750,-3.6431519985198975
62000,-3.692092180252075
62250,-3.7054216861724854
62500,-3.7161331176757812
62750,-3.6902027130126953
63000,-3.724308729171753
63250,-3.7253317832946777
63500,-3.699261426925659
63750,-3.7226507663726807
64000,-3.7048919200897217
64250,-3.6861774921417236
64500,-3.758394718170166
64750,-3.682870388031006
65000,-3.7196738719940186
65250,-3.6705501079559326
65500,-3.616381883621216
65750,-3.6863248348236084
66000,-3.639801502227783
66250,-3.6133310794830322
66500,-3.691948175430298
66750,-3.6501705646514893
67000,-3.685973644256592
67250,-3.688347339630127
67500,-3.6788032054901123
67750,-3.6755166053771973
68000,-3.6274659633636475
68250,-3.675652027130127
68500,-3.666166067123413
68750,-3.6822662353515625
69000,-3.63698148727417
69250,-3.6715614795684814
69500,-3.713271379470825
69750,-3.68953537940979
70000,-3.6646878719329834
70250,-3.725872755050659
70500,-3.649507999420166
70750,-3.6228222846984863
71000,-3.681790590286255
71250,-3.6784117221832275
71500,-3.6704256534576416
71750,-3.7016468048095703
72000,-3.6818675994873047
72250,-3.6442110538482666
72500,-3.660000801086426
72750,-3.6585919857025146
73000,-3.7095694541931152
73250,-3.634892225265503
73500,-3.674443006515503
73750,-3.6653740406036377
74000,-3.688507318496704
74250,-3.655386447906494
74500,-3.628044843673706
74750,-3.5769271850585938
75000,-3.505506753921509
75250,-3.503178119659424
75500,-3.411562442779541
75750,-3.146995782852173
76000,-3.068892478942871
76250,-3.1180567741394043
76500,-3.236102819442749
76750,-3.3150410652160645
77000,-3.381925344467163
77250,-3.334597110748291
77500,-3.37857985496521
77750,-3.3490705490112305
78000,-3.3401055335998535
78250,-3.4084386825561523
78500,-3.3638646602630615
78750,-3.483652114868164
79000,-3.5694515705108643
79250,-3.557663679122925
79500,-3.5529985427856445
79750,-3.5539064407348633
80000,-3.557464122772217
80250,-3.629359245300293
80500,-3.5798227787017822
80750,-3.5294625759124756
81000,-3.618032455444336
81250,-3.69557785987854
81500,-3.7307705879211426
81750,-3.7602903842926025
82000,-3.748166561126709
82250,-3.7808477878570557
82500,-3.7470784187316895
82750,-3.7716891765594482
83000,-3.7964839935302734
83250,-3.770289421081543
83500,-3.7918014526367188
83750,-3.771726608276367
84000,-3.7912137508392334
84250,-3.780329465866089
84500,-3.7828314304351807
84750,-3.7954161167144775
85000,-3.794915199279785
85250,-3.7621922492980957
85500,-3.766394853591919
85750,-3.752185821533203
86000,-3.788210391998291
86250,-3.642721652984619
86500,-3.734924793243408
86750,-3.7095863819122314
87000,-3.7165379524230957
87250,-3.7036945819854736
87500,-3.6978676319122314
87750,-3.6952919960021973
88000,-3.717508316040039
88250,-3.713137149810791
88500,-3.7582170963287354
88750,-3.764587163925171
89000,-3.727919578552246
89250,-3.699326276779175
89500,-3.724287986755371
89750,-3.6957671642303467
90000,-3.6615641117095947
90250,-3.7280826568603516
90500,-3.6770079135894775
90750,-3.722342014312744
91000,-3.5696794986724854
91250,-3.629145622253418
91500,-3.5900251865386963
91750,-3.6527633666992188
92000,-3.6098973751068115
92250,-3.684450149536133
92500,-3.618943929672241
92750,-3.675461769104004
93000,-3.7399911880493164
93250,-3.706652879714966
93500,-3.668729782104492
93750,-3.594203233718872
94000,-3.6809446811676025
94250,-3.6616275310516357
94500,-3.6906371116638184
94750,-3.6577069759368896
95000,-3.6393470764160156
95250,-3.625889301300049
95500,-3.6364779472351074
95750,-3.643009901046753
96000,-3.690258264541626
96250,-3.626436710357666
96500,-3.6424317359924316
96750,-3.7353456020355225
97000,-3.697784185409546
97250,-3.6647143363952637
97500,-3.679272174835205
97750,-3.6715431213378906
98000,-3.7232353687286377
98250,-3.6905689239501953
98500,-3.67972993850708
98750,-3.7081034183502197
99000,-3.744666576385498
99250,-3.732748508453369
99500,-3.7343740463256836
99750,-3.7127771377563477
100000,-3.6972310543060303
100250,-3.667478084564209
100500,-3.704011917114258
100750,-3.6799509525299072
101000,-3.7001419067382812
101250,-3.7287447452545166
101500,-3.710905075073242
101750,-3.6671998500823975
102000,-3.7027134895324707
102250,-3.7394824028015137
102500,-3.7401680946350098
102750,-3.7460081577301025
103000,-3.708301067352295
103250,-3.687180995941162
103500,-3.703282594680786
103750,-3.7067711353302
104000,-3.7423956394195557
104250,-3.748544454574585
104500,-3.734422445297241
104750,-3.7008492946624756
105000,-3.749861001968384
105250,-3.703812599182129
105500,-3.727250576019287
105750,-3.6973865032196045
106000,-3.6965835094451904
106250,-3.6853597164154053
106500,-3.6709563732147217
106750,-3.639906644821167
107000,-3.673250436782837
107250,-3.6542716026306152
107500,-3.7192089557647705
107750,-3.714923620223999
108000,-3.7134506702423096
108250,-3.7005136013031006
