step,value
250,-1.1477577572804876e-05
500,-0.0028681091498583555
750,-0.0025480047333985567
1000,-0.002529416000470519
1250,-0.0027451985515654087
1500,-0.0027926990296691656
1750,-0.002381875878199935
2000,-0.0021251363214105368
2250,-0.0020311910193413496
2500,-0.0017442924436181784
2750,-0.0016639218665659428
3000,-0.0016967977862805128
3250,-0.001571466913446784
3500,-0.0015508851502090693
3750,-0.0014543617144227028
4000,-0.0015877984696999192
4250,-0.0015493036480620503
4500,-0.001388644683174789
4750,-0.0013752651866525412
5000,-0.0012623736402019858
5250,-0.0011935076909139752
5500,-0.0011389967985451221
5750,-0.0010810467647388577
6000,-0.0010543252574279904
6250,-0.0010558015201240778
6500,-0.0010361035820096731
6750,-0.0010008941171690822
7000,-0.0009867227636277676
7250,-0.0009715910418890417
7500,-0.0009501407039351761
7750,-0.0009516307618469
8000,-0.0009305665153078735
8250,-0.0009375981753692031
8500,-0.0009565834770910442
8750,-0.0009237280464731157
9000,-0.000928886525798589
9250,-0.0009299012017436326
9500,-0.0009318563970737159
9750,-0.0009461450390517712
10000,-0.0009390153572894633
10250,-0.0009421870927326381
10500,-0.000899500388186425
10750,-0.0008561910944990814
11000,-0.0008096929523162544
11250,-0.0008037412771955132
11500,-0.0007807436631992459
11750,-0.0007607642328366637
12000,-0.0007605880964547396
12250,-0.0007751321536488831
12500,-0.0007846712251193821
12750,-0.0007862733327783644
13000,-0.0007900337805040181
13250,-0.0007970708538778126
13500,-0.0007995404303073883
13750,-0.0008386003319174051
14000,-0.0008546498138457537
14250,-0.0008868725853972137
14500,-0.0009106070501729846
14750,-0.0009107838850468397
15000,-0.0009167189709842205
15250,-0.0009041402372531593
15500,-0.0008848225115798414
15750,-0.0008864763076417148
16000,-0.0008648807415738702
16250,-0.000842410430777818
16500,-0.0008474900969304144
16750,-0.0008342640940099955
17000,-0.0008373220334760845
17250,-0.0008323534857481718
17500,-0.0008240105235017836
17750,-0.0008383907261304557
18000,-0.0008528073667548597
18250,-0.0008479028474539518
18500,-0.0008782797958701849
18750,-0.0008829856524243951
19000,-0.0008815916953608394
19250,-0.0008848460856825113
19500,-0.0008948395261541009
19750,-0.0009095217101275921
20000,-0.0009316965006291866
20250,-0.0009264195687137544
20500,-0.0009363550343550742
20750,-0.0009372260537929833
21000,-0.0009387075551785529
21250,-0.0009203239460475743
21500,-0.0009005079627968371
21750,-0.0008815573528409004
22000,-0.000889035000000149
22250,-0.0008826818084344268
22500,-0.0009034473914653063
22750,-0.0008928247261792421
23000,-0.0009248497663065791
23250,-0.0008970224880613387
23500,-0.0009061809978447855
23750,-0.0009020240395329893
24000,-0.0009169795084744692
24250,-0.0009291107417084277
24500,-0.0009422575240023434
24750,-0.0009878722485154867
25000,-0.000978054478764534
25250,-0.0010126520646736026
25500,-0.0009960136376321316
25750,-0.0010101213119924068
26000,-0.001031218795105815
26250,-0.0010191235924139619
26500,-0.0010043146321550012
26750,-0.001030385261401534
27000,-0.0010117091005668044
27250,-0.0010068570263683796
27500,-0.0010691859060898423
27750,-0.001143620815128088
28000,-0.001048934180289507
28250,-0.0010614268248900771
28500,-0.0010823797201737761
28750,-0.0010762923629954457
29000,-0.001066521625034511
29250,-0.0010410570539534092
29500,-0.0010499113705009222
29750,-0.0010291063226759434
30000,-0.001026120618917048
30250,-0.0010088292183354497
30500,-0.0009969889651983976
30750,-0.0010307267075404525
31000,-0.0010184948332607746
31250,-0.0010355509584769607
31500,-0.001041879877448082
31750,-0.0010534265311434865
32000,-0.0010659029940143228
32250,-0.001039549126289785
32500,-0.0010250634513795376
32750,-0.001056788256391883
33000,-0.001181739498861134
33250,-0.0011345737148076296
33500,-0.0012023188173770905
33750,-0.0012443270534276962
34000,-0.001383777242153883
34250,-0.0015324507839977741
34500,-0.0015451154904440045
34750,-0.0017155490349978209
35000,-0.0020668059587478638
35250,-0.0019262295681983232
35500,-0.001987133175134659
35750,-0.0022174909245222807
36000,-0.002189421560615301
36250,-0.0022807372733950615
36500,-0.0023942478001117706
36750,-0.002579481340944767
37000,-0.002696502488106489
37250,-0.0025491705164313316
37500,-0.0026595673989504576
37750,-0.0027630627155303955
38000,-0.002852655714377761
38250,-0.0031291423365473747
38500,-0.0037231987807899714
38750,-0.003418689826503396
39000,-0.003686291165649891
39250,-0.003372084815055132
39500,-0.003246152773499489
39750,-0.0033139344304800034
40000,-0.003121730638667941
40250,-0.0030062878504395485
40500,-0.0032543372362852097
40750,-0.0031332720536738634
41000,-0.003508762689307332
41250,-0.0035004212986677885
41500,-0.0040795826353132725
41750,-0.004419669974595308
42000,-0.004546957556158304
42250,-0.004667807836085558
42500,-0.004631891846656799
42750,-0.004462104290723801
43000,-0.004413647577166557
43250,-0.004294425714761019
43500,-0.004878318402916193
43750,-0.005133192520588636
44000,-0.005311640445142984
44250,-0.005566465202718973
44500,-0.0056456755846738815
44750,-0.005643031559884548
45000,-0.005483063403517008
45250,-0.005515091586858034
45500,-0.005657185334712267
45750,-0.005529179237782955
46000,-0.0055121383629739285
46250,-0.005525896325707436
46500,-0.005764675326645374
46750,-0.00548823457211256
47000,-0.005535806529223919
47250,-0.005804579704999924
47500,-0.005813495256006718
47750,-0.005790583323687315
48000,-0.0059385644271969795
48250,-0.005844712723046541
48500,-0.005814902484416962
48750,-0.005832436494529247
49000,-0.005852121859788895
49250,-0.005688860081136227
49500,-0.005649490747600794
49750,-0.0057613602839410305
50000,-0.005904942750930786
50250,-0.005889908876270056
50500,-0.005911476444453001
50750,-0.005879468284547329
51000,-0.005859591066837311
51250,-0.005905485711991787
51500,-0.005897585302591324
51750,-0.005968176759779453
52000,-0.005964895710349083
52250,-0.005984763614833355
52500,-0.006070953793823719
52750,-0.006079468876123428
53000,-0.0060386634431779385
53250,-0.005991834681481123
53500,-0.006088512483984232
53750,-0.006038601975888014
54000,-0.006090207025408745
54250,-0.006077442318201065
54500,-0.005846251733601093
54750,-0.006040095817297697
55000,-0.006064980290830135
55250,-0.006045544054359198
55500,-0.0060189953073859215
55750,-0.005978124216198921
56000,-0.006054604891687632
56250,-0.005883249919861555
56500,-0.00618365965783596
56750,-0.0060249920934438705
57000,-0.00607885280624032
57250,-0.006121449172496796
57500,-0.006112996488809586
57750,-0.006060097366571426
58000,-0.0060997153632342815
58250,-0.0061163692735135555
58500,-0.006142615806311369
58750,-0.006124168634414673
59000,-0.0061490498483181
59250,-0.006153561174869537
59500,-0.0061941733583807945
59750,-0.0061148363165557384
60000,-0.006139771547168493
60250,-0.006103613413870335
60500,-0.0060973516665399075
60750,-0.006150871980935335
61000,-0.0061197541654109955
61250,-0.006116906646639109
61500,-0.0059668803587555885
61750,-0.005928154103457928
62000,-0.006082130130380392
62250,-0.006087869871407747
62500,-0.006152994465082884
62750,-0.0060750278644263744
63000,-0.006149893160909414
63250,-0.0061968048103153706
63500,-0.006203696131706238
63750,-0.0062127322889864445
64000,-0.006097461562603712
64250,-0.006098869722336531
64500,-0.006239292211830616
64750,-0.006077154539525509
65000,-0.006095970515161753
65250,-0.0060610598884522915
65500,-0.0059217419475317
65750,-0.006007086019963026
66000,-0.005952312611043453
66250,-0.005985650699585676
66500,-0.006100519560277462
66750,-0.006051323376595974
67000,-0.006063527427613735
67250,-0.006048045586794615
67500,-0.006074317265301943
67750,-0.00608224468305707
68000,-0.005996929481625557
68250,-0.006064034532755613
68500,-0.006078959442675114
68750,-0.006087257992476225
69000,-0.0059867361560463905
69250,-0.006094532553106546
69500,-0.006180413067340851
69750,-0.006075618788599968
70000,-0.00598495826125145
70250,-0.006065129302442074
70500,-0.005918422713875771
70750,-0.005919713526964188
71000,-0.0059716105461120605
71250,-0.005941344890743494
71500,-0.006002509035170078
71750,-0.0059762923046946526
72000,-0.006025712471455336
72250,-0.005988596007227898
72500,-0.005961049348115921
72750,-0.005923752207309008
73000,-0.00606793537735939
73250,-0.005973142571747303
73500,-0.006016307510435581
73750,-0.00604086322709918
74000,-0.0061217378824949265
74250,-0.0060312929563224316
74500,-0.005955149419605732
74750,-0.005939903669059277
75000,-0.005742907524108887
75250,-0.005701097194105387
75500,-0.005619866773486137
75750,-0.005188230890780687
76000,-0.005092295352369547
76250,-0.005156286060810089
76500,-0.00532798795029521
76750,-0.005425141658633947
77000,-0.005491328425705433
77250,-0.005459957290440798
77500,-0.005575607065111399
77750,-0.0055698612704873085
78000,-0.005464692134410143
78250,-0.005626694764941931
78500,-0.005516371689736843
78750,-0.005771053489297628
79000,-0.00592057965695858
79250,-0.0059755356051027775
79500,-0.00599319813773036
79750,-0.005955951288342476
80000,-0.0059679411351680756
80250,-0.006060664542019367
80500,-0.005960066802799702
80750,-0.0057837930507957935
81000,-0.006013624370098114
81250,-0.006101419683545828
81500,-0.006150333676487207
81750,-0.006184298545122147
82000,-0.006261362228542566
82250,-0.006275214720517397
82500,-0.006247935816645622
82750,-0.006328390911221504
83000,-0.006438359618186951
83250,-0.006289376877248287
83500,-0.006429989822208881
83750,-0.0063730026595294476
84000,-0.006307236850261688
84250,-0.006425592582672834
84500,-0.006397597026079893
84750,-0.006369906943291426
85000,-0.0064193131402134895
85250,-0.006331783253699541
85500,-0.006335947662591934
85750,-0.006203376688063145
86000,-0.006285938899964094
86250,-0.006058092229068279
86500,-0.006154668517410755
86750,-0.006161827128380537
87000,-0.006128601264208555
87250,-0.006130656693130732
87500,-0.006061730906367302
87750,-0.006090070120990276
88000,-0.006165994331240654
88250,-0.006113182287663221
88500,-0.006164781283587217
88750,-0.006166515406221151
89000,-0.006230327300727367
89250,-0.006189534906297922
89500,-0.006224241107702255
89750,-0.0062191784381866455
90000,-0.006163317710161209
90250,-0.006321214139461517
90500,-0.006241142749786377
90750,-0.006242276169359684
91000,-0.005976903717964888
91250,-0.006120825652033091
91500,-0.006094657815992832
91750,-0.006120605394244194
92000,-0.006004936993122101
92250,-0.00623081810772419
92500,-0.006116401869803667
92750,-0.006136453244835138
93000,-0.006239443551748991
93250,-0.006310997065156698
93500,-0.006155149545520544
93750,-0.0060391491279006
94000,-0.006181363947689533
94250,-0.006166585721075535
94500,-0.0061495122499763966
94750,-0.006188271101564169
95000,-0.006136604584753513
95250,-0.006101709790527821
95500,-0.006201271433383226
95750,-0.0061357044614851475
96000,-0.0062175774946808815
96250,-0.006045798771083355
96500,-0.006051022093743086
96750,-0.006224172655493021
97000,-0.006177435629069805
97250,-0.006089629605412483
97500,-0.00621172646060586
97750,-0.006079815793782473
98000,-0.006162574514746666
98250,-0.0061490838415920734
98500,-0.00614125793799758
98750,-0.006233088672161102
99000,-0.006305528338998556
99250,-0.006265262607485056
99500,-0.006324791349470615
99750,-0.006303066853433847
100000,-0.006245896685868502
100250,-0.006283018738031387
100500,-0.006303675938397646
100750,-0.006269092205911875
101000,-0.006333137396723032
101250,-0.006347084417939186
101500,-0.006275556981563568
101750,-0.006227746140211821
102000,-0.006238613277673721
102250,-0.006416156888008118
102500,-0.006373761221766472
102750,-0.006441048346459866
103000,-0.006300419569015503
103250,-0.00629310542717576
103500,-0.0063272626139223576
103750,-0.006277008913457394
104000,-0.006403997074812651
104250,-0.006295256316661835
104500,-0.006410825066268444
104750,-0.006286818999797106
105000,-0.0064005558378994465
105250,-0.006373205687850714
105500,-0.006422408390790224
105750,-0.00643162103369832
106000,-0.006399527657777071
106250,-0.006363865919411182
106500,-0.006365587934851646
106750,-0.006320290267467499
107000,-0.0063253892585635185
107250,-0.006298301741480827
107500,-0.006389901507645845
107750,-0.006416959688067436
108000,-0.006391614675521851
108250,-0.006482345517724752
108500,-0.006450918037444353
108750,-0.006490548141300678
109000,-0.006405551917850971
109250,-0.006403359118849039
109500,-0.0064007434993982315
109750,-0.006441865116357803
110000,-0.006495641078799963
110250,-0.006501331459730864
110500,-0.006578411906957626
110750,-0.006537104491144419
111000,-0.006478521507233381
111250,-0.006528474390506744
111500,-0.006529732141643763
111750,-0.006376625970005989
112000,-0.006371384486556053
112250,-0.006467282306402922
112500,-0.006520967930555344
112750,-0.006616298109292984
113000,-0.006549641955643892
113250,-0.006553724408149719
113500,-0.006461868993937969
113750,-0.0065253195352852345
114000,-0.006577210500836372
114250,-0.006453750189393759
114500,-0.006508560385555029
114750,-0.0064567807130515575
115000,-0.006498192902654409
115250,-0.006589266937226057
115500,-0.006467633880674839
115750,-0.006567720323801041
116000,-0.006582398898899555
116250,-0.006610180251300335
116500,-0.006464052479714155
116750,-0.0064793797209858894
117000,-0.006494384258985519
117250,-0.00634719105437398
117500,-0.006417361553758383
117750,-0.0063831801526248455
118000,-0.006345559377223253
118250,-0.00638253940269351
118500,-0.006477422080934048
118750,-0.006412087939679623
119000,-0.006424731574952602
119250,-0.006411193870007992
119500,-0.006430347450077534
119750,-0.006371296010911465
120000,-0.006470539141446352
120250,-0.0065000965259969234
120500,-0.006425502244383097
120750,-0.006433004979044199
121000,-0.006514898966997862
121250,-0.00651931669563055
121500,-0.0065422095358371735
121750,-0.006428529508411884
122000,-0.006457561627030373
122250,-0.006512224208563566
122500,-0.006523267365992069
122750,-0.006521791685372591
123000,-0.00645967572927475
123250,-0.0064882817678153515
123500,-0.006457665469497442
123750,-0.006462630815804005
124000,-0.006423539947718382
124250,-0.006308363284915686
124500,-0.006386323366314173
124750,-0.0063598016276955605
125000,-0.006400941405445337
125250,-0.006346156820654869
125500,-0.006380173377692699
125750,-0.006339273415505886
126000,-0.006374285090714693
126250,-0.006458643823862076
126500,-0.00633928133174777
126750,-0.006468874402344227
127000,-0.0064928606152534485
127250,-0.006388015113770962
127500,-0.0064608133397996426
127750,-0.006356591358780861
128000,-0.006406812462955713
128250,-0.006366950925439596
128500,-0.006310116034001112
128750,-0.006355455610901117
129000,-0.0064472113735973835
129250,-0.006505883764475584
129500,-0.006388484500348568
129750,-0.006429384462535381
130000,-0.006423245184123516
130250,-0.006439025513827801
130500,-0.0064004152081906796
130750,-0.0063827610574662685
131000,-0.006360653787851334
131250,-0.006389696151018143
131500,-0.006369396112859249
131750,-0.006449658889323473
132000,-0.0064415219239890575
132250,-0.006369410548359156
132500,-0.0064252992160618305
132750,-0.006427652668207884
133000,-0.006442426238209009
133250,-0.006308053154498339
133500,-0.006425165571272373
133750,-0.006372080650180578
134000,-0.006333389785140753
134250,-0.006319351959973574
134500,-0.00629753153771162
134750,-0.00622150581330061
135000,-0.006286622490733862
135250,-0.006243251264095306
135500,-0.006269421428442001
135750,-0.006149666383862495
136000,-0.006326800677925348
136250,-0.006294089835137129
136500,-0.006286238320171833
136750,-0.006263833027333021
137000,-0.006231818348169327
137250,-0.006299921777099371
137500,-0.006381132174283266
137750,-0.006382470950484276
138000,-0.006301749497652054
138250,-0.006254684180021286
138500,-0.006296894978731871
138750,-0.006166394799947739
139000,-0.006313416641205549
139250,-0.006252126768231392
139500,-0.006123172119259834
139750,-0.0061562140472233295
140000,-0.006052479147911072
140250,-0.006185472011566162
140500,-0.006137415301054716
140750,-0.0061963703483343124
141000,-0.00627182936295867
141250,-0.00621877470985055
141500,-0.006289995275437832
141750,-0.006293614860624075
142000,-0.006417987868189812
142250,-0.006489823572337627
142500,-0.006483168341219425
142750,-0.006331716664135456
143000,-0.0062996926717460155
143250,-0.006344009190797806
143500,-0.0064609469845891
143750,-0.00643667159602046
144000,-0.006580304354429245
144250,-0.0064103868789970875
144500,-0.006461134180426598
144750,-0.006519936956465244
145000,-0.006496372167021036
145250,-0.00640647578984499
145500,-0.006512525491416454
145750,-0.006510112434625626
146000,-0.00649260962381959
146250,-0.006535960827022791
146500,-0.006556141190230846
146750,-0.006666146218776703
147000,-0.006495865061879158
147250,-0.006560865323990583
147500,-0.006555592175573111
147750,-0.006515510380268097
148000,-0.006457597482949495
148250,-0.006510686129331589
148500,-0.006524638272821903
148750,-0.006496126297861338
149000,-0.00655270554125309
149250,-0.006601436994969845
149500,-0.006525687873363495
149750,-0.006515864282846451
150000,-0.006385700311511755
150250,-0.006284365896135569
150500,-0.006450748071074486
150750,-0.006444483995437622
151000,-0.00638061435893178
151250,-0.006379024125635624
151500,-0.006394343916326761
151750,-0.006433209404349327
152000,-0.006483943667262793
152250,-0.006451533176004887
152500,-0.0064278701320290565
152750,-0.006385345011949539
153000,-0.0064307586289942265
153250,-0.006426927167922258
153500,-0.006405718624591827
153750,-0.006405965890735388
154000,-0.006382081191986799
154250,-0.0063281552866101265
154500,-0.006251114420592785
154750,-0.006246625445783138
155000,-0.006261902395635843
155250,-0.0063056498765945435
155500,-0.006416365038603544
155750,-0.006314017344266176
156000,-0.006324920803308487
156250,-0.006227176170796156
156500,-0.006276188883930445
156750,-0.006338184699416161
157000,-0.006288948003202677
157250,-0.006344561465084553
157500,-0.00640947325155139
157750,-0.0063951886259019375
158000,-0.006397499702870846
158250,-0.006415714975446463
158500,-0.006388281472027302
158750,-0.006471177097409964
159000,-0.006502172909677029
159250,-0.006326618138700724
159500,-0.006461501121520996
159750,-0.006480369251221418
160000,-0.006479967851191759
160250,-0.006470100022852421
160500,-0.00642733508720994
160750,-0.0064825997687876225
161000,-0.006305677816271782
161250,-0.006408031098544598
161500,-0.006463728379458189
161750,-0.00639348803088069
162000,-0.006326393689960241
162250,-0.006096999626606703
162500,-0.006346337031573057
162750,-0.006285559851676226
163000,-0.006191568914800882
163250,-0.006296282634139061
163500,-0.006134275812655687
163750,-0.006209390237927437
164000,-0.006177673116326332
164250,-0.006295335479080677
164500,-0.006181021686643362
164750,-0.006294752936810255
165000,-0.006169952917844057
165250,-0.006260683294385672
165500,-0.00628304947167635
165750,-0.006232795305550098
166000,-0.006273515056818724
166250,-0.006338619161397219
166500,-0.006392583716660738
166750,-0.006238938774913549
167000,-0.0063794804736971855
167250,-0.006322641856968403
167500,-0.006407891865819693
167750,-0.0064033158123493195
168000,-0.006343676708638668
168250,-0.006430072244256735
168500,-0.006368089932948351
168750,-0.006301982793956995
169000,-0.006341415457427502
169250,-0.006220629438757896
169500,-0.006400353740900755
169750,-0.006296600680798292
170000,-0.0062804389744997025
170250,-0.0063720811158418655
170500,-0.006388090085238218
170750,-0.006317304912954569
171000,-0.006361514329910278
171250,-0.006197043694555759
