step,value
250,0.0
500,0.0
750,0.0
1000,0.0
1250,0.0
1500,0.0
1750,0.0
2000,0.0
2250,0.0
2500,0.0
2750,0.0
3000,0.0
3250,0.0
3500,0.0
3750,0.0
4000,0.0
4250,0.0
4500,0.0
4750,0.0
5000,0.0
5250,0.0
5500,0.0
5750,0.0
6000,0.0
6250,0.0
6500,0.0
6750,0.0
7000,0.0
7250,0.0
7500,0.0
7750,0.0
8000,0.0
8250,0.0
8500,0.0
8750,0.0
9000,0.0
9250,0.0
9500,0.0
9750,0.0
10000,0.0
10250,0.0
10500,0.0
10750,0.0
11000,0.0
11250,0.0
11500,0.0
11750,0.0
12000,0.0
12250,0.0
12500,0.0
12750,0.0
13000,0.0
13250,0.0
13500,0.0
13750,0.0
14000,0.0
14250,0.0
14500,0.0
14750,0.0
15000,0.0
15250,0.0
15500,0.0
15750,0.0
16000,0.0
16250,0.0
16500,0.0
16750,0.0
17000,0.0
17250,0.0
17500,0.0
17750,0.0
18000,0.0
18250,0.0
18500,0.0
18750,0.0
19000,0.0
19250,0.0
19500,0.0
19750,0.0
20000,0.0
20250,0.0
20500,0.0
20750,0.0
21000,0.0
21250,0.0
21500,0.0
21750,0.0
22000,0.0
22250,0.0
22500,0.0
22750,0.0
23000,0.0
23250,0.0
23500,0.0
23750,0.0
24000,0.0
24250,0.0
24500,0.0
24750,0.0
25000,0.0
25250,0.0
25500,0.0
25750,8.593747047314082e-09
26000,2.1590617507172283e-06
26250,4.8182760110648815e-06
26500,8.170304681698326e-06
26750,0.0
27000,0.0
27250,2.1874974720503815e-08
27500,5.446868726721732e-06
27750,1.2499990376113601e-08
28000,3.1124975521379383e-06
28250,0.0
28500,0.0
28750,0.0
29000,0.0
29250,0.0
29500,0.0
29750,1.218749101639105e-08
30000,3.0474977847916307e-06
30250,3.2276536785502685e-06
30500,9.311085705121513e-06
30750,3.1754670999362133e-06
31000,1.576701833982952e-05
31250,2.194951957790181e-05
31500,2.1027954062446952e-05
31750,1.4495620234811213e-05
32000,4.440903649083339e-05
32250,1.4089680917095393e-05
32500,4.029372212244198e-05
32750,3.5905766708310694e-05
33000,0.00010593586921459064
33250,0.00013481244968716055
33500,0.00015626958338543773
33750,0.0001713882084004581
34000,0.0002938398392871022
34250,0.0004134653427172452
34500,0.00040145163075067103
34750,0.0005110549391247332
35000,0.0007542004459537566
35250,0.0007111044833436608
35500,0.0007631189073435962
35750,0.0009076471906155348
36000,0.0009058648720383644
36250,0.0009759397944435477
36500,0.0010842937044799328
36750,0.0012296161148697138
37000,0.001231089816428721
37250,0.0011139347916468978
37500,0.001188932335935533
37750,0.001079052104614675
38000,0.0011064813006669283
38250,0.0012619078624993563
38500,0.0013376477872952819
38750,0.0011415790067985654
39000,0.0012042553862556815
39250,0.0011944927973672748
39500,0.001273692469112575
39750,0.0015123900957405567
40000,0.0014756288146600127
40250,0.0014773502480238676
40500,0.0015866688918322325
40750,0.001682160422205925
41000,0.001812209957279265
41250,0.001857851049862802
41500,0.002034243429079652
41750,0.0022835510317236185
42000,0.002156829694285989
42250,0.002185653429478407
42500,0.002348429523408413
42750,0.002250221325084567
43000,0.00236401055008173
43250,0.0023037604987621307
43500,0.002483547665178776
43750,0.002862805500626564
44000,0.0031157832127064466
44250,0.003379873465746641
44500,0.003426949493587017
44750,0.003379333997145295
45000,0.003633025800809264
45250,0.0037268484011292458
45500,0.003935600630939007
45750,0.004037548787891865
46000,0.0040022265166044235
46250,0.004013669211417437
46500,0.004169621504843235
46750,0.004134349059313536
47000,0.0039747036062181
47250,0.004291301127523184
47500,0.004353825468569994
47750,0.0043352884240448475
48000,0.004427631851285696
48250,0.004384566564112902
48500,0.004550237208604813
48750,0.004581077490001917
49000,0.004490726161748171
49250,0.004497509449720383
49500,0.004433784168213606
49750,0.004580445121973753
50000,0.0047705816105008125
50250,0.004780790768563747
50500,0.004823718685656786
50750,0.004895478021353483
51000,0.0049675144255161285
51250,0.005040519870817661
51500,0.005035752430558205
51750,0.005146323703229427
52000,0.005049263127148151
52250,0.005022893194109201
52500,0.00502529414370656
52750,0.005109935533255339
53000,0.005163191817700863
53250,0.0051136924885213375
53500,0.005236934870481491
53750,0.005215352866798639
54000,0.005440948996692896
54250,0.0054248846136033535
54500,0.005184507928788662
54750,0.005385013297200203
55000,0.005525985732674599
55250,0.005480828229337931
55500,0.005416232626885176
55750,0.005403985735028982
56000,0.00548301637172699
56250,0.005293675232678652
56500,0.005635639652609825
56750,0.005417358595877886
57000,0.005422736052423716
57250,0.005424825008958578
57500,0.005431257653981447
57750,0.00537633104249835
58000,0.005368884652853012
58250,0.005375290289521217
58500,0.005487996153533459
58750,0.00544785475358367
59000,0.005469804629683495
59250,0.005490690935403109
59500,0.005479907616972923
59750,0.00555594963952899
60000,0.005579729564487934
60250,0.005485061556100845
60500,0.005502428859472275
60750,0.005612123291939497
61000,0.005452623590826988
61250,0.005650016479194164
61500,0.005548493470996618
61750,0.005467580631375313
62000,0.005644496530294418
62250,0.005550223868340254
62500,0.0056077600456774235
62750,0.0056549240835011005
63000,0.005676490254700184
63250,0.005659802351146936
63500,0.005563952960073948
63750,0.005654783453792334
64000,0.005592808127403259
64250,0.005603786092251539
64500,0.005769267212599516
64750,0.005578826181590557
65000,0.005608904641121626
65250,0.005541709251701832
65500,0.005434653256088495
65750,0.005611973814666271
66000,0.005482482258230448
66250,0.005460940767079592
66500,0.00562873063609004
66750,0.005625560879707336
67000,0.005621044896543026
67250,0.005649389699101448
