step,value
250,0.0
500,0.0
750,0.0
1000,0.0
1250,0.0
1500,0.0
1750,0.0
2000,0.0
2250,0.0
2500,0.0
2750,0.0
3000,0.0
3250,0.0
3500,0.0
3750,0.0
4000,0.0
4250,0.0
4500,0.0
4750,0.0
5000,0.0
5250,0.0
5500,0.0
5750,0.0
6000,0.0
6250,0.0
6500,0.0
6750,0.0
7000,0.0
7250,0.0
7500,0.0
7750,0.0
8000,0.0
8250,0.0
8500,0.0
8750,0.0
9000,0.0
9250,0.0
9500,0.0
9750,0.0
10000,0.0
10250,0.0
10500,0.0
10750,0.0
11000,0.0
11250,0.0
11500,0.0
11750,0.0
12000,0.0
12250,0.0
12500,0.0
12750,0.0
13000,0.0
13250,0.0
13500,0.0
13750,0.0
14000,0.0
14250,0.0
14500,0.0
14750,0.0
15000,0.0
15250,0.0
15500,0.0
15750,0.0
16000,0.0
16250,0.0
16500,0.0
16750,0.0
17000,0.0
17250,0.0
17500,0.0
17750,0.0
18000,0.0
18250,0.0
18500,0.0
18750,0.0
19000,0.0
19250,0.0
19500,0.0
19750,0.0
20000,0.0
20250,0.0
20500,0.0
20750,0.0
21000,0.0
21250,0.0
21500,2.3310776668949984e-05
21750,0.00580438319593668
22000,0.0
22250,5.945321390754543e-06
22500,0.0014803849626332521
22750,3.063467374886386e-06
23000,0.0007855016156099737
23250,0.005669259000569582
23500,0.00433048140257597
23750,1.879765659396071e-05
24000,0.004706128034740686
24250,0.006371060851961374
24500,0.0046443999744951725
24750,0.0009367199963890016
25000,0.0039648194797337055
25250,0.004931717645376921
25500,0.0015961716417223215
25750,0.0015162021154537797
26000,0.0009644244564697146
26250,0.008635954931378365
26500,0.0020804530940949917
26750,4.5736710490018595e-06
27000,0.0011395920300856233
27250,0.0001901380019262433
27500,0.0010009784018620849
27750,0.007645473815500736
28000,0.0009881992591544986
28250,0.0
28500,7.856267984607257e-06
28750,0.00196280749514699
29000,0.0016474485164508224
29250,0.0012102650944143534
29500,0.00026993066421709955
29750,0.006043809000402689
30000,0.017379984259605408
30250,0.008779976516962051
30500,0.028776060789823532
30750,0.08832325041294098
31000,0.1039101779460907
31250,0.15184332430362701
31500,0.16453644633293152
31750,0.18810231983661652
32000,0.23503780364990234
32250,0.209231436252594
32500,0.20848403871059418
32750,0.3018268942832947
33000,0.4189077317714691
33250,0.49686378240585327
33500,0.5171897411346436
33750,0.5947518944740295
34000,0.7177720069885254
34250,0.8768306374549866
34500,0.9762107729911804
34750,1.0208847522735596
35000,1.185621976852417
35250,1.2843104600906372
35500,1.4304295778274536
35750,1.491463303565979
36000,1.7116689682006836
36250,1.792109489440918
36500,1.7745505571365356
36750,1.7592535018920898
37000,1.8419413566589355
37250,1.9870516061782837
37500,1.9436308145523071
37750,2.0513579845428467
38000,1.8962764739990234
38250,1.8956800699234009
38500,2.001689910888672
38750,2.0629618167877197
39000,2.064182758331299
39250,2.205254554748535
39500,2.278477668762207
39750,2.2768871784210205
40000,2.525334119796753
40250,2.5167551040649414
40500,2.499115228652954
40750,2.5836098194122314
41000,2.2632322311401367
41250,2.1943860054016113
41500,2.0645108222961426
41750,1.9302560091018677
42000,1.9796470403671265
42250,1.785401701927185
42500,1.9338304996490479
42750,1.9894015789031982
43000,2.0968070030212402
43250,2.0511422157287598
43500,1.9769821166992188
43750,1.7704381942749023
44000,1.683829665184021
44250,1.6315587759017944
44500,1.6032663583755493
44750,1.5927066802978516
45000,1.517716407775879
45250,1.4458074569702148
45500,1.4344357252120972
45750,1.3731287717819214
46000,1.3094602823257446
46250,1.2480309009552002
46500,1.3034029006958008
46750,1.352918028831482
47000,1.284578561782837
47250,1.3117338418960571
47500,1.3378112316131592
47750,1.2813081741333008
48000,1.3653733730316162
48250,1.3299845457077026
48500,1.2800581455230713
48750,1.1951435804367065
49000,1.2071763277053833
49250,1.274600863456726
49500,1.2380119562149048
49750,1.2420399188995361
50000,1.167373538017273
50250,1.2164026498794556
50500,1.2860314846038818
50750,1.2769594192504883
51000,1.2297992706298828
51250,1.2440930604934692
51500,1.2683875560760498
51750,1.2255582809448242
52000,1.253623366355896
52250,1.2639126777648926
52500,1.2503688335418701
52750,1.2811764478683472
53000,1.2250710725784302
53250,1.3322603702545166
53500,1.2439498901367188
53750,1.2355294227600098
54000,1.1868728399276733
54250,1.2213034629821777
54500,1.2116234302520752
54750,1.1490730047225952
55000,1.1390931606292725
55250,1.1144671440124512
55500,1.1057296991348267
55750,1.1237550973892212
56000,1.1191521883010864
56250,1.0914348363876343
56500,1.120343565940857
56750,1.103271245956421
57000,1.1076695919036865
57250,1.0901564359664917
57500,1.1139304637908936
57750,1.17904531955719
58000,1.0808488130569458
58250,1.1586172580718994
58500,1.1037094593048096
58750,1.0363330841064453
59000,1.1294434070587158
59250,1.09880793094635
59500,1.1122313737869263
59750,1.2191241979599
60000,1.1197103261947632
60250,1.132804036140442
60500,1.1194005012512207
60750,1.1072607040405273
61000,1.0963798761367798
61250,1.1443586349487305
61500,1.1272369623184204
61750,1.101383090019226
62000,1.0323145389556885
62250,1.0716632604599
62500,1.057145357131958
62750,1.050398588180542
63000,1.049999475479126
63250,1.0273584127426147
63500,1.0699187517166138
63750,1.0619001388549805
64000,1.0681281089782715
64250,1.0719562768936157
64500,1.0497685670852661
64750,1.0424325466156006
65000,1.11295747756958
65250,1.0712652206420898
65500,1.0776512622833252
65750,1.0516183376312256
66000,1.1214929819107056
66250,1.043303370475769
66500,1.0710041522979736
66750,1.038521409034729
67000,1.028038501739502
