step,value
250,-0.007093131076544523
500,-0.007091105915606022
750,-0.007089063059538603
1000,-0.007089665159583092
1250,-0.007089103572070599
1500,-0.007083989214152098
1750,-0.00707287760451436
2000,-0.0070313960313797
2250,-0.007005048915743828
2500,-0.006976203992962837
2750,-0.006950561888515949
3000,-0.006928559858351946
3250,-0.006897259037941694
3500,-0.0068656075745821
3750,-0.006838837638497353
4000,-0.006803901866078377
4250,-0.006760088261216879
4500,-0.006706292741000652
4750,-0.006636618170887232
5000,-0.006577388849109411
5250,-0.006531734485179186
5500,-0.0064964862540364265
5750,-0.006465303711593151
6000,-0.006434636190533638
6250,-0.006403092294931412
6500,-0.006351012736558914
6750,-0.006314682774245739
7000,-0.006269826553761959
7250,-0.006236134096980095
7500,-0.006201920099556446
7750,-0.006172600667923689
8000,-0.006142560392618179
8250,-0.00612254161387682
8500,-0.0060891746543347836
8750,-0.0060552433133125305
9000,-0.006023869384080172
9250,-0.006004507653415203
9500,-0.0059914980083703995
9750,-0.0059674521908164024
10000,-0.005936494097113609
10250,-0.005885891150683165
10500,-0.005826127249747515
10750,-0.005777627695351839
11000,-0.005728803109377623
11250,-0.005698125343769789
11500,-0.005673010367900133
11750,-0.005614063702523708
12000,-0.005565261468291283
12250,-0.005531416740268469
12500,-0.005480904597789049
12750,-0.0054236906580626965
13000,-0.005374758038669825
13250,-0.005337818525731564
13500,-0.0053201885893940926
13750,-0.005304253660142422
14000,-0.005285342689603567
14250,-0.005271978210657835
14500,-0.005252962000668049
14750,-0.005238818936049938
15000,-0.005220866296440363
15250,-0.005199424456804991
15500,-0.0051816958002746105
15750,-0.005162627436220646
16000,-0.0051461393013596535
16250,-0.0051231482066214085
16500,-0.005110943224281073
16750,-0.005102908704429865
17000,-0.0050871470011770725
17250,-0.00506263691931963
17500,-0.005041574127972126
17750,-0.005030611529946327
18000,-0.00501267472282052
18250,-0.004993222653865814
18500,-0.004976343829184771
18750,-0.00496445270255208
19000,-0.004957022611051798
19250,-0.004950975067913532
19500,-0.0049440087750554085
19750,-0.00493779918178916
20000,-0.0049280282109975815
20250,-0.004917560610920191
20500,-0.004903976805508137
20750,-0.004891503602266312
21000,-0.004871380981057882
21250,-0.004853886552155018
21500,-0.004840358626097441
21750,-0.004834658466279507
22000,-0.004824184346944094
22250,-0.004808382131159306
22500,-0.0048001655377447605
22750,-0.004786278121173382
23000,-0.004768389277160168
23250,-0.0047570159658789635
23500,-0.0047486708499491215
23750,-0.00472971610724926
24000,-0.004716406110674143
24250,-0.0047081150114536285
24500,-0.004687894601374865
24750,-0.004668900277465582
25000,-0.004653411917388439
25250,-0.00464202044531703
25500,-0.004634169861674309
25750,-0.00462368642911315
26000,-0.004607717040926218
26250,-0.004594050347805023
26500,-0.004569485783576965
26750,-0.004555974621325731
27000,-0.004546073265373707
27250,-0.004536797292530537
27500,-0.004525620490312576
27750,-0.004517970606684685
28000,-0.00450629647821188
28250,-0.004487492144107819
28500,-0.004471141379326582
28750,-0.004455828107893467
29000,-0.004434874746948481
29250,-0.004419179633259773
29500,-0.004409254994243383
29750,-0.004391671624034643
30000,-0.004367274697870016
30250,-0.004351923242211342
30500,-0.004337665159255266
30750,-0.00432616425678134
31000,-0.004303908906877041
31250,-0.004281145986169577
31500,-0.004266575910151005
31750,-0.0042531657963991165
32000,-0.004239019472151995
32250,-0.004228346981108189
32500,-0.004222807474434376
32750,-0.004210285842418671
33000,-0.004200813826173544
33250,-0.004191749729216099
33500,-0.004182874690741301
33750,-0.004175041802227497
34000,-0.004166389815509319
34250,-0.004158926662057638
34500,-0.004153749905526638
34750,-0.004148585256189108
35000,-0.0041426136158406734
35250,-0.0041346559301018715
35500,-0.004128374624997377
35750,-0.004124943632632494
36000,-0.0041214469820261
36250,-0.004119529854506254
36500,-0.004116580355912447
36750,-0.004111759830266237
37000,-0.004107314627617598
37250,-0.0041027432307600975
37500,-0.00409924890846014
37750,-0.004094964824616909
38000,-0.004088235087692738
38250,-0.004081322345882654
38500,-0.004075974691659212
38750,-0.004067800007760525
39000,-0.004061313811689615
39250,-0.004059541504830122
39500,-0.004056053701788187
39750,-0.004050818271934986
40000,-0.004046902526170015
40250,-0.004042305052280426
40500,-0.004039173014461994
40750,-0.004035010933876038
41000,-0.004029954317957163
41250,-0.004027863498777151
41500,-0.004026178736239672
41750,-0.004024818539619446
42000,-0.004021430388092995
42250,-0.004016346763819456
42500,-0.004011201672255993
42750,-0.004006673116236925
43000,-0.004000498913228512
43250,-0.003992099780589342
43500,-0.003984898328781128
43750,-0.0039808363653719425
44000,-0.003973878920078278
44250,-0.003968524280935526
44500,-0.003962914925068617
44750,-0.003960355184972286
45000,-0.003953366540372372
45250,-0.0039491974748671055
45500,-0.0039416770450770855
45750,-0.003933673724532127
46000,-0.00392548181116581
46250,-0.00392070971429348
46500,-0.003918076865375042
46750,-0.003910047467797995
47000,-0.0038998425006866455
47250,-0.0038904002867639065
47500,-0.0038781266193836927
47750,-0.003872572910040617
48000,-0.003865743288770318
48250,-0.0038595215883105993
48500,-0.0038488623686134815
48750,-0.003835922572761774
49000,-0.003829315071925521
49250,-0.003821495920419693
49500,-0.003817304503172636
49750,-0.003810445312410593
50000,-0.0038038103375583887
50250,-0.0037951429840177298
50500,-0.0037876570131629705
50750,-0.0037760112900286913
51000,-0.0037628093268722296
51250,-0.0037541589699685574
51500,-0.0037469982635229826
51750,-0.0037419009022414684
52000,-0.003738198196515441
52250,-0.0037345862947404385
52500,-0.0037294775247573853
52750,-0.0037208523135632277
53000,-0.0037119025364518166
53250,-0.0037053062114864588
53500,-0.0037001599557697773
53750,-0.003694176208227873
54000,-0.003686107462272048
54250,-0.0036792911123484373
54500,-0.0036717259790748358
54750,-0.003662935458123684
55000,-0.0036564001347869635
55250,-0.0036469001788645983
55500,-0.003639653790742159
55750,-0.00362963043153286
56000,-0.0036200303584337234
56250,-0.0036078349221497774
56500,-0.003594009904190898
56750,-0.003588925814256072
57000,-0.00358287850394845
57250,-0.00358094391413033
57500,-0.003579274518415332
57750,-0.003572882851585746
58000,-0.0035636965185403824
58250,-0.0035499862860888243
58500,-0.0035399969201534986
58750,-0.003531345631927252
59000,-0.003526585642248392
59250,-0.0035220228601247072
59500,-0.0035164549481123686
59750,-0.00351001787930727
60000,-0.0035024364478886127
60250,-0.0034932626876980066
60500,-0.003484353655949235
60750,-0.0034751815255731344
61000,-0.003471837379038334
61250,-0.003464579116553068
61500,-0.003454088233411312
61750,-0.0034438949078321457
62000,-0.0034357644617557526
62250,-0.003427947638556361
62500,-0.003425775794312358
62750,-0.0034209941513836384
63000,-0.0034130073618143797
63250,-0.003402548609301448
63500,-0.0033989688381552696
63750,-0.0033955660182982683
64000,-0.0033882511779665947
64250,-0.003379366360604763
64500,-0.0033754385076463223
64750,-0.003371443832293153
65000,-0.0033654889557510614
65250,-0.0033595720306038857
65500,-0.00335346139036119
65750,-0.003345304634422064
66000,-0.0033413234632462263
66250,-0.003335068002343178
66500,-0.003327984595671296
66750,-0.0033196215517818928
67000,-0.003311476204544306
67250,-0.003302473807707429
67500,-0.0032962257973849773
67750,-0.0032974155619740486
68000,-0.003293202258646488
68250,-0.0032868864946067333
68500,-0.003279120195657015
68750,-0.0032725634519010782
69000,-0.0032650858629494905
69250,-0.003258892334997654
69500,-0.0032537656370550394
69750,-0.003251816611737013
70000,-0.0032470598816871643
70250,-0.003242088481783867
70500,-0.0032367724925279617
70750,-0.0032332208938896656
71000,-0.0032272522803395987
71250,-0.0032194394152611494
71500,-0.0032132971100509167
71750,-0.0032049629371613264
72000,-0.0031993254087865353
72250,-0.0031937542371451855
72500,-0.00318522029556334
72750,-0.0031806956976652145
73000,-0.003175351768732071
73250,-0.0031725061126053333
73500,-0.003168663242831826
73750,-0.0031620052177459
74000,-0.003152083372697234
74250,-0.003142307046800852
74500,-0.003136422485113144
74750,-0.0031298440881073475
75000,-0.003126177005469799
75250,-0.003121095011010766
75500,-0.0031144453678280115
75750,-0.0031092839781194925
76000,-0.0031061223708093166
76250,-0.0030985937919467688
76500,-0.0030915159732103348
76750,-0.00308559974655509
77000,-0.0030785417184233665
77250,-0.0030755833722651005
77500,-0.0030694925226271152
77750,-0.003066231729462743
78000,-0.00305786170065403
78250,-0.0030507459305226803
