step,value
250,234.0
500,251.0
750,576.0
1000,783.0
1250,237.0
1500,435.0
1750,677.0
2000,207.0
2250,385.0
2500,627.0
2750,241.0
3000,300.0
3250,310.0
3500,782.0
3750,315.0
4000,452.0
4250,711.0
4500,236.0
4750,434.0
5000,632.0
5250,255.0
5500,317.0
5750,562.0
6000,210.0
6250,239.0
6500,505.0
6750,736.0
7000,248.0
7250,410.0
7500,652.0
7750,237.0
8000,377.0
8250,615.0
8500,223.0
8750,255.0
9000,642.0
9250,597.0
9500,261.0
9750,442.0
10000,521.0
10250,259.0
10500,444.0
10750,602.0
11000,247.0
11250,280.0
11500,532.0
11750,196.0
12000,237.0
12250,493.0
12500,712.0
12750,211.0
13000,390.0
13250,636.0
13500,218.0
13750,305.0
14000,355.0
14250,216.0
14500,239.0
14750,325.0
15000,739.0
15250,261.0
15500,285.0
15750,371.0
16000,245.0
16250,332.0
16500,382.0
16750,235.0
17000,257.0
17250,249.0
17500,248.0
17750,216.0
18000,484.0
18250,496.0
18500,249.0
18750,361.0
19000,259.0
19250,228.0
19500,416.0
19750,367.0
20000,786.0
