step,value
250,-7.811217074049637e-06
500,-0.0001870553387561813
750,-0.00042541188304312527
1000,-0.0005087655154056847
1250,-0.00041239813435822725
1500,-0.0004022562934551388
1750,-0.0004953211173415184
2000,-0.00033030370832420886
2250,-0.00038676447002217174
2500,-0.0004904311499558389
2750,-0.0004407767846714705
3000,-0.00035372498678043485
3250,-0.00046711068716831505
3500,-0.00044335215352475643
3750,-0.0004273529630154371
4000,-0.00039233831921592355
4250,-0.0004623627755790949
4500,-0.00044485251419246197
4750,-0.0004484954406507313
5000,-0.00046278684749267995
5250,-0.00043360405834391713
5500,-0.000425742007791996
5750,-0.0004560536763165146
6000,-0.0004234390798956156
6250,-0.00042560676229186356
6500,-0.0004480056231841445
6750,-0.0004442128411028534
7000,-0.0003704983682837337
7250,-0.0005030092434026301
7500,-0.00047540891682729125
7750,-0.00040545547381043434
8000,-0.0004637609818018973
8250,-0.0004285980830900371
8500,-0.0004251514037605375
8750,-0.00039879136602394283
9000,-0.00045372132444754243
9250,-0.00047276809345930815
9500,-0.00045729349949397147
9750,-0.000465031509520486
10000,-0.00048177654389292
10250,-0.00032770531834103167
10500,-0.0004535005136858672
10750,-0.000435559602919966
11000,-0.0003668580611702055
11250,-0.00045067319297231734
11500,-0.00041843499639071524
11750,-0.00046118893078528345
12000,-0.00040599764906801283
12250,-0.0004240820126142353
12500,-0.0004050182760693133
12750,-0.00040591819561086595
13000,-0.00042236692388541996
13250,-0.00044882073416374624
13500,-0.00036933470983058214
13750,-0.0003709984302986413
14000,-0.0004298223939258605
14250,-0.0004154945199843496
14500,-0.0004174000641796738
14750,-0.00042012540507130325
15000,-0.00040028372313827276
15250,-0.0004209197941236198
15500,-0.0004493040032684803
15750,-0.00042538996785879135
16000,-0.00037934115971438587
16250,-0.00039674623985774815
16500,-0.00041672232327982783
16750,-0.0004106659907847643
17000,-0.00040654459735378623
17250,-0.00041843310464173555
17500,-0.00037739455001428723
17750,-0.00036430699401535094
18000,-0.00041612284258008003
18250,-0.0004199352697469294
18500,-0.0003565733495634049
18750,-0.0004110769950784743
19000,-0.00037821836303919554
19250,-0.00032977783121168613
19500,-0.000426247512223199
19750,-0.0003860344586428255
20000,-0.0003957431763410568
