step,value
250,0.0
500,0.0
750,0.0
1000,-9.727797441883013e-05
1250,-0.0002638872538227588
1500,-8.26991890789941e-06
1750,-3.5135184589307755e-05
2000,-3.0752366001252085e-05
2250,0.0
2500,-2.1755569832748733e-05
2750,-3.423440648475662e-05
3000,0.0
3250,-9.014477342361715e-08
3500,-1.8983926565852016e-05
3750,-4.2767446757352445e-06
4000,0.0
4250,-8.168017302523367e-06
4500,-5.344571036403067e-06
4750,0.0
5000,-3.8092732665973017e-06
5250,-6.902569111844059e-06
5500,0.0
5750,-5.7979245866590645e-06
6000,-8.195741429517511e-06
6250,-7.586647552670911e-05
6500,-6.361839837154548e-07
6750,-2.505078009562567e-05
7000,-2.341131039429456e-05
7250,-0.00023991000489331782
7500,-0.00011741295747924596
7750,-4.1409690311411396e-05
8000,-0.00034350043279118836
8250,-5.36011611984577e-05
8500,-9.545692591927946e-05
8750,-0.00015523796901106834
9000,-8.324233203893527e-05
9250,-0.00017726489750202745
9500,-0.0001104685288737528
9750,-0.00019795045955106616
10000,-0.00034347883774898946
10250,-5.3182931878836825e-05
10500,-0.00011779278429457918
10750,-0.00010537789785303175
11000,-7.898246985860169e-05
11250,-8.001416426850483e-05
11500,-4.212778003420681e-05
11750,-0.00010374710836913437
12000,-7.913471199572086e-05
12250,-9.350050095235929e-05
12500,-8.544734737370163e-05
12750,-3.121123154414818e-05
13000,-7.465451926691458e-05
13250,-0.00014931702753528953
13500,-6.126821972429752e-05
13750,-8.834898471832275e-05
14000,-0.00011883909610332921
14250,-0.00016403975314460695
14500,-0.00020513872732408345
14750,-0.0001000094780465588
15000,-0.00012051722296746448
15250,-4.8416099161840975e-05
15500,-8.643543696962297e-05
15750,-0.00011634242400759831
16000,-1.363123010378331e-05
16250,-6.858138658571988e-05
16500,-3.6653840652434155e-05
16750,-7.264583837240934e-05
17000,-9.887148917187005e-05
17250,-8.510769112035632e-05
17500,-7.366727368207648e-05
17750,-0.00011970248306170106
18000,-0.00030301822698675096
18250,-0.00026763140340335667
18500,-0.00010094913159264252
18750,-0.00017317286983598024
19000,-9.583480277797207e-05
19250,-3.681400994537398e-05
19500,-6.22618681518361e-05
19750,-4.335388803156093e-05
20000,-7.419918983941898e-05
