step,value
250,0.006322423927485943
500,0.1364169716835022
750,0.1430109143257141
1000,1.6151204109191895
1250,1.7835662364959717
1500,1.219459056854248
1750,1.6813703775405884
2000,1.467794418334961
2250,2.381155014038086
2500,1.5973299741744995
2750,2.3917412757873535
3000,2.2276899814605713
3250,1.3548264503479004
3500,2.309736490249634
3750,1.9076040983200073
4000,2.4159886837005615
4250,2.0325119495391846
4500,2.46667218208313
4750,2.0858631134033203
5000,2.2260584831237793
5250,2.262380599975586
5500,2.1022708415985107
5750,2.1799519062042236
6000,2.144636392593384
6250,1.1656312942504883
6500,1.8431718349456787
6750,2.0695314407348633
7000,2.433455228805542
7250,1.3048781156539917
7500,1.7836421728134155
7750,2.410515546798706
8000,1.739525318145752
8250,2.3723671436309814
8500,2.102339029312134
8750,1.9278002977371216
9000,2.1306231021881104
9250,1.9011993408203125
9500,1.8089367151260376
9750,1.710666537284851
10000,1.7888425588607788
10250,1.4546648263931274
10500,1.62211275100708
10750,2.428194522857666
11000,3.31564998626709
11250,1.873640537261963
11500,2.3592045307159424
11750,1.681721568107605
12000,2.134716510772705
12250,2.2792391777038574
12500,2.679318428039551
12750,2.3781282901763916
13000,2.104755401611328
13250,2.0865864753723145
13500,2.6430368423461914
13750,2.3668055534362793
14000,2.160426139831543
14250,1.9140896797180176
14500,2.1840224266052246
14750,2.2803893089294434
15000,2.5963363647460938
15250,2.297109603881836
15500,1.6770685911178589
15750,2.083717107772827
16000,2.4302563667297363
16250,2.2196619510650635
16500,2.2135837078094482
16750,2.0133779048919678
17000,1.9136210680007935
17250,2.1646461486816406
17500,2.6157820224761963
17750,2.718339204788208
18000,1.8752111196517944
18250,1.910927414894104
18500,2.977856159210205
18750,2.0734338760375977
19000,2.067085027694702
19250,1.7114139795303345
19500,1.805688738822937
19750,2.407001495361328
20000,2.090031385421753
