step,value
250,-0.0042060608975589275
500,-0.07706665992736816
750,-0.12146662175655365
1000,-0.5181203484535217
1250,-0.5598577260971069
1500,-0.39809539914131165
1750,-0.5315412878990173
2000,-0.4689007103443146
2250,-0.7334413528442383
2500,-0.5076994895935059
2750,-0.7404057383537292
3000,-0.6859745979309082
3250,-0.4968472123146057
3500,-0.7545952796936035
3750,-0.6053794026374817
4000,-0.7434405088424683
4250,-0.6316251754760742
4500,-0.7613347172737122
4750,-0.6402470469474792
5000,-0.6818001866340637
5250,-0.7028809785842896
5500,-0.6837740540504456
5750,-0.6751939654350281
6000,-0.6775656342506409
6250,-0.45786333084106445
6500,-0.5888738632202148
6750,-0.739056408405304
7000,-0.765846848487854
7250,-0.39982175827026367
7500,-0.5875973701477051
7750,-0.7514381408691406
8000,-0.5305503010749817
8250,-0.7364551424980164
8500,-0.6571311950683594
8750,-0.6587079167366028
9000,-0.6479625105857849
9250,-0.5908850431442261
9500,-0.5874693393707275
9750,-0.5275989174842834
10000,-0.5505493879318237
10250,-0.4619084894657135
10500,-0.5402294397354126
10750,-0.7447820901870728
11000,-1.015923261642456
11250,-0.5814392566680908
11500,-0.751155436038971
11750,-0.5343694686889648
12000,-0.6529138088226318
12250,-0.7126290202140808
12500,-0.8423014283180237
12750,-0.7208372950553894
13000,-0.65022212266922
13250,-0.6479707956314087
13500,-0.814113199710846
13750,-0.7488646507263184
14000,-0.6800228357315063
14250,-0.6017945408821106
14500,-0.6724167466163635
14750,-0.6983848214149475
15000,-0.7955435514450073
15250,-0.7096841931343079
15500,-0.5223789811134338
15750,-0.6480576395988464
16000,-0.7506088614463806
16250,-0.7103399038314819
16500,-0.6959999203681946
16750,-0.6141587495803833
17000,-0.636090874671936
17250,-0.6604213118553162
17500,-0.8113712072372437
17750,-0.8585803508758545
18000,-0.5853060483932495
18250,-0.5963077545166016
18500,-0.9078097343444824
18750,-0.6452019810676575
19000,-0.6576624512672424
19250,-0.5316560864448547
19500,-0.5749073624610901
19750,-0.7756386995315552
20000,-0.6398192644119263
