step,value
250,16.079999923706055
500,353.20001220703125
750,602.0159912109375
1000,806.6680297851562
1250,713.8759765625
1500,664.9840087890625
1750,794.7680053710938
2000,613.8359985351562
2250,751.9240112304688
2500,795.8200073242188
2750,818.16796875
3000,702.22802734375
3250,740.4920043945312
3500,823.8839721679688
3750,785.6119995117188
4000,775.4459838867188
4250,820.1719970703125
4500,820.5960083007812
4750,797.7000122070312
5000,815.6019897460938
5250,796.18798828125
5500,778.2340087890625
5750,810.7000122070312
6000,785.3680419921875
6250,723.7360229492188
6500,781.7360229492188
6750,823.3360595703125
7000,758.656005859375
7250,802.27197265625
7500,807.364013671875
7750,798.0040283203125
8000,795.2319946289062
8250,818.8579711914062
8500,785.8159790039062
8750,758.6920166015625
9000,810.2080078125
9250,805.8480224609375
9500,791.1119995117188
9750,800.7659912109375
10000,799.427978515625
10250,619.6699829101562
10500,791.0419921875
10750,808.218017578125
11000,808.4866333007812
11250,805.469970703125
11500,805.5960083007812
11750,792.926025390625
12000,774.9760131835938
12250,812.0139770507812
12500,819.7319946289062
12750,778.4039916992188
13000,789.9959716796875
13250,818.7459716796875
13500,777.6759643554688
13750,791.2346801757812
14000,812.4746704101562
14250,782.0
14500,799.5560302734375
14750,808.1513061523438
15000,822.927978515625
15250,806.7966918945312
15500,799.635986328125
15750,814.9246826171875
16000,791.8740234375
16250,803.0506591796875
16500,816.8893432617188
16750,814.6519775390625
17000,804.8733520507812
17250,819.8233642578125
17500,822.0123901367188
17750,793.851318359375
18000,813.219970703125
18250,821.2713623046875
18500,820.27197265625
18750,800.81201171875
19000,789.6793212890625
19250,692.0579833984375
19500,818.135986328125
19750,817.083984375
20000,824.447021484375
