step,value
250,217.57005310058594
500,300.9219055175781
750,262.7469787597656
1000,822.4678955078125
1250,790.3524169921875
1500,813.5619506835938
1750,827.504150390625
2000,817.685302734375
2250,819.5179443359375
2500,827.187744140625
2750,733.00146484375
3000,812.0897827148438
3250,822.2378540039062
3500,817.5469360351562
3750,827.5050659179688
4000,818.5401611328125
4250,804.51171875
4500,820.4131469726562
4750,836.2056274414062
5000,839.6279296875
5250,727.9140625
5500,838.8342895507812
5750,822.4381103515625
6000,807.141357421875
6250,815.4315185546875
6500,823.6815185546875
6750,826.6945190429688
7000,815.6554565429688
7250,826.2740478515625
7500,823.17578125
7750,828.1212768554688
8000,825.2282104492188
8250,897.1729736328125
8500,762.903076171875
8750,840.4862670898438
9000,818.0377807617188
9250,818.78857421875
9500,827.511962890625
9750,835.451904296875
10000,826.6671752929688
10250,839.2891845703125
10500,825.8635864257812
10750,825.41162109375
11000,827.7169189453125
11250,833.0496826171875
11500,817.9261474609375
11750,820.0518798828125
12000,819.6475830078125
12250,842.0767822265625
12500,837.0916137695312
12750,833.5797729492188
13000,851.2653198242188
13250,834.7048950195312
13500,849.0752563476562
13750,839.982666015625
14000,842.1763916015625
14250,822.2225341796875
14500,836.2896728515625
14750,821.2095336914062
15000,816.209228515625
15250,829.0753784179688
15500,820.496337890625
15750,831.6126708984375
16000,829.3112182617188
16250,828.4558715820312
16500,834.3399658203125
16750,790.9223022460938
17000,843.0468139648438
17250,803.205078125
17500,859.0560302734375
17750,827.2544555664062
18000,833.63525390625
18250,818.199951171875
18500,833.400390625
18750,847.6766357421875
19000,834.3416137695312
19250,810.6685791015625
19500,844.6805419921875
19750,835.3240966796875
20000,833.8336791992188
