step,value
250,215.37962341308594
500,227.96958923339844
750,248.7306671142578
1000,323.21356201171875
1250,369.266845703125
1500,295.8310241699219
1750,292.6131286621094
2000,275.6498718261719
2250,484.12164306640625
2500,371.622802734375
2750,495.2690124511719
3000,430.1021423339844
3250,323.2872314453125
3500,341.5826110839844
3750,316.1399841308594
4000,381.6968078613281
4250,343.762451171875
4500,462.7412109375
4750,385.88665771484375
5000,370.2915344238281
5250,285.4266052246094
5500,414.9407653808594
5750,301.6192321777344
6000,395.4505920410156
6250,259.4700622558594
6500,314.0211486816406
6750,371.7987976074219
7000,385.4490051269531
7250,306.0595397949219
7500,330.302490234375
7750,357.2608642578125
8000,329.2602233886719
8250,356.2428894042969
8500,312.5578308105469
8750,370.2297668457031
9000,394.27325439453125
9250,333.9035949707031
9500,334.60906982421875
9750,311.85565185546875
10000,331.9698181152344
10250,390.0870361328125
10500,293.788818359375
10750,414.0579528808594
11000,579.6119995117188
11250,291.8250427246094
11500,359.2482604980469
11750,353.20501708984375
12000,382.42681884765625
12250,374.37249755859375
12500,338.9425964355469
12750,351.8684997558594
13000,331.86614990234375
13250,343.6101379394531
13500,369.83673095703125
13750,374.7481384277344
14000,381.982177734375
14250,385.6734619140625
14500,314.5780944824219
14750,346.307861328125
15000,364.1520080566406
15250,387.53106689453125
15500,298.3323974609375
15750,348.9908752441406
16000,366.9648742675781
16250,370.3633117675781
16500,381.55279541015625
16750,281.18792724609375
17000,354.004150390625
17250,354.8587951660156
17500,383.3601379394531
17750,419.5411071777344
18000,339.7369079589844
18250,358.862060546875
18500,429.26739501953125
18750,322.2763366699219
19000,348.7652893066406
19250,413.6005859375
19500,327.7025146484375
19750,397.9822082519531
20000,389.2940979003906
