step,value
480,-0.02343568578362465
960,-0.07629052549600601
1440,-0.038012221455574036
1920,-0.017693428322672844
2400,-0.012805119156837463
2880,-0.010856510140001774
3360,-0.009560996666550636
3840,-0.009090699255466461
4320,-0.00880084652453661
4800,-0.00843502301722765
5280,-0.008239995688199997
5760,-0.008165892213582993
6240,-0.008089856244623661
6720,-0.00795779563486576
7200,-0.007894895039498806
7680,-0.007732449099421501
8160,-0.007679206784814596
8640,-0.007618623320013285
9120,-0.007691958919167519
9600,-0.007568359840661287
10080,-0.007513528224080801
10560,-0.007498727645725012
11040,-0.007542411796748638
11520,-0.007511448580771685
12000,-0.007416271138936281
12480,-0.00739303370937705
12960,-0.0073714423924684525
13440,-0.007327859755605459
13920,-0.007343944627791643
14400,-0.007215763907879591
14880,-0.0071481987833976746
15360,-0.007099156733602285
15840,-0.0071626873686909676
16320,-0.0071491822600364685
16800,-0.007180819753557444
17280,-0.007110562175512314
17760,-0.007117700297385454
18240,-0.007019776850938797
18720,-0.006931258365511894
19200,-0.007030691485852003
19680,-0.007017635274678469
20160,-0.006984611973166466
20640,-0.00694176135584712
21120,-0.006906249560415745
21600,-0.006849554367363453
22080,-0.006860788911581039
22560,-0.0068713896907866
23040,-0.006772066932171583
23520,-0.006745852995663881
24000,-0.006770354229956865
24480,-0.006738536059856415
24960,-0.006771818734705448
25440,-0.0066911387257277966
25920,-0.006575903855264187
26400,-0.006642743945121765
26880,-0.006675077136605978
27360,-0.006611127406358719
27840,-0.0065950676798820496
28320,-0.006565294694155455
28800,-0.0066491239704191685
29280,-0.006552640348672867
29760,-0.006549919955432415
30240,-0.006550885736942291
30720,-0.006609360687434673
31200,-0.006513342726975679
31680,-0.0064405291341245174
32160,-0.006417345721274614
32640,-0.006373854354023933
33120,-0.00639905221760273
33600,-0.006362375803291798
34080,-0.006319636013358831
34560,-0.006363942287862301
35040,-0.006357803475111723
35520,-0.0062970672734081745
36000,-0.006391562055796385
36480,-0.006334862671792507
36960,-0.006276939995586872
37440,-0.006308221723884344
37920,-0.006276170257478952
38400,-0.006279267370700836
38880,-0.006282764952629805
39360,-0.006222052033990622
39840,-0.00629400135949254
40320,-0.006279368884861469
40800,-0.00626287842169404
41280,-0.0061577255837619305
41760,-0.00618935888633132
42240,-0.006208902224898338
42720,-0.00618315301835537
43200,-0.006196074653416872
43680,-0.006223330274224281
44160,-0.006083216983824968
44640,-0.00610390305519104
45120,-0.006078275386244059
45600,-0.006139553152024746
46080,-0.006086531560868025
46560,-0.00613408675417304
47040,-0.006091107148677111
47520,-0.006068781483918428
48000,-0.006128925364464521
