step,value
480,2.72673189583017e-10
960,4.77743444804446e-09
1440,5.76750949221605e-08
1920,3.6739598385793215e-07
2400,6.270377639339131e-07
2880,7.562729820165259e-07
3360,8.264058237728023e-07
3840,8.498479928675806e-07
4320,8.626722660665109e-07
4800,8.770871886554232e-07
5280,8.841319640850998e-07
5760,8.880350037543394e-07
6240,8.933614026318537e-07
6720,8.94122933914332e-07
7200,8.948691174737178e-07
7680,8.975710557024286e-07
8160,8.994962286124064e-07
8640,9.005141237139469e-07
9120,8.985022645902063e-07
9600,8.984127930489194e-07
10080,8.990023729893437e-07
10560,9.023399343277561e-07
11040,9.008563779389078e-07
11520,9.016292779051582e-07
12000,9.024863629747415e-07
12480,9.028352110362903e-07
12960,9.045773481375363e-07
13440,9.045687079378695e-07
13920,9.041812063514953e-07
14400,9.043517366080778e-07
14880,9.056592489287141e-07
15360,9.049044251696614e-07
15840,9.050057769854902e-07
16320,9.070452620107972e-07
16800,9.077021445591527e-07
17280,9.082540941562911e-07
17760,9.07436572106235e-07
18240,9.091008905670606e-07
18720,9.104682021643384e-07
19200,9.093565722650965e-07
19680,9.095616064769274e-07
20160,9.097196880247793e-07
20640,9.108046583605756e-07
21120,9.102852231990255e-07
21600,9.10150674826582e-07
22080,9.115358352573821e-07
22560,9.115245234170288e-07
23040,9.113369401347882e-07
23520,9.136018093158782e-07
24000,9.127166435973777e-07
24480,9.125812994170701e-07
24960,9.115132115766755e-07
25440,9.127223279392638e-07
25920,9.126794680014427e-07
26400,9.132085665441991e-07
26880,9.120751087721146e-07
27360,9.121102948483895e-07
27840,9.139681083070172e-07
28320,9.13315602701914e-07
28800,9.11658389668446e-07
29280,9.141387522504374e-07
29760,9.140252359429724e-07
30240,9.134247989095456e-07
30720,9.122486517298967e-07
31200,9.148383242063574e-07
31680,9.142877956946904e-07
32160,9.141199370787945e-07
32640,9.146223192146863e-07
33120,9.149187576440454e-07
33600,9.157938620774075e-07
34080,9.147280479737674e-07
34560,9.134107017416682e-07
35040,9.151247013505781e-07
35520,9.153592372967978e-07
36000,9.155148745776387e-07
36480,9.146573916041234e-07
36960,9.148021717919619e-07
37440,9.151742688118247e-07
37920,9.14741292490362e-07
38400,9.154142617262551e-07
38880,9.151877407020947e-07
39360,9.158060834124626e-07
39840,9.136008429777576e-07
40320,9.142323733613011e-07
40800,9.139539542957209e-07
41280,9.151572157861665e-07
41760,9.146378374680353e-07
42240,9.164523362414911e-07
42720,9.15711609650316e-07
43200,9.161203138319252e-07
43680,9.155136240224238e-07
44160,9.162989726974047e-07
44640,9.163276786239294e-07
45120,9.164395464722475e-07
45600,9.155908173852367e-07
46080,9.156498776974331e-07
46560,9.160746117231611e-07
47040,9.148268418357475e-07
47520,9.161018397207954e-07
48000,9.151475524049602e-07
