step,value
480,9.513644316783143e-10
960,1.1208760142267238e-08
1440,8.66548788280852e-08
1920,4.1830637087514333e-07
2400,6.678798740722414e-07
2880,7.895471867414017e-07
3360,8.576008099225874e-07
3840,8.799039505902329e-07
4320,8.920327445594012e-07
4800,9.030108572005702e-07
5280,9.076713354261301e-07
5760,9.082886549549585e-07
6240,9.101101454689342e-07
6720,9.120379331761796e-07
7200,9.121253583543876e-07
7680,9.145535386778647e-07
8160,9.152462325801025e-07
8640,9.157586191577138e-07
9120,9.144981731878943e-07
9600,9.156854048342211e-07
10080,9.165517553810787e-07
10560,9.17166630642896e-07
11040,9.171120041173708e-07
11520,9.173849093713216e-07
12000,9.182032272292417e-07
12480,9.183899010167806e-07
12960,9.185732210426067e-07
13440,9.189251954921929e-07
13920,9.18872046895558e-07
14400,9.192789889311825e-07
14880,9.200737167702755e-07
15360,9.204854336530843e-07
15840,9.201991701957013e-07
16320,9.208287110595847e-07
16800,9.202681212627795e-07
17280,9.215675618179375e-07
17760,9.209761060446908e-07
18240,9.217893648383324e-07
18720,9.230645900970558e-07
19200,9.2239923787929e-07
19680,9.218526315635245e-07
20160,9.227273380929546e-07
20640,9.227827604263439e-07
21120,9.233373816641688e-07
21600,9.241018119610089e-07
22080,9.239830660590087e-07
22560,9.236865139428119e-07
23040,9.238798384103575e-07
23520,9.248944934370229e-07
24000,9.241966267836688e-07
24480,9.241570637641416e-07
24960,9.242513101526129e-07
25440,9.242667147191241e-07
25920,9.251423875866749e-07
26400,9.249493473362236e-07
26880,9.243678391612775e-07
27360,9.247486900676449e-07
27840,9.251097594642488e-07
28320,9.248705623576825e-07
28800,9.244188845514145e-07
29280,9.25797394302208e-07
29760,9.251352821593173e-07
30240,9.24968389881542e-07
30720,9.241865654985304e-07
31200,9.255932695850788e-07
31680,9.254279120796127e-07
32160,9.259808280148718e-07
32640,9.26391180655628e-07
33120,9.260332944904803e-07
33600,9.26631287256896e-07
34080,9.267882887797896e-07
34560,9.255673489860783e-07
35040,9.267482141694927e-07
35520,9.270341365663626e-07
36000,9.263445122087433e-07
36480,9.264413733944821e-07
36960,9.268944154428027e-07
37440,9.268848657484341e-07
37920,9.273230148210132e-07
38400,9.27398218664166e-07
38880,9.269577958548325e-07
39360,9.27776397929847e-07
39840,9.272324632547679e-07
40320,9.273948649024533e-07
40800,9.271379326492024e-07
41280,9.279838195652701e-07
41760,9.281813504458114e-07
42240,9.279964388042572e-07
42720,9.279020218855294e-07
43200,9.287278430747392e-07
43680,9.280996664529084e-07
44160,9.289948366131284e-07
44640,9.287615512221237e-07
45120,9.290392313232587e-07
45600,9.28549468426354e-07
46080,9.28954989376507e-07
46560,9.284977409151907e-07
47040,9.288833098253235e-07
47520,9.294772098655812e-07
48000,9.284526072406152e-07
