step,value
480,-0.02204045094549656
960,-0.022747665643692017
1440,-0.023321004584431648
1920,-0.023323407396674156
2400,-0.023416675627231598
2880,-0.023575376719236374
3360,-0.024274049326777458
3840,-0.02434847690165043
4320,-0.023573804646730423
4800,-0.03743986785411835
5280,-0.0988498255610466
5760,-0.08478782325983047
6240,-0.09212160855531693
6720,-0.07897926867008209
7200,-0.0762011930346489
7680,-0.07287085056304932
8160,-0.07319995015859604
8640,-0.06458545476198196
9120,-0.06940224766731262
9600,-0.06618382036685944
10080,-0.060989391058683395
10560,-0.06537405401468277
11040,-0.059441301971673965
11520,-0.060459911823272705
12000,-0.055967122316360474
12480,-0.05491279065608978
12960,-0.05230548232793808
13440,-0.06073658540844917
13920,-0.05180441960692406
14400,-0.051303643733263016
14880,-0.0460665188729763
15360,-0.04979833588004112
15840,-0.050272390246391296
16320,-0.04851638898253441
16800,-0.04705480486154556
17280,-0.0499405562877655
17760,-0.04590125009417534
18240,-0.04635019227862358
18720,-0.047581546008586884
19200,-0.044162776321172714
19680,-0.046213798224925995
20160,-0.04672390595078468
20640,-0.04252924770116806
21120,-0.04552116245031357
21600,-0.0440264530479908
22080,-0.04072440415620804
22560,-0.04247836396098137
23040,-0.04348856210708618
23520,-0.041981447488069534
24000,-0.04195183143019676
24480,-0.0402301587164402
24960,-0.04073426499962807
25440,-0.04234011471271515
25920,-0.042961884289979935
26400,-0.041020896285772324
26880,-0.04169509559869766
27360,-0.042769964784383774
27840,-0.0388546884059906
28320,-0.039967652410268784
28800,-0.03922639414668083
29280,-0.03686390817165375
29760,-0.04016729071736336
30240,-0.04014850780367851
30720,-0.038761962205171585
31200,-0.04066985845565796
31680,-0.039126988500356674
32160,-0.037620507180690765
32640,-0.03810626268386841
33120,-0.036897674202919006
33600,-0.03634561598300934
34080,-0.03667198866605759
34560,-0.03776830807328224
35040,-0.03630591556429863
35520,-0.03660351037979126
36000,-0.04078800603747368
36480,-0.03806805983185768
36960,-0.038949497044086456
37440,-0.03683178871870041
37920,-0.03803718835115433
38400,-0.03739411383867264
38880,-0.03686709329485893
39360,-0.035930976271629333
39840,-0.03678089752793312
40320,-0.03781559690833092
40800,-0.03438834846019745
41280,-0.03643162176012993
41760,-0.035308048129081726
42240,-0.03678778186440468
42720,-0.034953854978084564
43200,-0.036102376878261566
43680,-0.03578895702958107
44160,-0.03425172343850136
44640,-0.03417868912220001
45120,-0.03499692305922508
45600,-0.03535282984375954
46080,-0.03433998301625252
46560,-0.03425205871462822
47040,-0.035696886479854584
47520,-0.034211453050374985
48000,-0.034447189420461655
