step,value
1500,360.0
3000,360.0
4500,360.0
6000,360.0
7500,360.0
9000,360.0
10500,360.0
12000,360.0
13500,360.0
15000,8.0
16500,360.0
18000,360.0
19500,360.0
21000,360.0
22500,360.0
24000,360.0
25500,360.0
27000,360.0
28500,360.0
30000,360.0
31500,360.0
33000,360.0
34500,360.0
36000,360.0
37500,360.0
39000,360.0
40500,360.0
42000,360.0
43500,360.0
45000,360.0
46500,360.0
48000,360.0
49500,360.0
51000,360.0
52500,360.0
54000,360.0
55500,360.0
57000,360.0
58500,360.0
60000,360.0
61500,360.0
63000,360.0
64500,360.0
66000,360.0
67500,360.0
69000,360.0
70500,360.0
72000,360.0
73500,360.0
75000,360.0
76500,360.0
78000,360.0
79500,360.0
81000,360.0
82500,360.0
84000,360.0
85500,360.0
87000,360.0
88500,360.0
90000,360.0
91500,360.0
93000,360.0
94500,360.0
96000,360.0
97500,360.0
99000,360.0
100500,360.0
102000,360.0
103500,360.0
105000,360.0
106500,360.0
108000,360.0
109500,360.0
111000,360.0
112500,360.0
114000,360.0
115500,360.0
117000,360.0
118500,360.0
120000,360.0
121500,360.0
123000,360.0
124500,360.0
126000,360.0
127500,360.0
129000,360.0
130500,360.0
132000,360.0
133500,360.0
135000,360.0
136500,360.0
138000,360.0
139500,360.0
141000,360.0
142500,360.0
144000,360.0
145500,360.0
147000,360.0
148500,360.0
150000,360.0
