step,value
1500,-0.13376528024673462
3000,-0.15590065717697144
4500,-0.14338994026184082
6000,-0.13838550448417664
7500,-0.11110886186361313
9000,-0.06464357674121857
10500,-0.0513589009642601
12000,-0.046155788004398346
13500,-0.04633229225873947
15000,-0.0367322638630867
16500,-0.0376850925385952
18000,-0.038009561598300934
19500,-0.04366014897823334
21000,-0.0523555763065815
22500,-0.04419654980301857
24000,-0.04265422001481056
25500,-0.03851338475942612
27000,-0.029089858755469322
28500,-0.027772778645157814
30000,-0.03682463988661766
31500,-0.07380764931440353
33000,-0.03789904713630676
34500,-0.0375371016561985
36000,-0.04495789110660553
37500,-0.0369318388402462
39000,-0.04763736203312874
40500,-0.040313053876161575
42000,-0.04628505930304527
43500,-0.039937082678079605
45000,-0.04364098608493805
46500,-0.02977340668439865
48000,-0.05014099180698395
49500,-0.059669818729162216
51000,-0.047741517424583435
52500,-0.039643533527851105
54000,-0.04341545328497887
55500,-0.04452574625611305
57000,-0.0389685183763504
58500,-0.04202801734209061
60000,-0.03653311729431152
61500,-0.04657590761780739
63000,-0.036970801651477814
64500,-0.04691069945693016
66000,-0.04388995096087456
67500,-0.03594556823372841
69000,-0.04276426509022713
70500,-0.05786743015050888
72000,-0.04123486578464508
73500,-0.03904087096452713
75000,-0.06454166024923325
76500,-0.033057793974876404
78000,-0.04222062975168228
79500,-0.03357289731502533
81000,-0.05131112039089203
82500,-0.04043108969926834
84000,-0.06295230984687805
85500,-0.045800093561410904
87000,-0.047991055995225906
88500,-0.04461035877466202
90000,-0.03678683191537857
91500,-0.0385117381811142
93000,-0.04872124269604683
94500,-0.043898534029722214
96000,-0.03588777408003807
97500,-0.05032891407608986
99000,-0.05977641046047211
100500,-0.05328565463423729
102000,-0.04720348119735718
103500,-0.042794398963451385
105000,-0.03365854173898697
106500,-0.045117661356925964
108000,-0.041521891951560974
109500,-0.04497766122221947
111000,-0.04478896036744118
112500,-0.033498384058475494
114000,-0.03332339972257614
115500,-0.03991254046559334
117000,-0.035710956901311874
118500,-0.05798342823982239
120000,-0.05112118646502495
121500,-0.04438388720154762
123000,-0.04747384041547775
124500,-0.039618488401174545
126000,-0.0470997653901577
127500,-0.0333581306040287
129000,-0.03817155212163925
130500,-0.0543057918548584
132000,-0.035711877048015594
133500,-0.04374803230166435
135000,-0.049918629229068756
136500,-0.03371654078364372
138000,-0.031044650822877884
139500,-0.04522797465324402
141000,-0.04756646230816841
142500,-0.036650728434324265
144000,-0.047609128057956696
145500,-0.037291206419467926
147000,-0.0452597439289093
148500,-0.040457841008901596
150000,-0.0438002310693264
