step,value
1500,-0.11065016686916351
3000,-0.12503187358379364
4500,-0.13127858936786652
6000,-0.1261224001646042
7500,-0.10212770104408264
9000,-0.08179429173469543
10500,-0.06711180508136749
12000,-0.05610565468668938
13500,-0.049745820462703705
15000,-0.03644951060414314
16500,-0.037471141666173935
18000,-0.03479970991611481
19500,-0.03382943198084831
21000,-0.04634963348507881
22500,-0.04494748264551163
24000,-0.032754816114902496
25500,-0.028910953551530838
27000,-0.02501172572374344
28500,-0.02213159017264843
30000,-0.026715025305747986
31500,-0.06591673195362091
33000,-0.02569500543177128
34500,-0.03487016633152962
36000,-0.028397684916853905
37500,-0.02805732935667038
39000,-0.02742302417755127
40500,-0.02521246299147606
42000,-0.023805007338523865
43500,-0.028670061379671097
45000,-0.029999326914548874
46500,-0.018837088719010353
48000,-0.03080877661705017
49500,-0.05631266161799431
51000,-0.03720154985785484
52500,-0.025357821956276894
54000,-0.02703825570642948
55500,-0.025451162829995155
57000,-0.02667204849421978
58500,-0.026789085939526558
60000,-0.02406548708677292
61500,-0.027063816785812378
63000,-0.0207201037555933
64500,-0.02420208975672722
66000,-0.02594550885260105
67500,-0.026015905663371086
69000,-0.03204001858830452
70500,-0.034164201468229294
72000,-0.03059626929461956
73500,-0.020006000995635986
75000,-0.032052088528871536
76500,-0.024081766605377197
78000,-0.027505943551659584
79500,-0.030887288972735405
81000,-0.033746544271707535
82500,-0.035740189254283905
84000,-0.03698904812335968
85500,-0.028974514454603195
87000,-0.023098627105355263
88500,-0.023260435089468956
90000,-0.020071329548954964
91500,-0.0318770706653595
93000,-0.028864283114671707
94500,-0.023977581411600113
96000,-0.02502632327377796
97500,-0.027203990146517754
99000,-0.030048096552491188
100500,-0.03256756067276001
102000,-0.045022495090961456
103500,-0.02604132890701294
105000,-0.018270188942551613
106500,-0.022430168464779854
108000,-0.027602696791291237
109500,-0.028014658018946648
111000,-0.026721743866801262
112500,-0.021964266896247864
114000,-0.024625280871987343
115500,-0.022615766152739525
117000,-0.022381700575351715
118500,-0.037290602922439575
120000,-0.03450336307287216
121500,-0.022488459944725037
123000,-0.024760492146015167
124500,-0.02415747195482254
126000,-0.03060648776590824
127500,-0.025567658245563507
129000,-0.019491691142320633
130500,-0.048218630254268646
132000,-0.020369166508316994
133500,-0.027402710169553757
135000,-0.026981106027960777
136500,-0.020079264417290688
138000,-0.017356442287564278
139500,-0.019283846020698547
141000,-0.02674773335456848
142500,-0.017248671501874924
144000,-0.027009248733520508
145500,-0.028064634650945663
147000,-0.030566828325390816
148500,-0.0221861619502306
150000,-0.020132027566432953
