step,value
1500,-0.0016502104699611664
3000,-0.0025853069964796305
4500,-0.0022996910847723484
6000,-0.014574534259736538
7500,-0.015425636433064938
9000,-0.006713177543133497
10500,-0.0052542551420629025
12000,-0.004767799284309149
13500,-0.00443385960534215
15000,-0.10141558945178986
16500,-0.004197179339826107
18000,-0.003461357206106186
19500,-0.0036339047364890575
21000,-0.0034521406050771475
22500,-0.003641541348770261
24000,-0.0036911461502313614
25500,-0.0038809070829302073
27000,-0.003609522944316268
28500,-0.004043773282319307
30000,-0.003653141437098384
31500,-0.0053168428130447865
33000,-0.0037831973750144243
34500,-0.002641234314069152
36000,-0.0032698612194508314
37500,-0.003181875916197896
39000,-0.0027935041580349207
40500,-0.0026898749638348818
42000,-0.0023936110083013773
43500,-0.0031215804629027843
45000,-0.002530389465391636
46500,-0.0026546502485871315
48000,-0.00296957278624177
49500,-0.003227903973311186
51000,-0.0026078305672854185
52500,-0.002894447650760412
54000,-0.0026192099321633577
55500,-0.00251732743345201
57000,-0.002576063387095928
58500,-0.002447599545121193
60000,-0.002466053469106555
61500,-0.0026172141078859568
63000,-0.0027073018718510866
64500,-0.0026063413824886084
66000,-0.0027724565006792545
67500,-0.002308100461959839
69000,-0.0028026169165968895
70500,-0.00220538885332644
72000,-0.0021494978573173285
73500,-0.002051175571978092
75000,-0.00332345231436193
76500,-0.002211199142038822
78000,-0.0027941137086600065
79500,-0.0024625230580568314
81000,-0.0029907298739999533
82500,-0.002742521930485964
84000,-0.002741412026807666
85500,-0.0023812418803572655
87000,-0.0018641811329871416
88500,-0.0022941476199775934
90000,-0.002370003378018737
91500,-0.002362891798838973
93000,-0.0030569264199584723
94500,-0.0022171721793711185
96000,-0.002412127796560526
97500,-0.002663074526935816
99000,-0.0025494261644780636
100500,-0.002583584748208523
102000,-0.002660083817318082
103500,-0.0022847482468932867
105000,-0.0021753457840532064
106500,-0.0027221785858273506
108000,-0.0026148094329982996
109500,-0.0026103337295353413
111000,-0.0031892522238194942
112500,-0.0025707369204610586
114000,-0.003262848826125264
115500,-0.002049296163022518
117000,-0.0030891664791852236
118500,-0.0027733922470360994
120000,-0.0028409084770828485
121500,-0.0026595823001116514
123000,-0.0029575349763035774
124500,-0.0029004267416894436
126000,-0.003260531462728977
127500,-0.0022155726328492165
129000,-0.0022151314187794924
130500,-0.01020842231810093
132000,-0.002159107243642211
133500,-0.0020438977517187595
135000,-0.0024836056400090456
136500,-0.0027171727269887924
138000,-0.0022751877550035715
139500,-0.0025382391177117825
141000,-0.0020415030885487795
142500,-0.002611036179587245
144000,-0.002507181838154793
145500,-0.0027508018538355827
147000,-0.0028198694344609976
148500,-0.0029625885654240847
150000,-0.003028332255780697
