step,value
1500,-0.01055409200489521
3000,-0.009273888543248177
4500,-0.009230236522853374
6000,-0.010515900328755379
7500,-0.007777473423629999
9000,-0.005347321275621653
10500,-0.004201757255941629
12000,-0.0034969134721904993
13500,-0.0031802677549421787
15000,-0.002868498209863901
16500,-0.0026583175640553236
18000,-0.0024678532499819994
19500,-0.002349930815398693
21000,-0.0021522336173802614
22500,-0.0020354643929749727
24000,-0.0018726607086136937
25500,-0.0018357221269980073
27000,-0.0017456435598433018
28500,-0.001806484186090529
30000,-0.0017510741017758846
31500,-0.0018625835655257106
33000,-0.0017548624891787767
34500,-0.0017771684797480702
36000,-0.0016995393671095371
37500,-0.0017534421058371663
39000,-0.0016615950735285878
40500,-0.0016529113054275513
42000,-0.0016034053405746818
43500,-0.0016118113417178392
45000,-0.0015604336513206363
46500,-0.001628669910132885
48000,-0.0015587442321702838
49500,-0.0015779337845742702
51000,-0.0014909631572663784
52500,-0.0015026872279122472
54000,-0.001435747486539185
55500,-0.0015163146890699863
57000,-0.0014314450090751052
58500,-0.0014615881955251098
60000,-0.0013648619642481208
61500,-0.0013984509278088808
63000,-0.0013153222389519215
64500,-0.0013702954165637493
66000,-0.0012710008304566145
67500,-0.0013262809952721
69000,-0.0012794542126357555
70500,-0.0013074030866846442
72000,-0.0012357147643342614
73500,-0.001339776674285531
75000,-0.0012204210506752133
76500,-0.0012859536800533533
78000,-0.0012063330505043268
79500,-0.0012863876763731241
81000,-0.0012197784380987287
82500,-0.001326715457253158
84000,-0.0012555149151012301
85500,-0.001309743383899331
87000,-0.0012230734573677182
88500,-0.0012874737149104476
90000,-0.0012194694718346
91500,-0.001343857147730887
93000,-0.0012437145924195647
94500,-0.0013009445974603295
96000,-0.0012182977516204119
97500,-0.0012865642784163356
99000,-0.001231305068358779
100500,-0.0013093320885673165
102000,-0.0012548540253192186
103500,-0.0012937331339344382
105000,-0.0012082376051694155
106500,-0.0012763082049787045
108000,-0.001223313738591969
109500,-0.0013267629547044635
111000,-0.0012583204079419374
112500,-0.0012759162345901132
114000,-0.0012050054501742125
115500,-0.0012895133113488555
117000,-0.0012101009488105774
118500,-0.0012762289261445403
120000,-0.0011817743070423603
121500,-0.0012603255454450846
123000,-0.001174481469206512
124500,-0.0012458512792363763
126000,-0.0011641926830634475
127500,-0.001273034606128931
129000,-0.001192026655189693
130500,-0.0012331872712820768
132000,-0.0011824910761788487
133500,-0.001242401311174035
135000,-0.001158064347691834
136500,-0.0012489812215790153
138000,-0.0011880220845341682
139500,-0.0012347942683845758
141000,-0.0011759145418182015
142500,-0.0012646245304495096
144000,-0.0011885553831234574
145500,-0.0012963350163772702
147000,-0.0012113334378227592
148500,-0.0013274445664137602
150000,-0.001237959018908441
