step,value
1500,-3.8922481536865234
3000,-3.362107992172241
4500,-3.3110787868499756
6000,-3.7249269485473633
7500,-3.0305075645446777
9000,-1.9732311964035034
10500,-1.5114401578903198
12000,-1.3739336729049683
13500,-1.1425238847732544
15000,-1.0910582542419434
16500,-0.987285315990448
18000,-0.9211424589157104
19500,-0.783839762210846
21000,-0.8005910515785217
22500,-0.7651810050010681
24000,-0.7253984212875366
25500,-0.685283899307251
27000,-0.6258154511451721
28500,-0.5454432964324951
30000,-0.704870343208313
31500,-0.6282142996788025
33000,-0.6721585988998413
34500,-0.6281750798225403
36000,-0.5856528282165527
37500,-0.5102701187133789
39000,-0.6010029911994934
40500,-0.5346196293830872
42000,-0.5762403011322021
43500,-0.5666199326515198
45000,-0.5749466419219971
46500,-0.41884005069732666
48000,-0.5146647095680237
49500,-0.5831745862960815
51000,-0.5624800324440002
52500,-0.49953511357307434
54000,-0.5278832912445068
55500,-0.5514002442359924
57000,-0.47984638810157776
58500,-0.5392348170280457
60000,-0.5213130712509155
61500,-0.46686673164367676
63000,-0.4794483780860901
64500,-0.3766544461250305
66000,-0.443464457988739
67500,-0.4410146474838257
69000,-0.46529558300971985
70500,-0.4695461392402649
72000,-0.4460170269012451
73500,-0.5204423666000366
75000,-0.4492768943309784
76500,-0.4355989694595337
78000,-0.451637327671051
79500,-0.4786679446697235
81000,-0.45520028471946716
82500,-0.4152192771434784
84000,-0.48213252425193787
85500,-0.4408661425113678
87000,-0.46253296732902527
88500,-0.4671776294708252
90000,-0.4707179069519043
91500,-0.3933495283126831
93000,-0.40199345350265503
94500,-0.46983081102371216
96000,-0.4864148199558258
97500,-0.4314501881599426
99000,-0.4280703365802765
100500,-0.4841279983520508
102000,-0.46041738986968994
103500,-0.4697093367576599
105000,-0.5077540874481201
106500,-0.47301846742630005
108000,-0.4261906147003174
109500,-0.35205522179603577
111000,-0.5114907622337341
112500,-0.49675729870796204
114000,-0.49592703580856323
115500,-0.5003302097320557
117000,-0.44343554973602295
118500,-0.6824047565460205
120000,-0.463192880153656
121500,-0.4358881115913391
123000,-0.4320486783981323
124500,-0.4247804582118988
126000,-0.42682304978370667
127500,-0.37450698018074036
129000,-0.4477531313896179
130500,-0.4749701917171478
132000,-0.4224115312099457
133500,-0.45480966567993164
135000,-0.4666394293308258
136500,-0.3523945212364197
138000,-0.43899157643318176
139500,-0.4750025272369385
141000,-0.4451393783092499
142500,-0.4389333426952362
144000,-0.44530704617500305
145500,-0.4151567816734314
147000,-0.47328421473503113
148500,-0.4826955199241638
150000,-0.45831209421157837
