step,value
480,-0.02407916635274887
960,-0.07998358458280563
1440,-0.04364979639649391
1920,-0.02310764603316784
2400,-0.02000410482287407
2880,-0.019450034946203232
3360,-0.018483106046915054
3840,-0.018073221668601036
4320,-0.017926078289747238
4800,-0.01735612004995346
5280,-0.016922499984502792
5760,-0.016663765534758568
6240,-0.016370350494980812
6720,-0.016367504373192787
7200,-0.016036704182624817
7680,-0.01549182552844286
8160,-0.015338409692049026
8640,-0.015265291556715965
9120,-0.015041427686810493
9600,-0.01477751974016428
10080,-0.014619401656091213
10560,-0.014471305534243584
11040,-0.014393952675163746
11520,-0.014158288948237896
12000,-0.014097851701080799
12480,-0.013982518576085567
12960,-0.013905179686844349
13440,-0.01369436178356409
13920,-0.013630788773298264
14400,-0.01338644977658987
14880,-0.013186834752559662
15360,-0.013155205175280571
15840,-0.013149050995707512
16320,-0.013245174661278725
16800,-0.01306538563221693
17280,-0.012934324331581593
17760,-0.013005964457988739
18240,-0.012797314673662186
18720,-0.012652460485696793
19200,-0.012809866108000278
19680,-0.012707659974694252
20160,-0.012668019160628319
20640,-0.012542476877570152
21120,-0.012555982917547226
21600,-0.0125370342284441
22080,-0.012558446265757084
22560,-0.012709682807326317
23040,-0.012442106381058693
23520,-0.012358548119664192
24000,-0.012380430474877357
24480,-0.012192629277706146
24960,-0.012384681031107903
25440,-0.012214371003210545
25920,-0.01224410068243742
26400,-0.012240631505846977
26880,-0.012449653819203377
27360,-0.01247633807361126
27840,-0.012167159467935562
28320,-0.012334588915109634
28800,-0.012455904856324196
29280,-0.012205161154270172
29760,-0.012140664272010326
30240,-0.012148778885602951
30720,-0.012276857160031796
31200,-0.012173296883702278
31680,-0.01202513836324215
32160,-0.012010512873530388
32640,-0.012107784859836102
33120,-0.012142069637775421
33600,-0.012059026397764683
34080,-0.01212308555841446
34560,-0.01203217264264822
35040,-0.011972705833613873
35520,-0.011993358843028545
36000,-0.012194526381790638
36480,-0.012138688936829567
36960,-0.012046772055327892
37440,-0.011980117298662663
37920,-0.012160665355622768
38400,-0.012112351134419441
38880,-0.012125310488045216
39360,-0.012063898146152496
39840,-0.012209258042275906
40320,-0.012208887375891209
40800,-0.01207806821912527
41280,-0.012035082094371319
41760,-0.012166855856776237
42240,-0.012109672650694847
42720,-0.01203893031924963
43200,-0.012004353106021881
43680,-0.012126658111810684
44160,-0.011971253901720047
44640,-0.012019986286759377
45120,-0.011862149462103844
45600,-0.012039236724376678
46080,-0.011935054324567318
46560,-0.011925594881176949
47040,-0.011880897916853428
47520,-0.011803601868450642
48000,-0.012088888324797153
