step,value
480,-0.02444319613277912
960,-0.07967103272676468
1440,-0.0372922308743
1920,-0.01711871102452278
2400,-0.013271534815430641
2880,-0.011630394496023655
3360,-0.010362913832068443
3840,-0.009872625581920147
4320,-0.009545061737298965
4800,-0.009058882482349873
5280,-0.00878195185214281
5760,-0.008593006990849972
6240,-0.008408425375819206
6720,-0.008158109150826931
7200,-0.008086610585451126
7680,-0.00790166761726141
8160,-0.007751446682959795
8640,-0.007638299372047186
9120,-0.0076605635695159435
9600,-0.007514333352446556
10080,-0.007434696890413761
10560,-0.007377674337476492
11040,-0.007356022950261831
11520,-0.007288280874490738
12000,-0.007178500760346651
12480,-0.007087175268679857
12960,-0.007100692018866539
13440,-0.007097778841853142
13920,-0.007144208066165447
14400,-0.007058558985590935
14880,-0.006964628119021654
15360,-0.0069507271982729435
15840,-0.007031816523522139
16320,-0.007060373667627573
16800,-0.0070960633456707
17280,-0.0070163654163479805
17760,-0.007053073029965162
18240,-0.006969362962990999
18720,-0.00692563084885478
19200,-0.007019729819148779
19680,-0.007038781885057688
20160,-0.007042860612273216
20640,-0.007024139631539583
21120,-0.006992171052843332
21600,-0.006956904660910368
22080,-0.007011678069829941
22560,-0.007008049171417952
23040,-0.006936182733625174
23520,-0.006990611087530851
24000,-0.007049306761473417
24480,-0.006995433941483498
24960,-0.007032012101262808
25440,-0.006964451167732477
25920,-0.006916417740285397
26400,-0.006947282701730728
26880,-0.006971027236431837
27360,-0.0069334194995462894
27840,-0.006928251590579748
28320,-0.006980815902352333
28800,-0.007081552408635616
29280,-0.007041372358798981
29760,-0.007028224412351847
30240,-0.007050476502627134
30720,-0.007164192385971546
31200,-0.007071812637150288
31680,-0.0070421891286969185
32160,-0.007085672579705715
32640,-0.007123413495719433
33120,-0.00715607451274991
33600,-0.007104461081326008
34080,-0.007092051208019257
34560,-0.007180282846093178
35040,-0.007162522524595261
35520,-0.007141325622797012
36000,-0.007227543741464615
36480,-0.0071965171955525875
36960,-0.0070884088054299355
37440,-0.007108422927558422
37920,-0.007087965961545706
38400,-0.007095950655639172
38880,-0.007108892314136028
39360,-0.0070565566420555115
39840,-0.007172991521656513
40320,-0.007149620447307825
40800,-0.0071661705151200294
41280,-0.007075747940689325
41760,-0.007165617775171995
42240,-0.0071721430867910385
42720,-0.007151923142373562
43200,-0.007150792982429266
43680,-0.007194340694695711
44160,-0.0070963893085718155
44640,-0.007149294018745422
45120,-0.007150007411837578
45600,-0.007226111367344856
46080,-0.007217134814709425
46560,-0.00724745262414217
47040,-0.00723141198977828
47520,-0.007233171258121729
48000,-0.007311370223760605
