step,value
480,-0.0002485297154635191
960,-0.0009588126558810472
1440,-0.0008216387941502035
1920,-0.0007134898332878947
2400,-0.0006814334774389863
2880,-0.0006557819433510303
3360,-0.0006365972803905606
3840,-0.0006224800017662346
4320,-0.000612085044849664
4800,-0.0006075630662962794
5280,-0.0033107877243310213
5760,-0.005944572389125824
6240,-0.005783395376056433
6720,-0.005661160219460726
7200,-0.005548780784010887
7680,-0.00540512427687645
8160,-0.005236907862126827
8640,-0.00505780428647995
9120,-0.004805731121450663
9600,-0.004631341900676489
10080,-0.0044469269923865795
10560,-0.004239169880747795
11040,-0.0040606302209198475
11520,-0.0038970671594142914
12000,-0.0037226465065032244
12480,-0.003593580564484
12960,-0.003470881376415491
13440,-0.0033679413609206676
13920,-0.003279216820374131
14400,-0.0031889635138213634
14880,-0.0031087163370102644
15360,-0.0030433887150138617
15840,-0.002999464515596628
16320,-0.0029520487878471613
16800,-0.0029116657096892595
17280,-0.0028826044872403145
17760,-0.002854867372661829
18240,-0.0028159846551716328
18720,-0.0027796165086328983
19200,-0.0027370494790375233
19680,-0.0027119028382003307
20160,-0.002679334254935384
20640,-0.0026389556005597115
21120,-0.0026039807125926018
21600,-0.0025780056603252888
22080,-0.0025603314861655235
22560,-0.0025411592796444893
23040,-0.0025310444179922342
23520,-0.0024930117651820183
24000,-0.002473096363246441
24480,-0.0024606408551335335
24960,-0.002432679757475853
25440,-0.0024017449468374252
25920,-0.002373684896156192
26400,-0.0023631947115063667
26880,-0.002342815510928631
27360,-0.002322288230061531
27840,-0.0023084720596671104
28320,-0.0022889727260917425
28800,-0.00227139494381845
29280,-0.00226050172932446
29760,-0.002247229916974902
30240,-0.0022268048487603664
30720,-0.0022155940532684326
31200,-0.002203902695327997
31680,-0.0021920434664934874
32160,-0.0021786116994917393
32640,-0.002172810258343816
33120,-0.0021557151339948177
33600,-0.002148005412891507
34080,-0.002133579459041357
34560,-0.0021302271634340286
35040,-0.002126727718859911
35520,-0.002108509186655283
36000,-0.0020977251697331667
36480,-0.0020786423701792955
36960,-0.0020681777969002724
37440,-0.0020562466233968735
37920,-0.002032038988545537
38400,-0.002024782123044133
38880,-0.002011343836784363
39360,-0.002009010873734951
39840,-0.001998305320739746
40320,-0.0019859825260937214
40800,-0.001980855828151107
41280,-0.0019716722890734673
41760,-0.0019584940746426582
42240,-0.0019475214648991823
42720,-0.0019474985310807824
43200,-0.001939375652000308
43680,-0.0019295733654871583
44160,-0.0019143660319969058
44640,-0.0019062994979321957
45120,-0.0019015237921848893
45600,-0.0018910736544057727
46080,-0.0018765288405120373
46560,-0.001870045787654817
47040,-0.001862982870079577
47520,-0.0018611837876960635
48000,-0.0018555307760834694
