step,value
480,1.8880612628890958e-08
960,1.5744376469228882e-07
1440,4.878269237451605e-07
1920,8.349027780241158e-07
2400,8.692011306266068e-07
2880,8.636607162770815e-07
3360,8.636140478301968e-07
3840,8.637189807814138e-07
4320,8.624232918919006e-07
4800,8.696911208971869e-07
5280,8.724914550839458e-07
5760,8.751738960199873e-07
6240,8.770647923483921e-07
6720,8.737525831747917e-07
7200,8.780982625467004e-07
7680,8.810375220491551e-07
8160,8.813500471660518e-07
8640,8.824662813822215e-07
9120,8.849878554428869e-07
9600,8.862524509822833e-07
10080,8.872183343555662e-07
10560,8.886455020729045e-07
11040,8.883825444172544e-07
11520,8.903231787371624e-07
12000,8.903120942704845e-07
12480,8.900842658476904e-07
12960,8.921708172238141e-07
13440,8.925146630645031e-07
13920,8.927423209570406e-07
14400,8.953486485552276e-07
14880,8.957473482951173e-07
15360,8.975211471806688e-07
15840,8.975946457212558e-07
16320,8.957611612459004e-07
16800,8.984765713648812e-07
17280,8.981707537714101e-07
17760,8.982943313640135e-07
18240,8.986377793007705e-07
18720,8.990882065518235e-07
19200,8.99073711480014e-07
19680,8.990468245428929e-07
20160,8.985349495560513e-07
20640,9.000497129818541e-07
21120,9.007974313135492e-07
21600,8.995860980576253e-07
22080,8.989952675619861e-07
22560,8.981770633909036e-07
23040,8.995925213639566e-07
23520,8.999554665933829e-07
24000,8.999238048090774e-07
24480,9.022645599543466e-07
24960,8.996041174214042e-07
25440,9.005148058349732e-07
25920,9.0150194864691e-07
26400,8.998396765491634e-07
26880,8.980789516499499e-07
27360,8.973158287517435e-07
27840,9.003075547298067e-07
28320,8.990605806502572e-07
28800,8.98164671525592e-07
29280,8.994970244202705e-07
29760,9.002905585475673e-07
30240,9.000502814160427e-07
30720,8.995319831228699e-07
31200,8.996245810521941e-07
31680,9.001608987091458e-07
32160,9.015858495331486e-07
32640,9.009872314891254e-07
33120,9.008982146951894e-07
33600,9.008614938466053e-07
34080,9.007594599097501e-07
34560,9.012303507915931e-07
35040,9.016666808747686e-07
35520,9.010731218950241e-07
36000,8.990947435449925e-07
36480,9.005200354295084e-07
36960,9.00950226423447e-07
37440,9.011698693939252e-07
37920,8.992098514681857e-07
38400,9.001231546790223e-07
38880,8.990933793029399e-07
39360,8.998011367111758e-07
39840,8.990619448923098e-07
40320,8.994101676762511e-07
40800,9.002994829643285e-07
41280,9.004224921227433e-07
41760,8.983967632048007e-07
42240,8.986446573544526e-07
42720,8.985545036921394e-07
43200,8.989869115794136e-07
43680,8.985226145341585e-07
44160,8.984184773908055e-07
44640,8.98640848845389e-07
45120,8.998327416520624e-07
45600,8.976212484412827e-07
46080,8.995764915198379e-07
46560,8.998352427624923e-07
47040,9.003010177366377e-07
47520,9.014186730382789e-07
48000,8.983330417322577e-07
