step,value
480,2.430979861856031e-10
960,5.907351052769627e-09
1440,8.366030357365162e-08
1920,4.093364509571984e-07
2400,6.254662139326683e-07
2880,7.164601925069292e-07
3360,7.73282465615921e-07
3840,7.939568149595289e-07
4320,8.027636226870527e-07
4800,8.204517598642269e-07
5280,8.2649125943135e-07
5760,8.33577530556795e-07
6240,8.385463274862559e-07
6720,8.386135164073494e-07
7200,8.454747444375244e-07
7680,8.510973543707223e-07
8160,8.53602898587269e-07
8640,8.567394047531707e-07
9120,8.600650858170411e-07
9600,8.619348932370485e-07
10080,8.638220378998085e-07
10560,8.654899374960223e-07
11040,8.660010735184187e-07
11520,8.692618393979501e-07
12000,8.690203117112105e-07
12480,8.696496820448374e-07
12960,8.719597417439218e-07
13440,8.723110340724816e-07
13920,8.722773259250971e-07
14400,8.738691690268752e-07
14880,8.749883591008256e-07
15360,8.774435400482616e-07
15840,8.770771842137037e-07
16320,8.757149316807045e-07
16800,8.774951538725873e-07
17280,8.776215167927148e-07
17760,8.778441724643926e-07
18240,8.773117770033423e-07
18720,8.777822131378343e-07
19200,8.786530543147819e-07
19680,8.778691267252725e-07
20160,8.775874107413983e-07
20640,8.785094109953206e-07
21120,8.793722372502089e-07
21600,8.781626661402697e-07
22080,8.778536653153424e-07
22560,8.767098620410252e-07
23040,8.778069400250388e-07
23520,8.781382234701596e-07
24000,8.774056254878815e-07
24480,8.79316644386563e-07
24960,8.769751502768486e-07
25440,8.782618579061818e-07
25920,8.794973496151215e-07
26400,8.771467605583894e-07
26880,8.755568501328526e-07
27360,8.750815823077573e-07
27840,8.773199056122394e-07
28320,8.757134537518141e-07
28800,8.745584523239813e-07
29280,8.760762852944026e-07
29760,8.764538392824761e-07
30240,8.758893841331883e-07
30720,8.752949725021608e-07
31200,8.755623071010632e-07
31680,8.754995519666409e-07
32160,8.770452950557228e-07
32640,8.759284924053645e-07
33120,8.754881264394498e-07
33600,8.759979550632124e-07
34080,8.762790457694791e-07
34560,8.750448614591733e-07
35040,8.763926757637819e-07
35520,8.752839448789018e-07
36000,8.730011700208706e-07
36480,8.744923434278462e-07
36960,8.758411809139943e-07
37440,8.756433658163587e-07
37920,8.741177452975535e-07
38400,8.748713185013912e-07
38880,8.742283625906566e-07
39360,8.735542564863863e-07
39840,8.727942599762173e-07
40320,8.732031346880831e-07
40800,8.736912491258408e-07
41280,8.748156119509076e-07
41760,8.721674475964392e-07
42240,8.716629622540495e-07
42720,8.716727961655124e-07
43200,8.719248398847412e-07
43680,8.716026513866382e-07
44160,8.71062411533785e-07
44640,8.714121122466167e-07
45120,8.717208856978687e-07
45600,8.699310001247795e-07
46080,8.707515917194542e-07
46560,8.713103625268559e-07
47040,8.714612249605125e-07
47520,8.725226621209003e-07
48000,8.69593065999652e-07
