time_s,actual_deg,setpoint_deg
0.0000,-0.0001,0.0000
0.0333,-0.0001,0.0000
0.0750,-0.0001,0.0000
0.1167,-0.0001,0.0000
0.1583,-0.0001,0.0000
0.2000,-0.0001,0.0000
0.2417,-0.0001,0.0000
0.2750,-0.0001,0.0000
0.3167,-0.0001,0.0000
0.3583,-0.0001,0.0000
0.4000,-0.0001,0.0000
0.4417,-0.0001,0.0000
0.4833,-0.0001,0.0000
0.5167,2.9293,30.0000
0.5583,9.4352,30.0000
0.6000,14.3743,30.0000
0.6417,18.1145,30.0000
0.6833,20.9290,30.0000
0.7250,23.0465,30.0000
0.7583,24.3563,30.0000
0.8000,25.6253,30.0000
0.8417,26.5803,30.0000
0.8833,27.2989,30.0000
0.9250,27.8397,30.0000
0.9667,28.2467,30.0000
1.0000,28.4985,30.0000
1.0417,28.7425,30.0000
1.0833,28.9261,30.0000
1.1250,29.0643,30.0000
1.1667,29.1683,30.0000
1.2083,29.2466,30.0000
1.2417,29.2950,30.0000
1.2833,29.3419,30.0000
1.3250,29.3773,30.0000
1.3667,29.4038,30.0000
1.4083,29.4238,30.0000
1.4500,29.4389,30.0000
1.4917,29.4502,30.0000
1.5250,29.4573,30.0000
1.5667,29.4641,30.0000
1.6083,29.4692,30.0000
1.6500,29.4730,30.0000
1.6917,29.4759,30.0000
1.7333,29.4781,30.0000
1.7667,29.4794,30.0000
1.8083,29.4808,30.0000
1.8500,29.4817,30.0000
1.8917,29.4825,30.0000
1.9333,29.4830,30.0000
1.9750,29.4834,30.0000
2.0083,29.4837,30.0000
2.0500,29.4840,30.0000
2.0917,29.4842,30.0000
2.1333,29.4844,30.0000
2.1750,29.4845,30.0000
2.2167,29.4845,30.0000
2.2500,29.4846,30.0000
2.2917,29.4846,30.0000
2.3333,29.4846,30.0000
2.3750,29.4846,30.0000
2.4167,29.4846,30.0000
2.4583,29.4846,30.0000
2.4917,29.4846,30.0000
2.5333,29.4846,30.0000
2.5750,29.4846,30.0000
2.6167,29.4846,30.0000
2.6583,29.4846,30.0000
2.7000,29.4846,30.0000
2.7417,29.4846,30.0000
2.7750,29.4846,30.0000
2.8167,29.4846,30.0000
2.8583,29.4846,30.0000
2.9000,29.4846,30.0000
2.9417,29.4846,30.0000
2.9833,29.4846,30.0000
3.0167,26.5538,0.0000
3.0583,20.0421,0.0000
3.1000,15.0971,0.0000
3.1417,11.3555,0.0000
3.1833,8.5408,0.0000
3.2250,6.4237,0.0000
3.2583,5.1147,0.0000
3.3000,3.8468,0.0000
3.3417,2.8932,0.0000
3.3833,2.1760,0.0000
3.4250,1.6366,0.0000
3.4667,1.2309,0.0000
3.5000,0.9800,0.0000
3.5417,0.7371,0.0000
3.5833,0.5543,0.0000
3.6250,0.4169,0.0000
3.6667,0.3135,0.0000
3.7083,0.2358,0.0000
3.7417,0.1877,0.0000
3.7833,0.1412,0.0000
3.8250,0.1061,0.0000
3.8667,0.0798,0.0000
3.9083,0.0600,0.0000
3.9500,0.0451,0.0000
3.9917,0.0339,0.0000
