time_s,actual_deg,setpoint_deg
0.0000,-0.0001,0.0000
0.0333,-0.0001,0.0000
0.0750,-0.0001,0.0000
0.1167,-0.0001,0.0000
0.1583,-0.0001,0.0000
0.2000,-0.0001,0.0000
0.2417,-0.0001,0.0000
0.2750,-0.0001,0.0000
0.3167,-0.0001,0.0000
0.3583,-0.0001,0.0000
0.4000,-0.0001,0.0000
0.4417,-0.0001,0.0000
0.4833,-0.0001,0.0000
0.5167,14.1267,40.0000
0.5583,35.3700,40.0000
0.6000,39.0049,40.0000
0.6417,39.3636,40.0000
0.6833,39.3849,40.0000
0.7250,39.3860,40.0000
0.7583,39.3861,40.0000
0.8000,39.3861,40.0000
0.8417,39.3861,40.0000
0.8833,39.3861,40.0000
0.9250,39.3861,40.0000
0.9667,39.3861,40.0000
1.0000,39.3861,40.0000
1.0417,39.3861,40.0000
1.0833,39.3861,40.0000
1.1250,39.3861,40.0000
1.1667,39.3861,40.0000
1.2083,39.3861,40.0000
1.2417,39.3861,40.0000
1.2833,39.3861,40.0000
1.3250,39.3861,40.0000
1.3667,39.3861,40.0000
1.4083,39.3861,40.0000
1.4500,39.3861,40.0000
1.4917,39.3861,40.0000
1.5250,39.3861,40.0000
1.5667,39.3861,40.0000
1.6083,39.3861,40.0000
1.6500,39.3861,40.0000
1.6917,39.3861,40.0000
1.7333,39.3861,40.0000
1.7667,39.3861,40.0000
1.8083,39.3861,40.0000
1.8500,39.3861,40.0000
1.8917,39.3861,40.0000
1.9333,39.3861,40.0000
1.9750,39.3861,40.0000
2.0083,39.3861,40.0000
2.0500,39.3861,40.0000
2.0917,39.3861,40.0000
2.1333,39.3861,40.0000
2.1750,39.3861,40.0000
2.2167,39.3861,40.0000
2.2500,39.3861,40.0000
2.2917,39.3861,40.0000
2.3333,39.3861,40.0000
2.3750,39.3861,40.0000
2.4167,39.3861,40.0000
2.4583,39.3861,40.0000
2.4917,39.3861,40.0000
2.5333,39.3861,40.0000
2.5750,39.3861,40.0000
2.6167,39.3861,40.0000
2.6583,39.3861,40.0000
2.7000,39.3861,40.0000
2.7417,39.3861,40.0000
2.7750,39.3861,40.0000
2.8167,39.3861,40.0000
2.8583,39.3861,40.0000
2.9000,39.3861,40.0000
2.9417,39.3861,40.0000
2.9833,39.3861,40.0000
3.0167,25.2443,0.0000
3.0583,3.9617,0.0000
3.1000,0.3604,0.0000
3.1417,0.0204,0.0000
3.1833,0.0010,0.0000
3.2250,-0.0000,0.0000
3.2583,-0.0001,0.0000
3.3000,-0.0001,0.0000
3.3417,-0.0001,0.0000
3.3833,-0.0001,0.0000
3.4250,-0.0001,0.0000
3.4667,-0.0001,0.0000
3.5000,-0.0001,0.0000
3.5417,-0.0001,0.0000
3.5833,-0.0001,0.0000
3.6250,-0.0001,0.0000
3.6667,-0.0001,0.0000
3.7083,-0.0001,0.0000
3.7417,-0.0001,0.0000
3.7833,-0.0001,0.0000
3.8250,-0.0001,0.0000
3.8667,-0.0001,0.0000
3.9083,-0.0001,0.0000
3.9500,-0.0001,0.0000
3.9917,-0.0001,0.0000
