time_s,actual_deg,setpoint_deg
0.0000,-0.0000,0.0000
0.0083,-0.0000,0.0000
0.0167,-0.0000,0.0000
0.0250,-0.0000,0.0000
0.0333,-0.0000,0.0000
0.0417,-0.0000,0.0000
0.0500,-0.0000,0.0000
0.0583,-0.0000,0.0000
0.0667,-0.0000,0.0000
0.0750,-0.0000,0.0000
0.0833,-0.0000,0.0000
0.0917,-0.0000,0.0000
0.1000,-0.0000,0.0000
0.1083,-0.0000,0.0000
0.1167,-0.0000,0.0000
0.1250,-0.0000,0.0000
0.1333,-0.0000,0.0000
0.1417,-0.0000,0.0000
0.1500,-0.0000,0.0000
0.1583,-0.0000,0.0000
0.1667,-0.0000,0.0000
0.1750,-0.0000,0.0000
0.1833,-0.0000,0.0000
0.1917,-0.0000,0.0000
0.2000,-0.0000,0.0000
0.2083,-0.0000,0.0000
0.2167,-0.0000,0.0000
0.2250,-0.0000,0.0000
0.2333,-0.0000,0.0000
0.2417,-0.0000,0.0000
0.2500,-0.0000,0.0000
0.2583,-0.0000,0.0000
0.2667,-0.0000,0.0000
0.2750,-0.0000,0.0000
0.2833,-0.0000,0.0000
0.2917,-0.0000,0.0000
0.3000,-0.0000,0.0000
0.3083,-0.0000,0.0000
0.3167,-0.0000,0.0000
0.3250,-0.0000,0.0000
0.3333,-0.0000,0.0000
0.3417,-0.0000,0.0000
0.3500,-0.0000,0.0000
0.3583,-0.0000,0.0000
0.3667,-0.0000,0.0000
0.3750,-0.0000,0.0000
0.3833,-0.0000,0.0000
0.3917,-0.0000,0.0000
0.4000,-0.0000,0.0000
0.4083,-0.0000,0.0000
0.4167,-0.0000,0.0000
0.4250,-0.0000,0.0000
0.4333,-0.0000,0.0000
0.4417,-0.0000,0.0000
0.4500,-0.0000,0.0000
0.4583,-0.0000,0.0000
0.4667,-0.0000,0.0000
0.4750,-0.0000,0.0000
0.4833,-0.0000,0.0000
0.4917,-0.0000,0.0000
0.5000,-0.0000,10.0000
0.5083,2.8027,10.0000
0.5167,4.8329,10.0000
0.5250,6.2919,10.0000
0.5333,7.3396,10.0000
0.5417,8.0913,10.0000
0.5500,8.6301,10.0000
0.5583,9.0162,10.0000
0.5667,9.2928,10.0000
0.5750,9.4910,10.0000
0.5833,9.6330,10.0000
0.5917,9.7348,10.0000
0.6000,9.8078,10.0000
0.6083,9.8601,10.0000
0.6167,9.8976,10.0000
0.6250,9.9245,10.0000
0.6333,9.9437,10.0000
0.6417,9.9575,10.0000
0.6500,9.9675,10.0000
0.6583,9.9746,10.0000
0.6667,9.9797,10.0000
0.6750,9.9833,10.0000
0.6833,9.9859,10.0000
0.6917,9.9878,10.0000
0.7000,9.9891,10.0000
0.7083,9.9901,10.0000
0.7167,9.9908,10.0000
0.7250,9.9913,10.0000
0.7333,9.9917,10.0000
0.7417,9.9919,10.0000
0.7500,9.9921,10.0000
0.7583,9.9922,10.0000
0.7667,9.9923,10.0000
0.7750,9.9924,10.0000
0.7833,9.9924,10.0000
0.7917,9.9925,10.0000
0.8000,9.9925,10.0000
0.8083,9.9925,10.0000
0.8167,9.9925,10.0000
0.8250,9.9925,10.0000
0.8333,9.9925,10.0000
0.8417,9.9926,10.0000
0.8500,9.9926,10.0000
0.8583,9.9926,10.0000
0.8667,9.9926,10.0000
0.8750,9.9926,10.0000
0.8833,9.9926,10.0000
0.8917,9.9926,10.0000
0.9000,9.9926,10.0000
0.9083,9.9926,10.0000
0.9167,9.9926,10.0000
0.9250,9.9926,10.0000
0.9333,9.9926,10.0000
0.9417,9.9926,10.0000
0.9500,9.9926,10.0000
0.9583,9.9926,10.0000
0.9667,9.9926,10.0000
0.9750,9.9926,10.0000
0.9833,9.9926,10.0000
0.9917,9.9926,10.0000
1.0000,9.9926,10.0000
1.0083,9.9926,10.0000
1.0167,9.9926,10.0000
1.0250,9.9926,10.0000
1.0333,9.9926,10.0000
1.0417,9.9926,10.0000
1.0500,9.9926,10.0000
1.0583,9.9926,10.0000
1.0667,9.9926,10.0000
1.0750,9.9926,10.0000
1.0833,9.9926,10.0000
1.0917,9.9926,10.0000
1.1000,9.9926,10.0000
1.1083,9.9926,10.0000
1.1167,9.9926,10.0000
1.1250,9.9926,10.0000
1.1333,9.9926,10.0000
1.1417,9.9926,10.0000
1.1500,9.9926,10.0000
1.1583,9.9926,10.0000
1.1667,9.9926,10.0000
1.1750,9.9926,10.0000
1.1833,9.9926,10.0000
1.1917,9.9926,10.0000
1.2000,9.9926,10.0000
1.2083,9.9926,10.0000
1.2167,9.9926,10.0000
1.2250,9.9926,10.0000
1.2333,9.9926,10.0000
1.2417,9.9926,10.0000
1.2500,9.9926,10.0000
1.2583,9.9926,10.0000
1.2667,9.9926,10.0000
1.2750,9.9926,10.0000
1.2833,9.9926,10.0000
1.2917,9.9926,10.0000
1.3000,9.9926,10.0000
1.3083,9.9926,10.0000
1.3167,9.9926,10.0000
1.3250,9.9926,10.0000
1.3333,9.9926,10.0000
1.3417,9.9926,10.0000
1.3500,9.9926,10.0000
1.3583,9.9926,10.0000
1.3667,9.9926,10.0000
1.3750,9.9926,10.0000
1.3833,9.9926,10.0000
1.3917,9.9926,10.0000
1.4000,9.9926,10.0000
1.4083,9.9926,10.0000
1.4167,9.9926,10.0000
1.4250,9.9926,10.0000
1.4333,9.9926,10.0000
1.4417,9.9926,10.0000
1.4500,9.9926,10.0000
1.4583,9.9926,10.0000
1.4667,9.9926,10.0000
1.4750,9.9926,10.0000
1.4833,9.9926,10.0000
1.4917,9.9926,10.0000
1.5000,9.9926,10.0000
1.5083,9.9926,10.0000
1.5167,9.9926,10.0000
1.5250,9.9926,10.0000
1.5333,9.9926,10.0000
1.5417,9.9926,10.0000
1.5500,9.9926,10.0000
1.5583,9.9926,10.0000
1.5667,9.9926,10.0000
1.5750,9.9926,10.0000
1.5833,9.9926,10.0000
1.5917,9.9926,10.0000
1.6000,9.9926,10.0000
1.6083,9.9926,10.0000
1.6167,9.9926,10.0000
1.6250,9.9926,10.0000
1.6333,9.9926,10.0000
1.6417,9.9926,10.0000
1.6500,9.9926,10.0000
1.6583,9.9926,10.0000
1.6667,9.9926,10.0000
1.6750,9.9926,10.0000
1.6833,9.9926,10.0000
1.6917,9.9926,10.0000
1.7000,9.9926,10.0000
1.7083,9.9926,10.0000
1.7167,9.9926,10.0000
1.7250,9.9926,10.0000
1.7333,9.9926,10.0000
1.7417,9.9926,10.0000
1.7500,9.9926,10.0000
1.7583,9.9926,10.0000
1.7667,9.9926,10.0000
1.7750,9.9926,10.0000
1.7833,9.9926,10.0000
1.7917,9.9926,10.0000
1.8000,9.9926,10.0000
1.8083,9.9926,10.0000
1.8167,9.9926,10.0000
1.8250,9.9926,10.0000
1.8333,9.9926,10.0000
1.8417,9.9926,10.0000
1.8500,9.9926,10.0000
1.8583,9.9926,10.0000
1.8667,9.9926,10.0000
1.8750,9.9926,10.0000
1.8833,9.9926,10.0000
1.8917,9.9926,10.0000
1.9000,9.9926,10.0000
1.9083,9.9926,10.0000
1.9167,9.9926,10.0000
1.9250,9.9926,10.0000
1.9333,9.9926,10.0000
1.9417,9.9926,10.0000
1.9500,9.9926,10.0000
1.9583,9.9926,10.0000
1.9667,9.9926,10.0000
1.9750,9.9926,10.0000
1.9833,9.9926,10.0000
1.9917,9.9926,10.0000
2.0000,9.9926,10.0000
2.0083,9.9926,10.0000
2.0167,9.9926,10.0000
2.0250,9.9926,10.0000
2.0333,9.9926,10.0000
2.0417,9.9926,10.0000
2.0500,9.9926,10.0000
2.0583,9.9926,10.0000
2.0667,9.9926,10.0000
2.0750,9.9926,10.0000
2.0833,9.9926,10.0000
2.0917,9.9926,10.0000
2.1000,9.9926,10.0000
2.1083,9.9926,10.0000
2.1167,9.9926,10.0000
2.1250,9.9926,10.0000
2.1333,9.9926,10.0000
2.1417,9.9926,10.0000
2.1500,9.9926,10.0000
2.1583,9.9926,10.0000
2.1667,9.9926,10.0000
2.1750,9.9926,10.0000
2.1833,9.9926,10.0000
2.1917,9.9926,10.0000
2.2000,9.9926,10.0000
2.2083,9.9926,10.0000
2.2167,9.9926,10.0000
2.2250,9.9926,10.0000
2.2333,9.9926,10.0000
2.2417,9.9926,10.0000
2.2500,9.9926,10.0000
2.2583,9.9926,10.0000
2.2667,9.9926,10.0000
2.2750,9.9926,10.0000
2.2833,9.9926,10.0000
2.2917,9.9926,10.0000
2.3000,9.9926,10.0000
2.3083,9.9926,10.0000
2.3167,9.9926,10.0000
2.3250,9.9926,10.0000
2.3333,9.9926,10.0000
2.3417,9.9926,10.0000
2.3500,9.9926,10.0000
2.3583,9.9926,10.0000
2.3667,9.9926,10.0000
2.3750,9.9926,10.0000
2.3833,9.9926,10.0000
2.3917,9.9926,10.0000
2.4000,9.9926,10.0000
2.4083,9.9926,10.0000
2.4167,9.9926,10.0000
2.4250,9.9926,10.0000
2.4333,9.9926,10.0000
2.4417,9.9926,10.0000
2.4500,9.9926,10.0000
2.4583,9.9926,10.0000
2.4667,9.9926,10.0000
2.4750,9.9926,10.0000
2.4833,9.9926,10.0000
2.4917,9.9926,10.0000
2.5000,9.9926,10.0000
2.5083,9.9926,10.0000
2.5167,9.9926,10.0000
2.5250,9.9926,10.0000
2.5333,9.9926,10.0000
2.5417,9.9926,10.0000
2.5500,9.9926,10.0000
2.5583,9.9926,10.0000
2.5667,9.9926,10.0000
2.5750,9.9926,10.0000
2.5833,9.9926,10.0000
2.5917,9.9926,10.0000
2.6000,9.9926,10.0000
2.6083,9.9926,10.0000
2.6167,9.9926,10.0000
2.6250,9.9926,10.0000
2.6333,9.9926,10.0000
2.6417,9.9926,10.0000
2.6500,9.9926,10.0000
2.6583,9.9926,10.0000
2.6667,9.9926,10.0000
2.6750,9.9926,10.0000
2.6833,9.9926,10.0000
2.6917,9.9926,10.0000
2.7000,9.9926,10.0000
2.7083,9.9926,10.0000
2.7167,9.9926,10.0000
2.7250,9.9926,10.0000
2.7333,9.9926,10.0000
2.7417,9.9926,10.0000
2.7500,9.9926,10.0000
2.7583,9.9926,10.0000
2.7667,9.9926,10.0000
2.7750,9.9926,10.0000
2.7833,9.9926,10.0000
2.7917,9.9926,10.0000
2.8000,9.9926,10.0000
2.8083,9.9926,10.0000
2.8167,9.9926,10.0000
2.8250,9.9926,10.0000
2.8333,9.9926,10.0000
2.8417,9.9926,10.0000
2.8500,9.9926,10.0000
2.8583,9.9926,10.0000
2.8667,9.9926,10.0000
2.8750,9.9926,10.0000
2.8833,9.9926,10.0000
2.8917,9.9926,10.0000
2.9000,9.9926,10.0000
2.9083,9.9926,10.0000
2.9167,9.9926,10.0000
2.9250,9.9926,10.0000
2.9333,9.9926,10.0000
2.9417,9.9926,10.0000
2.9500,9.9926,10.0000
2.9583,9.9926,10.0000
2.9667,9.9926,10.0000
2.9750,9.9926,10.0000
2.9833,9.9926,10.0000
2.9917,9.9926,10.0000
3.0000,9.9926,0.0000
3.0083,7.1898,0.0000
3.0167,5.1596,0.0000
3.0250,3.7006,0.0000
3.0333,2.6529,0.0000
3.0417,1.9012,0.0000
3.0500,1.3624,0.0000
3.0583,0.9763,0.0000
3.0667,0.6997,0.0000
3.0750,0.5016,0.0000
3.0833,0.3595,0.0000
3.0917,0.2577,0.0000
3.1000,0.1848,0.0000
3.1083,0.1325,0.0000
3.1167,0.0950,0.0000
3.1250,0.0681,0.0000
3.1333,0.0488,0.0000
3.1417,0.0350,0.0000
3.1500,0.0251,0.0000
3.1583,0.0180,0.0000
3.1667,0.0129,0.0000
3.1750,0.0093,0.0000
3.1833,0.0066,0.0000
3.1917,0.0048,0.0000
3.2000,0.0034,0.0000
3.2083,0.0024,0.0000
3.2167,0.0018,0.0000
3.2250,0.0013,0.0000
3.2333,0.0009,0.0000
3.2417,0.0006,0.0000
3.2500,0.0005,0.0000
3.2583,0.0003,0.0000
3.2667,0.0002,0.0000
3.2750,0.0002,0.0000
3.2833,0.0001,0.0000
3.2917,0.0001,0.0000
3.3000,0.0001,0.0000
3.3083,0.0000,0.0000
3.3167,0.0000,0.0000
3.3250,0.0000,0.0000
3.3333,0.0000,0.0000
3.3417,0.0000,0.0000
3.3500,0.0000,0.0000
3.3583,0.0000,0.0000
3.3667,0.0000,0.0000
3.3750,0.0000,0.0000
3.3833,0.0000,0.0000
3.3917,0.0000,0.0000
3.4000,0.0000,0.0000
3.4083,0.0000,0.0000
3.4167,0.0000,0.0000
3.4250,0.0000,0.0000
3.4333,-0.0000,0.0000
3.4417,-0.0000,0.0000
3.4500,-0.0000,0.0000
3.4583,-0.0000,0.0000
3.4667,-0.0000,0.0000
3.4750,-0.0000,0.0000
3.4833,-0.0000,0.0000
3.4917,-0.0000,0.0000
3.5000,-0.0000,0.0000
3.5083,-0.0000,0.0000
3.5167,-0.0000,0.0000
3.5250,-0.0000,0.0000
3.5333,-0.0000,0.0000
3.5417,-0.0000,0.0000
3.5500,-0.0000,0.0000
3.5583,-0.0000,0.0000
3.5667,-0.0000,0.0000
3.5750,-0.0000,0.0000
3.5833,-0.0000,0.0000
3.5917,-0.0000,0.0000
3.6000,-0.0000,0.0000
3.6083,-0.0000,0.0000
3.6167,-0.0000,0.0000
3.6250,-0.0000,0.0000
3.6333,-0.0000,0.0000
3.6417,-0.0000,0.0000
3.6500,-0.0000,0.0000
3.6583,-0.0000,0.0000
3.6667,-0.0000,0.0000
3.6750,-0.0000,0.0000
3.6833,-0.0000,0.0000
3.6917,-0.0000,0.0000
3.7000,-0.0000,0.0000
3.7083,-0.0000,0.0000
3.7167,-0.0000,0.0000
3.7250,-0.0000,0.0000
3.7333,-0.0000,0.0000
3.7417,-0.0000,0.0000
3.7500,-0.0000,0.0000
3.7583,-0.0000,0.0000
3.7667,-0.0000,0.0000
3.7750,-0.0000,0.0000
3.7833,-0.0000,0.0000
3.7917,-0.0000,0.0000
3.8000,-0.0000,0.0000
3.8083,-0.0000,0.0000
3.8167,-0.0000,0.0000
3.8250,-0.0000,0.0000
3.8333,-0.0000,0.0000
3.8417,-0.0000,0.0000
3.8500,-0.0000,0.0000
3.8583,-0.0000,0.0000
3.8667,-0.0000,0.0000
3.8750,-0.0000,0.0000
3.8833,-0.0000,0.0000
3.8917,-0.0000,0.0000
3.9000,-0.0000,0.0000
3.9083,-0.0000,0.0000
3.9167,-0.0000,0.0000
3.9250,-0.0000,0.0000
3.9333,-0.0000,0.0000
3.9417,-0.0000,0.0000
3.9500,-0.0000,0.0000
3.9583,-0.0000,0.0000
3.9667,-0.0000,0.0000
3.9750,-0.0000,0.0000
3.9833,-0.0000,0.0000
3.9917,-0.0000,0.0000
