time_s,actual_deg,setpoint_deg
0.0000,-0.0000,0.0000
0.0333,-0.0000,0.0000
0.0750,-0.0000,0.0000
0.1167,-0.0000,0.0000
0.1583,-0.0000,0.0000
0.2000,-0.0000,0.0000
0.2417,-0.0000,0.0000
0.2750,-0.0000,0.0000
0.3167,-0.0000,0.0000
0.3583,-0.0000,0.0000
0.4000,-0.0000,0.0000
0.4417,-0.0000,0.0000
0.4833,-0.0000,0.0000
0.5167,9.6675,20.0000
0.5583,18.0277,20.0000
0.6000,19.6149,20.0000
0.6417,19.9153,20.0000
0.6833,19.9721,20.0000
0.7250,19.9829,20.0000
0.7583,19.9847,20.0000
0.8000,19.9853,20.0000
0.8417,19.9854,20.0000
0.8833,19.9854,20.0000
0.9250,19.9854,20.0000
0.9667,19.9854,20.0000
1.0000,19.9854,20.0000
1.0417,19.9854,20.0000
1.0833,19.9854,20.0000
1.1250,19.9854,20.0000
1.1667,19.9854,20.0000
1.2083,19.9854,20.0000
1.2417,19.9854,20.0000
1.2833,19.9854,20.0000
1.3250,19.9854,20.0000
1.3667,19.9854,20.0000
1.4083,19.9854,20.0000
1.4500,19.9854,20.0000
1.4917,19.9854,20.0000
1.5250,19.9854,20.0000
1.5667,19.9854,20.0000
1.6083,19.9854,20.0000
1.6500,19.9854,20.0000
1.6917,19.9854,20.0000
1.7333,19.9854,20.0000
1.7667,19.9854,20.0000
1.8083,19.9854,20.0000
1.8500,19.9854,20.0000
1.8917,19.9854,20.0000
1.9333,19.9854,20.0000
1.9750,19.9854,20.0000
2.0083,19.9854,20.0000
2.0500,19.9854,20.0000
2.0917,19.9854,20.0000
2.1333,19.9854,20.0000
2.1750,19.9854,20.0000
2.2167,19.9854,20.0000
2.2500,19.9854,20.0000
2.2917,19.9854,20.0000
2.3333,19.9854,20.0000
2.3750,19.9854,20.0000
2.4167,19.9854,20.0000
2.4583,19.9854,20.0000
2.4917,19.9854,20.0000
2.5333,19.9854,20.0000
2.5750,19.9854,20.0000
2.6167,19.9854,20.0000
2.6583,19.9854,20.0000
2.7000,19.9854,20.0000
2.7417,19.9854,20.0000
2.7750,19.9854,20.0000
2.8167,19.9854,20.0000
2.8583,19.9854,20.0000
2.9000,19.9854,20.0000
2.9417,19.9854,20.0000
2.9833,19.9854,20.0000
3.0167,10.3178,0.0000
3.0583,1.9575,0.0000
3.1000,0.3704,0.0000
3.1417,0.0701,0.0000
3.1833,0.0133,0.0000
3.2250,0.0025,0.0000
3.2583,0.0007,0.0000
3.3000,0.0001,0.0000
3.3417,0.0000,0.0000
3.3833,0.0000,0.0000
3.4250,0.0000,0.0000
3.4667,0.0000,0.0000
3.5000,0.0000,0.0000
3.5417,0.0000,0.0000
3.5833,0.0000,0.0000
3.6250,0.0000,0.0000
3.6667,0.0000,0.0000
3.7083,0.0000,0.0000
3.7417,0.0000,0.0000
3.7833,0.0000,0.0000
3.8250,-0.0000,0.0000
3.8667,-0.0000,0.0000
3.9083,-0.0000,0.0000
3.9500,-0.0000,0.0000
3.9917,-0.0000,0.0000
