time_s,actual_deg,setpoint_deg
0.0000,0.0248,0.0000
0.0083,0.0231,0.0000
0.0167,0.0127,0.0000
0.0250,0.0085,0.0000
0.0333,-0.0013,0.0000
0.0417,-0.0056,0.0000
0.0500,-0.0112,0.0000
0.0583,-0.0148,0.0000
0.0667,-0.0158,0.0000
0.0750,-0.0179,0.0000
0.0833,-0.0158,0.0000
0.0917,-0.0162,0.0000
0.1000,-0.0129,0.0000
0.1083,-0.0118,0.0000
0.1167,-0.0088,0.0000
0.1250,-0.0065,0.0000
0.1333,-0.0046,0.0000
0.1417,-0.0020,0.0000
0.1500,-0.0011,0.0000
0.1583,0.0011,0.0000
0.1667,0.0015,0.0000
0.1750,0.0027,0.0000
0.1833,0.0028,0.0000
0.1917,0.0030,0.0000
0.2000,0.0032,0.0000
0.2083,0.0027,0.0000
0.2167,0.0029,0.0000
0.2250,0.0020,0.0000
0.2333,0.0021,0.0000
0.2417,0.0014,0.0000
0.2500,0.0013,0.0000
0.2583,0.0009,0.0000
0.2667,0.0006,0.0000
0.2750,0.0006,0.0000
0.2833,0.0003,0.0000
0.2917,0.0004,0.0000
0.3000,0.0002,0.0000
0.3083,0.0003,0.0000
0.3167,0.0002,0.0000
0.3250,0.0003,0.0000
0.3333,0.0004,0.0000
0.3417,0.0003,0.0000
0.3500,0.0005,0.0000
0.3583,0.0005,0.0000
0.3667,0.0006,0.0000
0.3750,0.0006,0.0000
0.3833,0.0007,0.0000
0.3917,0.0007,0.0000
0.4000,0.0007,0.0000
0.4083,0.0007,0.0000
0.4167,0.0007,0.0000
0.4250,0.0008,0.0000
0.4333,0.0007,0.0000
0.4417,0.0007,0.0000
0.4500,0.0007,0.0000
0.4583,0.0006,0.0000
0.4667,0.0006,0.0000
0.4750,0.0006,0.0000
0.4833,0.0007,0.0000
0.4917,0.0006,0.0000
0.5000,0.0006,30.0000
0.5083,1.0894,30.0000
0.5167,3.0002,30.0000
0.5250,5.5574,30.0000
0.5333,8.3309,30.0000
0.5417,11.1721,30.0000
0.5500,13.8609,30.0000
0.5583,16.3562,30.0000
0.5667,18.6155,30.0000
0.5750,20.5650,30.0000
0.5833,22.2821,30.0000
0.5917,23.6774,30.0000
0.6000,24.9524,30.0000
0.6083,25.9035,30.0000
0.6167,26.8470,30.0000
0.6250,27.5328,30.0000
0.6333,28.1918,30.0000
0.6417,28.6376,30.0000
0.6500,29.0634,30.0000
0.6583,29.3047,30.0000
0.6667,29.5591,30.0000
0.6750,29.6635,30.0000
0.6833,29.8099,30.0000
0.6917,29.8352,30.0000
0.7000,29.9316,30.0000
0.7083,29.9177,30.0000
0.7167,29.9983,30.0000
0.7250,29.9701,30.0000
0.7333,30.0440,30.0000
0.7417,30.0112,30.0000
0.7500,30.0781,30.0000
0.7583,30.0446,30.0000
0.7667,30.1088,30.0000
0.7750,30.0712,30.0000
0.7833,30.1296,30.0000
0.7917,30.0895,30.0000
0.8000,30.1449,30.0000
0.8083,30.1008,30.0000
0.8167,30.1521,30.0000
0.8250,30.1067,30.0000
0.8333,30.1572,30.0000
0.8417,30.1101,30.0000
0.8500,30.1586,30.0000
0.8583,30.1116,30.0000
0.8667,30.1606,30.0000
0.8750,30.1130,30.0000
0.8833,30.1610,30.0000
0.8917,30.1138,30.0000
0.9000,30.1624,30.0000
0.9083,30.1147,30.0000
0.9167,30.1623,30.0000
0.9250,30.1150,30.0000
0.9333,30.1633,30.0000
0.9417,30.1154,30.0000
0.9500,30.1628,30.0000
0.9583,30.1154,30.0000
0.9667,30.1635,30.0000
0.9750,30.1154,30.0000
0.9833,30.1628,30.0000
0.9917,30.1152,30.0000
1.0000,30.1633,30.0000
1.0083,30.1152,30.0000
1.0167,30.1625,30.0000
1.0250,30.1150,30.0000
1.0333,30.1629,30.0000
1.0417,30.1148,30.0000
1.0500,30.1621,30.0000
1.0583,30.1145,30.0000
1.0667,30.1626,30.0000
