time_s,actual_deg,setpoint_deg
0.0000,0.0030,0.0000
0.0083,-0.0871,0.0000
0.0167,-0.0387,0.0000
0.0250,-0.1329,0.0000
0.0333,-0.0859,0.0000
0.0417,-0.1480,0.0000
0.0500,-0.1328,0.0000
0.0583,-0.1485,0.0000
0.0667,-0.1692,0.0000
0.0750,-0.1486,0.0000
0.0833,-0.1889,0.0000
0.0917,-0.1551,0.0000
0.1000,-0.1925,0.0000
0.1083,-0.1674,0.0000
0.1167,-0.1860,0.0000
0.1250,-0.1808,0.0000
0.1333,-0.1776,0.0000
0.1417,-0.1900,0.0000
0.1500,-0.1727,0.0000
0.1583,-0.1925,0.0000
0.1667,-0.1735,0.0000
0.1750,-0.1891,0.0000
0.1833,-0.1782,0.0000
0.1917,-0.1833,0.0000
0.2000,-0.1836,0.0000
0.2083,-0.1784,0.0000
0.2167,-0.1869,0.0000
0.2250,-0.1764,0.0000
0.2333,-0.1870,0.0000
0.2417,-0.1775,0.0000
0.2500,-0.1846,0.0000
0.2583,-0.1802,0.0000
0.2667,-0.1813,0.0000
0.2750,-0.1828,0.0000
0.2833,-0.1787,0.0000
0.2917,-0.1840,0.0000
0.3000,-0.1779,0.0000
0.3083,-0.1832,0.0000
0.3167,-0.1787,0.0000
0.3250,-0.1812,0.0000
0.3333,-0.1800,0.0000
0.3417,-0.1792,0.0000
0.3500,-0.1807,0.0000
0.3583,-0.1780,0.0000
0.3667,-0.1804,0.0000
0.3750,-0.1779,0.0000
0.3833,-0.1793,0.0000
0.3917,-0.1783,0.0000
0.4000,-0.1779,0.0000
0.4083,-0.1787,0.0000
0.4167,-0.1769,0.0000
0.4250,-0.1784,0.0000
0.4333,-0.1765,0.0000
0.4417,-0.1776,0.0000
0.4500,-0.1766,0.0000
0.4583,-0.1767,0.0000
0.4667,-0.1767,0.0000
0.4750,-0.1759,0.0000
0.4833,-0.1763,0.0000
0.4917,-0.1755,0.0000
0.5000,-0.1757,20.0000
0.5083,1.4830,20.0000
0.5167,3.1431,20.0000
0.5250,4.8040,20.0000
0.5333,6.4656,20.0000
0.5417,8.1277,20.0000
0.5500,9.7900,20.0000
0.5583,11.4526,20.0000
0.5667,13.1155,20.0000
0.5750,14.7785,20.0000
0.5833,15.6258,20.0000
0.5917,16.5451,20.0000
0.6000,17.0909,20.0000
0.6083,17.7375,20.0000
0.6167,18.1224,20.0000
0.6250,18.4936,20.0000
0.6333,18.8118,20.0000
0.6417,18.9793,20.0000
0.6500,19.2227,20.0000
0.6583,19.3026,20.0000
0.6667,19.4375,20.0000
0.6750,19.5107,20.0000
0.6833,19.5470,20.0000
0.6917,19.6237,20.0000
0.7000,19.6159,20.0000
0.7083,19.6687,20.0000
0.7167,19.6699,20.0000
0.7250,19.6829,20.0000
0.7333,19.7081,20.0000
0.7417,19.6971,20.0000
0.7500,19.7282,20.0000
0.7583,19.7213,20.0000
0.7667,19.7376,20.0000
0.7750,19.7484,20.0000
0.7833,19.7478,20.0000
0.7917,19.7685,20.0000
0.8000,19.7640,20.0000
0.8083,19.7796,20.0000
0.8167,19.7823,20.0000
0.8250,19.7859,20.0000
0.8333,19.7962,20.0000
0.8417,19.7927,20.0000
0.8500,19.8024,20.0000
0.8583,19.8003,20.0000
0.8667,19.8035,20.0000
0.8750,19.8063,20.0000
0.8833,19.8035,20.0000
0.8917,19.8081,20.0000
0.9000,19.8048,20.0000
0.9083,19.8070,20.0000
0.9167,19.8067,20.0000
0.9250,19.8052,20.0000
0.9333,19.8075,20.0000
0.9417,19.8048,20.0000
0.9500,19.8069,20.0000
0.9583,19.8058,20.0000
0.9667,19.8061,20.0000
0.9750,19.8068,20.0000
0.9833,19.8059,20.0000
0.9917,19.8074,20.0000
1.0000,19.8067,20.0000
1.0083,19.8075,20.0000
1.0167,19.8078,20.0000
1.0250,19.8078,20.0000
1.0333,19.8088,20.0000
1.0417,19.8084,20.0000
1.0500,19.8092,20.0000
1.0583,19.8093,20.0000
1.0667,19.8095,20.0000
1.0750,19.8102,20.0000
1.0833,19.8100,20.0000
1.0917,19.8106,20.0000
1.1000,19.8107,20.0000
1.1083,19.8109,20.0000
1.1167,19.8113,20.0000
1.1250,19.8112,20.0000
1.1333,19.8117,20.0000
1.1417,19.8118,20.0000
1.1500,19.8121,20.0000
1.1583,19.8123,20.0000
1.1667,19.8124,20.0000
1.1750,19.8127,20.0000
1.1833,19.8129,20.0000
1.1917,19.8131,20.0000
1.2000,19.8133,20.0000
1.2083,19.8136,20.0000
1.2167,19.8137,20.0000
1.2250,19.8142,20.0000
1.2333,19.8142,20.0000
1.2417,19.8145,20.0000
1.2500,19.8147,20.0000
1.2583,19.8149,20.0000
1.2667,19.8152,20.0000
1.2750,19.8155,20.0000
1.2833,19.8155,20.0000
1.2917,19.8160,20.0000
1.3000,19.8159,20.0000
1.3083,19.8164,20.0000
1.3167,19.8165,20.0000
1.3250,19.8168,20.0000
1.3333,19.8170,20.0000
1.3417,19.8172,20.0000
1.3500,19.8174,20.0000
1.3583,19.8177,20.0000
1.3667,19.8178,20.0000
1.3750,19.8182,20.0000
1.3833,19.8182,20.0000
1.3917,19.8186,20.0000
1.4000,19.8187,20.0000
1.4083,19.8190,20.0000
1.4167,19.8192,20.0000
1.4250,19.8194,20.0000
1.4333,19.8197,20.0000
1.4417,19.8198,20.0000
1.4500,19.8202,20.0000
1.4583,19.8203,20.0000
1.4667,19.8205,20.0000
1.4750,19.8208,20.0000
1.4833,19.8208,20.0000
1.4917,19.8213,20.0000
1.5000,19.8213,20.0000
1.5083,19.8216,20.0000
1.5167,19.8219,20.0000
1.5250,19.8218,20.0000
1.5333,19.8225,20.0000
1.5417,19.8222,20.0000
1.5500,19.8229,20.0000
1.5583,19.8228,20.0000
1.5667,19.8231,20.0000
1.5750,19.8234,20.0000
1.5833,19.8235,20.0000
1.5917,19.8238,20.0000
1.6000,19.8241,20.0000
1.6083,19.8241,20.0000
1.6167,19.8245,20.0000
1.6250,19.8246,20.0000
1.6333,19.8248,20.0000
1.6417,19.8251,20.0000
1.6500,19.8251,20.0000
1.6583,19.8256,20.0000
1.6667,19.8256,20.0000
1.6750,19.8259,20.0000
1.6833,19.8262,20.0000
1.6917,19.8262,20.0000
1.7000,19.8266,20.0000
1.7083,19.8266,20.0000
1.7167,19.8269,20.0000
1.7250,19.8273,20.0000
1.7333,19.8271,20.0000
1.7417,19.8278,20.0000
1.7500,19.8275,20.0000
1.7583,19.8281,20.0000
1.7667,19.8281,20.0000
1.7750,19.8283,20.0000
1.7833,19.8287,20.0000
1.7917,19.8286,20.0000
1.8000,19.8291,20.0000
1.8083,19.8291,20.0000
1.8167,19.8295,20.0000
1.8250,19.8295,20.0000
1.8333,19.8298,20.0000
1.8417,19.8301,20.0000
1.8500,19.8303,20.0000
1.8583,19.8305,20.0000
1.8667,19.8306,20.0000
1.8750,19.8309,20.0000
1.8833,19.8311,20.0000
1.8917,19.8313,20.0000
1.9000,19.8315,20.0000
1.9083,19.8317,20.0000
1.9167,19.8319,20.0000
1.9250,19.8321,20.0000
1.9333,19.8322,20.0000
1.9417,19.8326,20.0000
1.9500,19.8326,20.0000
1.9583,19.8329,20.0000
1.9667,19.8331,20.0000
1.9750,19.8331,20.0000
1.9833,19.8336,20.0000
1.9917,19.8336,20.0000
2.0000,19.8340,20.0000
2.0083,19.8341,20.0000
2.0167,19.8341,20.0000
2.0250,19.8346,20.0000
2.0333,19.8345,20.0000
2.0417,19.8349,20.0000
2.0500,19.8351,20.0000
2.0583,19.8352,20.0000
2.0667,19.8356,20.0000
2.0750,19.8356,20.0000
2.0833,19.8359,20.0000
2.0917,19.8361,20.0000
2.1000,19.8363,20.0000
2.1083,19.8365,20.0000
2.1167,19.8366,20.0000
2.1250,19.8369,20.0000
2.1333,19.8371,20.0000
2.1417,19.8372,20.0000
2.1500,19.8375,20.0000
2.1583,19.8375,20.0000
2.1667,19.8379,20.0000
2.1750,19.8379,20.0000
2.1833,19.8383,20.0000
2.1917,19.8384,20.0000
2.2000,19.8386,20.0000
2.2083,19.8389,20.0000
2.2167,19.8389,20.0000
2.2250,19.8394,20.0000
2.2333,19.8392,20.0000
2.2417,19.8397,20.0000
2.2500,19.8397,20.0000
2.2583,19.8400,20.0000
2.2667,19.8402,20.0000
2.2750,19.8402,20.0000
2.2833,19.8406,20.0000
2.2917,19.8406,20.0000
2.3000,19.8410,20.0000
2.3083,19.8411,20.0000
2.3167,19.8412,20.0000
2.3250,19.8415,20.0000
2.3333,19.8415,20.0000
2.3417,19.8419,20.0000
2.3500,19.8420,20.0000
2.3583,19.8422,20.0000
2.3667,19.8424,20.0000
2.3750,19.8426,20.0000
2.3833,19.8427,20.0000
2.3917,19.8431,20.0000
2.4000,19.8430,20.0000
2.4083,19.8435,20.0000
2.4167,19.8435,20.0000
2.4250,19.8439,20.0000
2.4333,19.8439,20.0000
2.4417,19.8442,20.0000
2.4500,19.8444,20.0000
2.4583,19.8445,20.0000
2.4667,19.8448,20.0000
2.4750,19.8449,20.0000
2.4833,19.8451,20.0000
2.4917,19.8453,20.0000
2.5000,19.8455,20.0000
2.5083,19.8456,20.0000
2.5167,19.8458,20.0000
2.5250,19.8460,20.0000
2.5333,19.8463,20.0000
2.5417,19.8463,20.0000
2.5500,19.8466,20.0000
2.5583,19.8467,20.0000
2.5667,19.8470,20.0000
2.5750,19.8471,20.0000
2.5833,19.8474,20.0000
2.5917,19.8474,20.0000
2.6000,19.8477,20.0000
2.6083,19.8478,20.0000
2.6167,19.8480,20.0000
2.6250,19.8484,20.0000
2.6333,19.8482,20.0000
2.6417,19.8488,20.0000
2.6500,19.8486,20.0000
2.6583,19.8490,20.0000
2.6667,19.8491,20.0000
2.6750,19.8492,20.0000
2.6833,19.8496,20.0000
2.6917,19.8497,20.0000
2.7000,19.8498,20.0000
2.7083,19.8501,20.0000
2.7167,19.8503,20.0000
2.7250,19.8503,20.0000
2.7333,19.8508,20.0000
2.7417,19.8507,20.0000
2.7500,19.8511,20.0000
2.7583,19.8512,20.0000
2.7667,19.8513,20.0000
2.7750,19.8515,20.0000
2.7833,19.8517,20.0000
2.7917,19.8520,20.0000
2.8000,19.8520,20.0000
2.8083,19.8524,20.0000
2.8167,19.8523,20.0000
2.8250,19.8527,20.0000
2.8333,19.8527,20.0000
2.8417,19.8530,20.0000
2.8500,19.8531,20.0000
2.8583,19.8534,20.0000
2.8667,19.8534,20.0000
2.8750,19.8538,20.0000
2.8833,19.8538,20.0000
2.8917,19.8540,20.0000
2.9000,19.8543,20.0000
2.9083,19.8541,20.0000
2.9167,19.8548,20.0000
2.9250,19.8546,20.0000
2.9333,19.8550,20.0000
2.9417,19.8550,20.0000
2.9500,19.8552,20.0000
2.9583,19.8555,20.0000
2.9667,19.8556,20.0000
2.9750,19.8557,20.0000
2.9833,19.8560,20.0000
2.9917,19.8560,20.0000
3.0000,19.8564,0.0000
3.0083,18.1968,0.0000
3.0167,16.6031,0.0000
3.0250,15.0505,0.0000
3.0333,13.5484,0.0000
3.0417,12.0762,0.0000
3.0500,10.6357,0.0000
3.0583,9.2306,0.0000
3.0667,7.8625,0.0000
3.0750,6.5314,0.0000
3.0833,5.2195,0.0000
3.0917,3.9268,0.0000
3.1000,3.1325,0.0000
3.1083,2.5328,0.0000
3.1167,1.9179,0.0000
3.1250,1.5865,0.0000
3.1333,1.1308,0.0000
3.1417,0.9407,0.0000
3.1500,0.6479,0.0000
3.1583,0.5119,0.0000
3.1667,0.3655,0.0000
3.1750,0.2441,0.0000
3.1833,0.2023,0.0000
3.1917,0.0934,0.0000
3.2000,0.1027,0.0000
3.2083,0.0209,0.0000
3.2167,0.0358,0.0000
3.2250,-0.0083,0.0000
3.2333,-0.0124,0.0000
3.2417,-0.0206,0.0000
3.2500,-0.0460,0.0000
3.2583,-0.0323,0.0000
3.2667,-0.0674,0.0000
3.2750,-0.0495,0.0000
3.2833,-0.0793,0.0000
3.2917,-0.0710,0.0000
3.3000,-0.0861,0.0000
3.3083,-0.0920,0.0000
3.3167,-0.0919,0.0000
3.3250,-0.1078,0.0000
3.3333,-0.0992,0.0000
3.3417,-0.1167,0.0000
3.3500,-0.1079,0.0000
3.3583,-0.1194,0.0000
3.3667,-0.1160,0.0000
3.3750,-0.1189,0.0000
3.3833,-0.1217,0.0000
3.3917,-0.1177,0.0000
3.4000,-0.1240,0.0000
3.4083,-0.1172,0.0000
3.4167,-0.1232,0.0000
3.4250,-0.1179,0.0000
3.4333,-0.1208,0.0000
3.4417,-0.1189,0.0000
3.4500,-0.1182,0.0000
3.4583,-0.1195,0.0000
3.4667,-0.1164,0.0000
3.4750,-0.1194,0.0000
3.4833,-0.1158,0.0000
3.4917,-0.1186,0.0000
3.5000,-0.1160,0.0000
3.5083,-0.1174,0.0000
3.5167,-0.1168,0.0000
3.5250,-0.1164,0.0000
3.5333,-0.1174,0.0000
3.5417,-0.1158,0.0000
3.5500,-0.1175,0.0000
3.5583,-0.1158,0.0000
3.5667,-0.1169,0.0000
3.5750,-0.1161,0.0000
3.5833,-0.1163,0.0000
3.5917,-0.1163,0.0000
3.6000,-0.1158,0.0000
3.6083,-0.1162,0.0000
3.6167,-0.1154,0.0000
3.6250,-0.1160,0.0000
3.6333,-0.1152,0.0000
3.6417,-0.1155,0.0000
3.6500,-0.1151,0.0000
3.6583,-0.1150,0.0000
3.6667,-0.1149,0.0000
3.6750,-0.1146,0.0000
3.6833,-0.1146,0.0000
3.6917,-0.1144,0.0000
