time_s,actual_deg,setpoint_deg
0.0000,-0.0000,0.0000
0.0083,-0.0000,0.0000
0.0167,-0.0000,0.0000
0.0250,-0.0000,0.0000
0.0333,-0.0000,0.0000
0.0417,-0.0000,0.0000
0.0500,-0.0000,0.0000
0.0583,-0.0000,0.0000
0.0667,0.0000,0.0000
0.0750,-0.0000,0.0000
0.0833,-0.0000,0.0000
0.0917,-0.0000,0.0000
0.1000,0.0000,0.0000
0.1083,-0.0000,0.0000
0.1167,0.0000,0.0000
0.1250,0.0000,0.0000
0.1333,0.0000,0.0000
0.1417,0.0000,0.0000
0.1500,0.0000,0.0000
0.1583,0.0000,0.0000
0.1667,0.0000,0.0000
0.1750,0.0000,0.0000
0.1833,0.0000,0.0000
0.1917,0.0000,0.0000
0.2000,0.0000,0.0000
0.2083,0.0000,0.0000
0.2167,0.0000,0.0000
0.2250,0.0000,0.0000
0.2333,0.0000,0.0000
0.2417,0.0000,0.0000
0.2500,0.0000,0.0000
0.2583,0.0000,0.0000
0.2667,0.0000,0.0000
0.2750,0.0000,0.0000
0.2833,0.0000,0.0000
0.2917,0.0000,0.0000
0.3000,0.0000,0.0000
0.3083,0.0000,0.0000
0.3167,0.0000,0.0000
0.3250,0.0000,0.0000
0.3333,0.0000,0.0000
0.3417,0.0000,0.0000
0.3500,0.0000,0.0000
0.3583,0.0000,0.0000
0.3667,0.0000,0.0000
0.3750,0.0000,0.0000
0.3833,0.0000,0.0000
0.3917,0.0000,0.0000
0.4000,0.0000,0.0000
0.4083,0.0000,0.0000
0.4167,0.0000,0.0000
0.4250,0.0000,0.0000
0.4333,0.0000,0.0000
0.4417,0.0000,0.0000
0.4500,0.0000,0.0000
0.4583,0.0000,0.0000
0.4667,0.0000,0.0000
0.4750,0.0000,0.0000
0.4833,0.0000,0.0000
0.4917,0.0000,0.0000
0.5000,0.0000,30.0000
0.5083,1.6647,30.0000
0.5167,3.3220,30.0000
0.5250,4.9717,30.0000
0.5333,6.6137,30.0000
0.5417,8.2482,30.0000
0.5500,9.8749,30.0000
0.5583,11.4943,30.0000
0.5667,13.1059,30.0000
0.5750,14.7105,30.0000
0.5833,16.3066,30.0000
0.5917,17.8966,30.0000
0.6000,19.4765,30.0000
0.6083,21.0528,30.0000
0.6167,22.6141,30.0000
0.6250,24.1809,30.0000
0.6333,25.6667,30.0000
0.6417,26.2795,30.0000
0.6500,26.7991,30.0000
0.6583,27.6201,30.0000
0.6667,28.0378,30.0000
0.6750,28.2556,30.0000
0.6833,28.6498,30.0000
0.6917,28.9593,30.0000
0.7000,29.0509,30.0000
0.7083,29.2274,30.0000
0.7167,29.4141,30.0000
0.7250,29.4890,30.0000
0.7333,29.5467,30.0000
0.7417,29.6612,30.0000
0.7500,29.7060,30.0000
0.7583,29.7335,30.0000
0.7667,29.7838,30.0000
0.7750,29.8283,30.0000
0.7833,29.8302,30.0000
0.7917,29.8583,30.0000
0.8000,29.8804,30.0000
0.8083,29.8918,30.0000
0.8167,29.8939,30.0000
0.8250,29.9149,30.0000
0.8333,29.9156,30.0000
0.8417,29.9223,30.0000
0.8500,29.9255,30.0000
0.8583,29.9358,30.0000
0.8667,29.9309,30.0000
0.8750,29.9390,30.0000
0.8833,29.9381,30.0000
0.8917,29.9434,30.0000
0.9000,29.9393,30.0000
0.9083,29.9467,30.0000
0.9167,29.9425,30.0000
0.9250,29.9474,30.0000
0.9333,29.9438,30.0000
0.9417,29.9495,30.0000
0.9500,29.9445,30.0000
0.9583,29.9499,30.0000
0.9667,29.9456,30.0000
0.9750,29.9506,30.0000
0.9833,29.9458,30.0000
0.9917,29.9511,30.0000
1.0000,29.9464,30.0000
1.0083,29.9512,30.0000
1.0167,29.9467,30.0000
1.0250,29.9517,30.0000
1.0333,29.9468,30.0000
1.0417,29.9518,30.0000
1.0500,29.9471,30.0000
1.0583,29.9520,30.0000
1.0667,29.9472,30.0000
1.0750,29.9522,30.0000
1.0833,29.9474,30.0000
1.0917,29.9523,30.0000
1.1000,29.9476,30.0000
1.1083,29.9525,30.0000
1.1167,29.9477,30.0000
1.1250,29.9526,30.0000
1.1333,29.9479,30.0000
1.1417,29.9528,30.0000
1.1500,29.9480,30.0000
1.1583,29.9529,30.0000
1.1667,29.9481,30.0000
1.1750,29.9530,30.0000
1.1833,29.9483,30.0000
1.1917,29.9531,30.0000
1.2000,29.9484,30.0000
1.2083,29.9533,30.0000
1.2167,29.9485,30.0000
1.2250,29.9534,30.0000
1.2333,29.9487,30.0000
1.2417,29.9535,30.0000
1.2500,29.9488,30.0000
1.2583,29.9537,30.0000
1.2667,29.9489,30.0000
1.2750,29.9537,30.0000
1.2833,29.9491,30.0000
1.2917,29.9539,30.0000
1.3000,29.9492,30.0000
1.3083,29.9540,30.0000
1.3167,29.9493,30.0000
1.3250,29.9541,30.0000
1.3333,29.9495,30.0000
1.3417,29.9543,30.0000
1.3500,29.9495,30.0000
1.3583,29.9544,30.0000
1.3667,29.9497,30.0000
1.3750,29.9545,30.0000
1.3833,29.9498,30.0000
1.3917,29.9546,30.0000
1.4000,29.9499,30.0000
1.4083,29.9547,30.0000
1.4167,29.9501,30.0000
1.4250,29.9549,30.0000
1.4333,29.9501,30.0000
1.4417,29.9549,30.0000
1.4500,29.9504,30.0000
1.4583,29.9551,30.0000
1.4667,29.9504,30.0000
1.4750,29.9552,30.0000
1.4833,29.9506,30.0000
1.4917,29.9553,30.0000
1.5000,29.9507,30.0000
1.5083,29.9555,30.0000
1.5167,29.9508,30.0000
1.5250,29.9556,30.0000
1.5333,29.9509,30.0000
1.5417,29.9557,30.0000
1.5500,29.9510,30.0000
1.5583,29.9558,30.0000
1.5667,29.9512,30.0000
1.5750,29.9559,30.0000
1.5833,29.9513,30.0000
1.5917,29.9560,30.0000
1.6000,29.9514,30.0000
1.6083,29.9561,30.0000
1.6167,29.9516,30.0000
1.6250,29.9563,30.0000
1.6333,29.9517,30.0000
1.6417,29.9564,30.0000
1.6500,29.9518,30.0000
1.6583,29.9565,30.0000
1.6667,29.9519,30.0000
1.6750,29.9566,30.0000
1.6833,29.9520,30.0000
1.6917,29.9567,30.0000
1.7000,29.9521,30.0000
1.7083,29.9568,30.0000
1.7167,29.9523,30.0000
1.7250,29.9569,30.0000
1.7333,29.9523,30.0000
1.7417,29.9571,30.0000
1.7500,29.9525,30.0000
1.7583,29.9572,30.0000
1.7667,29.9526,30.0000
1.7750,29.9573,30.0000
1.7833,29.9527,30.0000
1.7917,29.9574,30.0000
1.8000,29.9529,30.0000
1.8083,29.9575,30.0000
1.8167,29.9530,30.0000
1.8250,29.9576,30.0000
1.8333,29.9531,30.0000
1.8417,29.9577,30.0000
1.8500,29.9532,30.0000
1.8583,29.9579,30.0000
1.8667,29.9534,30.0000
1.8750,29.9579,30.0000
1.8833,29.9535,30.0000
1.8917,29.9581,30.0000
1.9000,29.9536,30.0000
1.9083,29.9582,30.0000
1.9167,29.9537,30.0000
1.9250,29.9583,30.0000
1.9333,29.9538,30.0000
1.9417,29.9584,30.0000
1.9500,29.9539,30.0000
1.9583,29.9585,30.0000
1.9667,29.9541,30.0000
1.9750,29.9586,30.0000
1.9833,29.9541,30.0000
1.9917,29.9587,30.0000
2.0000,29.9542,30.0000
2.0083,29.9588,30.0000
2.0167,29.9544,30.0000
2.0250,29.9590,30.0000
2.0333,29.9545,30.0000
2.0417,29.9591,30.0000
2.0500,29.9546,30.0000
2.0583,29.9592,30.0000
2.0667,29.9547,30.0000
2.0750,29.9593,30.0000
2.0833,29.9548,30.0000
2.0917,29.9594,30.0000
2.1000,29.9549,30.0000
2.1083,29.9595,30.0000
2.1167,29.9550,30.0000
2.1250,29.9596,30.0000
2.1333,29.9551,30.0000
2.1417,29.9597,30.0000
2.1500,29.9553,30.0000
2.1583,29.9598,30.0000
2.1667,29.9553,30.0000
2.1750,29.9600,30.0000
2.1833,29.9555,30.0000
2.1917,29.9600,30.0000
2.2000,29.9556,30.0000
2.2083,29.9601,30.0000
2.2167,29.9557,30.0000
2.2250,29.9603,30.0000
2.2333,29.9558,30.0000
2.2417,29.9603,30.0000
2.2500,29.9559,30.0000
2.2583,29.9605,30.0000
2.2667,29.9561,30.0000
2.2750,29.9606,30.0000
2.2833,29.9562,30.0000
2.2917,29.9607,30.0000
2.3000,29.9563,30.0000
2.3083,29.9608,30.0000
2.3167,29.9563,30.0000
2.3250,29.9609,30.0000
2.3333,29.9565,30.0000
2.3417,29.9610,30.0000
2.3500,29.9566,30.0000
2.3583,29.9611,30.0000
2.3667,29.9567,30.0000
2.3750,29.9612,30.0000
2.3833,29.9568,30.0000
2.3917,29.9613,30.0000
2.4000,29.9569,30.0000
2.4083,29.9614,30.0000
2.4167,29.9570,30.0000
2.4250,29.9615,30.0000
2.4333,29.9571,30.0000
2.4417,29.9616,30.0000
2.4500,29.9572,30.0000
2.4583,29.9617,30.0000
2.4667,29.9573,30.0000
2.4750,29.9618,30.0000
2.4833,29.9575,30.0000
2.4917,29.9619,30.0000
2.5000,29.9575,30.0000
2.5083,29.9620,30.0000
2.5167,29.9576,30.0000
2.5250,29.9621,30.0000
2.5333,29.9578,30.0000
2.5417,29.9622,30.0000
2.5500,29.9579,30.0000
2.5583,29.9623,30.0000
2.5667,29.9580,30.0000
2.5750,29.9624,30.0000
2.5833,29.9581,30.0000
2.5917,29.9625,30.0000
2.6000,29.9582,30.0000
2.6083,29.9626,30.0000
2.6167,29.9583,30.0000
2.6250,29.9627,30.0000
2.6333,29.9584,30.0000
2.6417,29.9628,30.0000
2.6500,29.9585,30.0000
2.6583,29.9629,30.0000
2.6667,29.9586,30.0000
2.6750,29.9630,30.0000
2.6833,29.9587,30.0000
2.6917,29.9631,30.0000
2.7000,29.9588,30.0000
2.7083,29.9632,30.0000
2.7167,29.9589,30.0000
2.7250,29.9633,30.0000
2.7333,29.9590,30.0000
2.7417,29.9634,30.0000
2.7500,29.9591,30.0000
2.7583,29.9635,30.0000
2.7667,29.9592,30.0000
2.7750,29.9636,30.0000
2.7833,29.9593,30.0000
2.7917,29.9637,30.0000
2.8000,29.9594,30.0000
2.8083,29.9638,30.0000
2.8167,29.9595,30.0000
2.8250,29.9639,30.0000
2.8333,29.9596,30.0000
2.8417,29.9640,30.0000
2.8500,29.9597,30.0000
2.8583,29.9641,30.0000
2.8667,29.9598,30.0000
2.8750,29.9642,30.0000
2.8833,29.9599,30.0000
2.8917,29.9643,30.0000
2.9000,29.9600,30.0000
2.9083,29.9643,30.0000
2.9167,29.9601,30.0000
2.9250,29.9645,30.0000
2.9333,29.9602,30.0000
2.9417,29.9645,30.0000
2.9500,29.9603,30.0000
2.9583,29.9647,30.0000
2.9667,29.9604,30.0000
2.9750,29.9647,30.0000
2.9833,29.9605,30.0000
2.9917,29.9648,30.0000
3.0000,29.9606,0.0000
3.0083,28.2958,0.0000
3.0167,26.6327,0.0000
3.0250,24.9674,0.0000
3.0333,23.3039,0.0000
3.0417,21.6386,0.0000
3.0500,19.9745,0.0000
3.0583,18.3091,0.0000
3.0667,16.6446,0.0000
3.0750,14.9789,0.0000
3.0833,13.3139,0.0000
3.0917,11.6480,0.0000
3.1000,9.9826,0.0000
3.1083,8.3165,0.0000
3.1167,6.6508,0.0000
3.1250,4.9845,0.0000
3.1333,4.1507,0.0000
3.1417,3.5283,0.0000
3.1500,2.7122,0.0000
3.1583,2.1910,0.0000
3.1667,1.8963,0.0000
3.1750,1.4865,0.0000
3.1833,1.1533,0.0000
3.1917,0.9948,0.0000
3.2000,0.8167,0.0000
3.2083,0.6133,0.0000
3.2167,0.5139,0.0000
3.2250,0.4468,0.0000
3.2333,0.3375,0.0000
3.2417,0.2651,0.0000
3.2500,0.2399,0.0000
3.2583,0.1917,0.0000
3.2667,0.1409,0.0000
3.2750,0.1262,0.0000
3.2833,0.1105,0.0000
3.2917,0.0799,0.0000
3.3000,0.0664,0.0000
3.3083,0.0635,0.0000
3.3167,0.0489,0.0000
3.3250,0.0370,0.0000
3.3333,0.0365,0.0000
3.3417,0.0318,0.0000
3.3500,0.0232,0.0000
3.3583,0.0217,0.0000
3.3667,0.0215,0.0000
3.3750,0.0168,0.0000
3.3833,0.0144,0.0000
3.3917,0.0152,0.0000
3.4000,0.0135,0.0000
3.4083,0.0111,0.0000
3.4167,0.0114,0.0000
3.4250,0.0113,0.0000
3.4333,0.0098,0.0000
3.4417,0.0095,0.0000
3.4500,0.0099,0.0000
3.4583,0.0092,0.0000
3.4667,0.0086,0.0000
3.4750,0.0089,0.0000
3.4833,0.0088,0.0000
3.4917,0.0083,0.0000
3.5000,0.0084,0.0000
3.5083,0.0085,0.0000
3.5167,0.0082,0.0000
3.5250,0.0081,0.0000
3.5333,0.0082,0.0000
3.5417,0.0081,0.0000
3.5500,0.0080,0.0000
3.5583,0.0080,0.0000
3.5667,0.0081,0.0000
3.5750,0.0079,0.0000
3.5833,0.0079,0.0000
3.5917,0.0080,0.0000
3.6000,0.0079,0.0000
3.6083,0.0079,0.0000
3.6167,0.0079,0.0000
3.6250,0.0079,0.0000
3.6333,0.0078,0.0000
3.6417,0.0078,0.0000
3.6500,0.0079,0.0000
3.6583,0.0078,0.0000
3.6667,0.0078,0.0000
3.6750,0.0078,0.0000
3.6833,0.0078,0.0000
3.6917,0.0078,0.0000
3.7000,0.0078,0.0000
3.7083,0.0078,0.0000
3.7167,0.0077,0.0000
3.7250,0.0077,0.0000
3.7333,0.0077,0.0000
3.7417,0.0077,0.0000
3.7500,0.0077,0.0000
3.7583,0.0077,0.0000
3.7667,0.0077,0.0000
3.7750,0.0077,0.0000
3.7833,0.0077,0.0000
3.7917,0.0077,0.0000
3.8000,0.0077,0.0000
3.8083,0.0076,0.0000
3.8167,0.0076,0.0000
3.8250,0.0076,0.0000
3.8333,0.0076,0.0000
3.8417,0.0076,0.0000
3.8500,0.0076,0.0000
3.8583,0.0076,0.0000
3.8667,0.0076,0.0000
3.8750,0.0076,0.0000
3.8833,0.0076,0.0000
3.8917,0.0075,0.0000
3.9000,0.0075,0.0000
3.9083,0.0075,0.0000
3.9167,0.0075,0.0000
3.9250,0.0075,0.0000
3.9333,0.0075,0.0000
3.9417,0.0075,0.0000
3.9500,0.0075,0.0000
3.9583,0.0075,0.0000
3.9667,0.0075,0.0000
3.9750,0.0075,0.0000
3.9833,0.0074,0.0000
3.9917,0.0074,0.0000
