time_s,actual_deg,setpoint_deg
0.0000,-0.0031,0.0000
0.0333,0.0008,0.0000
0.0750,0.0010,0.0000
0.1167,-0.0009,0.0000
0.1583,-0.0011,0.0000
0.2000,-0.0008,0.0000
0.2417,-0.0009,0.0000
0.2750,-0.0009,0.0000
0.3167,-0.0009,0.0000
0.3583,-0.0009,0.0000
0.4000,-0.0009,0.0000
0.4417,-0.0009,0.0000
0.4833,-0.0009,0.0000
0.5167,2.9249,40.0000
0.5583,11.2587,40.0000
0.6000,19.5923,40.0000
0.6417,27.9257,40.0000
0.6833,35.2194,40.0000
0.7250,38.9811,40.0000
0.7583,39.9788,40.0000
0.8000,40.0807,40.0000
0.8417,39.9852,40.0000
0.8833,40.1083,40.0000
0.9250,40.0645,40.0000
0.9667,40.1212,40.0000
1.0000,40.1189,40.0000
1.0417,40.0569,40.0000
1.0833,40.1206,40.0000
1.1250,40.0566,40.0000
1.1667,40.1196,40.0000
1.2083,40.0560,40.0000
1.2417,40.0557,40.0000
1.2833,40.1187,40.0000
1.3250,40.0550,40.0000
1.3667,40.1181,40.0000
1.4083,40.0544,40.0000
1.4500,40.1175,40.0000
1.4917,40.0537,40.0000
1.5250,40.0535,40.0000
1.5667,40.1166,40.0000
1.6083,40.0529,40.0000
1.6500,40.1159,40.0000
1.6917,40.0523,40.0000
1.7333,40.1153,40.0000
1.7667,40.1150,40.0000
1.8083,40.0514,40.0000
1.8500,40.1144,40.0000
1.8917,40.0508,40.0000
1.9333,40.1138,40.0000
1.9750,40.0502,40.0000
2.0083,40.0499,40.0000
2.0500,40.1130,40.0000
2.0917,40.0494,40.0000
2.1333,40.1124,40.0000
2.1750,40.0488,40.0000
2.2167,40.1118,40.0000
2.2500,40.1115,40.0000
2.2917,40.0479,40.0000
2.3333,40.1110,40.0000
2.3750,40.0473,40.0000
2.4167,40.1103,40.0000
2.4583,40.0467,40.0000
2.4917,40.0465,40.0000
2.5333,40.1096,40.0000
2.5750,40.0459,40.0000
2.6167,40.1090,40.0000
2.6583,40.0453,40.0000
2.7000,40.1085,40.0000
2.7417,40.0448,40.0000
2.7750,40.0446,40.0000
2.8167,40.1076,40.0000
2.8583,40.0441,40.0000
2.9000,40.1071,40.0000
2.9417,40.0435,40.0000
2.9833,40.1065,40.0000
3.0167,37.1270,0.0000
3.0583,28.7919,0.0000
3.1000,20.4583,0.0000
3.1417,12.1248,0.0000
3.1833,4.8351,0.0000
3.2250,1.0845,0.0000
3.2583,0.0946,0.0000
3.3000,-0.0068,0.0000
3.3417,0.0860,0.0000
3.3833,-0.0372,0.0000
3.4250,0.0067,0.0000
3.4667,-0.0505,0.0000
3.5000,-0.0485,0.0000
3.5417,0.0135,0.0000
3.5833,-0.0505,0.0000
3.6250,0.0132,0.0000
3.6667,-0.0500,0.0000
3.7083,0.0134,0.0000
3.7417,0.0134,0.0000
3.7833,-0.0499,0.0000
3.8250,0.0136,0.0000
3.8667,-0.0497,0.0000
3.9083,0.0137,0.0000
3.9500,-0.0496,0.0000
3.9917,0.0139,0.0000
