time_s,actual_deg,setpoint_deg
0.0000,-0.0005,0.0000
0.0083,-0.0010,0.0000
0.0167,-0.0011,0.0000
0.0250,-0.0008,0.0000
0.0333,-0.0001,0.0000
0.0417,0.0009,0.0000
0.0500,0.0024,0.0000
0.0583,0.0041,0.0000
0.0667,0.0060,0.0000
0.0750,0.0081,0.0000
0.0833,0.0103,0.0000
0.0917,0.0124,0.0000
0.1000,0.0145,0.0000
0.1083,0.0164,0.0000
0.1167,0.0180,0.0000
0.1250,0.0193,0.0000
0.1333,0.0202,0.0000
0.1417,0.0207,0.0000
0.1500,0.0208,0.0000
0.1583,0.0204,0.0000
0.1667,0.0195,0.0000
0.1750,0.0183,0.0000
0.1833,0.0167,0.0000
0.1917,0.0147,0.0000
0.2000,0.0126,0.0000
0.2083,0.0102,0.0000
0.2167,0.0078,0.0000
0.2250,0.0054,0.0000
0.2333,0.0031,0.0000
0.2417,0.0009,0.0000
0.2500,-0.0010,0.0000
0.2583,-0.0025,0.0000
0.2667,-0.0037,0.0000
0.2750,-0.0045,0.0000
0.2833,-0.0049,0.0000
0.2917,-0.0048,0.0000
0.3000,-0.0043,0.0000
0.3083,-0.0035,0.0000
0.3167,-0.0022,0.0000
0.3250,-0.0007,0.0000
0.3333,0.0011,0.0000
0.3417,0.0029,0.0000
0.3500,0.0049,0.0000
0.3583,0.0069,0.0000
0.3667,0.0087,0.0000
0.3750,0.0104,0.0000
0.3833,0.0118,0.0000
0.3917,0.0129,0.0000
0.4000,0.0136,0.0000
0.4083,0.0140,0.0000
0.4167,0.0140,0.0000
0.4250,0.0136,0.0000
0.4333,0.0128,0.0000
0.4417,0.0116,0.0000
0.4500,0.0102,0.0000
0.4583,0.0086,0.0000
0.4667,0.0068,0.0000
0.4750,0.0049,0.0000
0.4833,0.0030,0.0000
0.4917,0.0013,0.0000
0.5000,-0.0004,10.0000
0.5083,1.6663,10.0000
0.5167,1.3044,10.0000
0.5250,2.6915,10.0000
0.5333,2.9656,10.0000
0.5417,3.8638,10.0000
0.5500,4.8764,10.0000
0.5583,4.9165,10.0000
0.5667,5.5584,10.0000
0.5750,6.3173,10.0000
0.5833,6.3585,10.0000
0.5917,6.5815,10.0000
0.6000,6.8392,10.0000
0.6083,6.8578,10.0000
0.6167,7.0923,10.0000
0.6250,7.2082,10.0000
0.6333,7.1922,10.0000
0.6417,7.4088,10.0000
0.6500,7.4876,10.0000
0.6583,7.4249,10.0000
0.6667,7.6242,10.0000
0.6750,7.6902,10.0000
0.6833,7.5759,10.0000
0.6917,7.7824,10.0000
0.7000,7.8753,10.0000
0.7083,7.6635,10.0000
0.7167,7.9313,10.0000
0.7250,8.1476,10.0000
0.7333,8.0436,10.0000
0.7417,8.0356,10.0000
0.7500,8.0429,10.0000
0.7583,7.9554,10.0000
0.7667,8.0125,10.0000
0.7750,7.9430,10.0000
0.7833,7.9481,10.0000
0.7917,7.9600,10.0000
0.8000,7.9017,10.0000
0.8083,7.9513,10.0000
0.8167,7.9032,10.0000
0.8250,7.9133,10.0000
0.8333,7.9252,10.0000
0.8417,7.8856,10.0000
0.8500,7.9265,10.0000
0.8583,7.8923,10.0000
0.8667,7.9037,10.0000
0.8750,7.9139,10.0000
0.8833,7.8866,10.0000
0.8917,7.9194,10.0000
0.9000,7.8945,10.0000
0.9083,7.9055,10.0000
0.9167,7.9137,10.0000
0.9250,7.8947,10.0000
0.9333,7.9206,10.0000
0.9417,7.9023,10.0000
0.9500,7.9122,10.0000
0.9583,7.9185,10.0000
0.9667,7.9053,10.0000
0.9750,7.9255,10.0000
0.9833,7.9119,10.0000
0.9917,7.9205,10.0000
1.0000,7.9253,10.0000
1.0083,7.9161,10.0000
1.0167,7.9319,10.0000
1.0250,7.9219,10.0000
1.0333,7.9292,10.0000
1.0417,7.9329,10.0000
1.0500,7.9267,10.0000
1.0583,7.9390,10.0000
1.0667,7.9317,10.0000
1.0750,7.9379,10.0000
1.0833,7.9409,10.0000
1.0917,7.9369,10.0000
1.1000,7.9466,10.0000
1.1083,7.9415,10.0000
1.1167,7.9469,10.0000
1.1250,7.9495,10.0000
1.1333,7.9471,10.0000
1.1417,7.9549,10.0000
1.1500,7.9516,10.0000
1.1583,7.9564,10.0000
1.1667,7.9589,10.0000
1.1750,7.9577,10.0000
1.1833,7.9643,10.0000
1.1917,7.9624,10.0000
1.2000,7.9668,10.0000
1.2083,7.9693,10.0000
1.2167,7.9693,10.0000
1.2250,7.9749,10.0000
1.2333,7.9742,10.0000
1.2417,7.9784,10.0000
1.2500,7.9809,10.0000
1.2583,7.9817,10.0000
1.2667,7.9868,10.0000
1.2750,7.9870,10.0000
1.2833,7.9911,10.0000
1.2917,7.9937,10.0000
1.3000,7.9952,10.0000
1.3083,7.9998,10.0000
1.3167,8.0008,10.0000
1.3250,8.0047,10.0000
1.3333,8.0074,10.0000
1.3417,8.0094,10.0000
1.3500,8.0137,10.0000
1.3583,8.0151,10.0000
1.3667,8.0189,10.0000
1.3750,8.0216,10.0000
1.3833,8.0239,10.0000
1.3917,8.0278,10.0000
1.4000,8.0296,10.0000
1.4083,8.0331,10.0000
1.4167,8.0358,10.0000
1.4250,8.0382,10.0000
1.4333,8.0417,10.0000
1.4417,8.0436,10.0000
1.4500,8.0470,10.0000
1.4583,8.0494,10.0000
1.4667,8.0518,10.0000
1.4750,8.0550,10.0000
1.4833,8.0569,10.0000
1.4917,8.0599,10.0000
1.5000,8.0621,10.0000
1.5083,8.0644,10.0000
1.5167,8.0671,10.0000
1.5250,8.0690,10.0000
1.5333,8.0716,10.0000
1.5417,8.0736,10.0000
1.5500,8.0757,10.0000
1.5583,8.0781,10.0000
1.5667,8.0798,10.0000
1.5750,8.0821,10.0000
1.5833,8.0839,10.0000
1.5917,8.0858,10.0000
1.6000,8.0878,10.0000
1.6083,8.0895,10.0000
1.6167,8.0915,10.0000
1.6250,8.0931,10.0000
1.6333,8.0949,10.0000
1.6417,8.0968,10.0000
1.6500,8.0983,10.0000
1.6583,8.1002,10.0000
1.6667,8.1017,10.0000
1.6750,8.1034,10.0000
1.6833,8.1052,10.0000
1.6917,8.1067,10.0000
1.7000,8.1085,10.0000
1.7083,8.1102,10.0000
1.7167,8.1119,10.0000
1.7250,8.1137,10.0000
1.7333,8.1153,10.0000
1.7417,8.1172,10.0000
1.7500,8.1190,10.0000
1.7583,8.1208,10.0000
1.7667,8.1227,10.0000
1.7750,8.1245,10.0000
1.7833,8.1266,10.0000
1.7917,8.1285,10.0000
1.8000,8.1306,10.0000
1.8083,8.1327,10.0000
1.8167,8.1348,10.0000
1.8250,8.1369,10.0000
1.8333,8.1392,10.0000
1.8417,8.1414,10.0000
1.8500,8.1437,10.0000
1.8583,8.1460,10.0000
1.8667,8.1485,10.0000
1.8750,8.1509,10.0000
1.8833,8.1533,10.0000
1.8917,8.1559,10.0000
1.9000,8.1584,10.0000
1.9083,8.1609,10.0000
1.9167,8.1636,10.0000
1.9250,8.1662,10.0000
1.9333,8.1688,10.0000
1.9417,8.1715,10.0000
1.9500,8.1741,10.0000
1.9583,8.1768,10.0000
1.9667,8.1795,10.0000
1.9750,8.1822,10.0000
1.9833,8.1849,10.0000
1.9917,8.1875,10.0000
2.0000,8.1902,10.0000
2.0083,8.1928,10.0000
2.0167,8.1954,10.0000
2.0250,8.1980,10.0000
2.0333,8.2006,10.0000
2.0417,8.2031,10.0000
2.0500,8.2056,10.0000
2.0583,8.2081,10.0000
2.0667,8.2105,10.0000
2.0750,8.2129,10.0000
2.0833,8.2153,10.0000
2.0917,8.2175,10.0000
2.1000,8.2198,10.0000
2.1083,8.2220,10.0000
2.1167,8.2241,10.0000
2.1250,8.2262,10.0000
2.1333,8.2283,10.0000
2.1417,8.2302,10.0000
2.1500,8.2322,10.0000
2.1583,8.2341,10.0000
2.1667,8.2359,10.0000
2.1750,8.2377,10.0000
2.1833,8.2395,10.0000
2.1917,8.2412,10.0000
2.2000,8.2429,10.0000
2.2083,8.2445,10.0000
2.2167,8.2461,10.0000
2.2250,8.2477,10.0000
2.2333,8.2493,10.0000
2.2417,8.2508,10.0000
2.2500,8.2524,10.0000
2.2583,8.2539,10.0000
2.2667,8.2554,10.0000
2.2750,8.2569,10.0000
2.2833,8.2584,10.0000
2.2917,8.2599,10.0000
2.3000,8.2614,10.0000
2.3083,8.2629,10.0000
2.3167,8.2645,10.0000
2.3250,8.2661,10.0000
2.3333,8.2676,10.0000
2.3417,8.2693,10.0000
2.3500,8.2709,10.0000
2.3583,8.2726,10.0000
2.3667,8.2743,10.0000
2.3750,8.2761,10.0000
2.3833,8.2779,10.0000
2.3917,8.2797,10.0000
2.4000,8.2816,10.0000
2.4083,8.2835,10.0000
2.4167,8.2855,10.0000
2.4250,8.2876,10.0000
2.4333,8.2895,10.0000
2.4417,8.2917,10.0000
2.4500,8.2938,10.0000
2.4583,8.2961,10.0000
2.4667,8.2983,10.0000
2.4750,8.3005,10.0000
2.4833,8.3029,10.0000
2.4917,8.3052,10.0000
2.5000,8.3076,10.0000
2.5083,8.3100,10.0000
2.5167,8.3124,10.0000
2.5250,8.3149,10.0000
2.5333,8.3173,10.0000
2.5417,8.3199,10.0000
2.5500,8.3223,10.0000
2.5583,8.3249,10.0000
2.5667,8.3274,10.0000
2.5750,8.3299,10.0000
2.5833,8.3324,10.0000
2.5917,8.3348,10.0000
2.6000,8.3374,10.0000
2.6083,8.3398,10.0000
2.6167,8.3422,10.0000
2.6250,8.3447,10.0000
2.6333,8.3470,10.0000
2.6417,8.3494,10.0000
2.6500,8.3517,10.0000
2.6583,8.3539,10.0000
2.6667,8.3562,10.0000
2.6750,8.3584,10.0000
2.6833,8.3605,10.0000
2.6917,8.3626,10.0000
2.7000,8.3646,10.0000
2.7083,8.3666,10.0000
2.7167,8.3685,10.0000
2.7250,8.3705,10.0000
2.7333,8.3722,10.0000
2.7417,8.3741,10.0000
2.7500,8.3758,10.0000
2.7583,8.3775,10.0000
2.7667,8.3792,10.0000
2.7750,8.3808,10.0000
2.7833,8.3824,10.0000
2.7917,8.3839,10.0000
2.8000,8.3854,10.0000
2.8083,8.3869,10.0000
2.8167,8.3883,10.0000
2.8250,8.3897,10.0000
2.8333,8.3911,10.0000
2.8417,8.3925,10.0000
2.8500,8.3939,10.0000
2.8583,8.3951,10.0000
2.8667,8.3966,10.0000
2.8750,8.3978,10.0000
2.8833,8.3992,10.0000
2.8917,8.4006,10.0000
2.9000,8.4019,10.0000
2.9083,8.4034,10.0000
2.9167,8.4046,10.0000
2.9250,8.4062,10.0000
2.9333,8.4076,10.0000
2.9417,8.4090,10.0000
2.9500,8.4106,10.0000
2.9583,8.4121,10.0000
2.9667,8.4137,10.0000
2.9750,8.4153,10.0000
2.9833,8.4169,10.0000
2.9917,8.4187,10.0000
3.0000,8.4204,0.0000
3.0083,6.7537,0.0000
3.0167,6.4965,0.0000
3.0250,5.0454,0.0000
3.0333,4.8775,0.0000
3.0417,3.7190,0.0000
3.0500,3.3537,0.0000
3.0583,3.2563,0.0000
3.0667,2.4365,0.0000
3.0750,2.1672,0.0000
3.0833,2.0854,0.0000
3.0917,1.9231,0.0000
3.1000,1.6869,0.0000
3.1083,1.3866,0.0000
3.1167,1.0345,0.0000
3.1250,0.8076,0.0000
3.1333,0.6070,0.0000
3.1417,0.3863,0.0000
3.1500,0.2160,0.0000
3.1583,0.0622,0.0000
3.1667,-0.0811,0.0000
3.1750,-0.1842,0.0000
3.1833,-0.2655,0.0000
3.1917,-0.3316,0.0000
3.2000,-0.3798,0.0000
3.2083,-0.4085,0.0000
3.2167,-0.4165,0.0000
3.2250,-0.4037,0.0000
3.2333,-0.3709,0.0000
3.2417,-0.3195,0.0000
3.2500,-0.2520,0.0000
3.2583,-0.1712,0.0000
3.2667,-0.0807,0.0000
3.2750,0.0154,0.0000
3.2833,0.1132,0.0000
3.2917,0.2081,0.0000
3.3000,0.2962,0.0000
3.3083,0.3735,0.0000
3.3167,0.4364,0.0000
3.3250,0.4822,0.0000
3.3333,0.5086,0.0000
3.3417,0.5142,0.0000
3.3500,0.4984,0.0000
3.3583,0.4615,0.0000
3.3667,0.4045,0.0000
3.3750,0.3296,0.0000
3.3833,0.2393,0.0000
3.3917,0.1370,0.0000
3.4000,0.0266,0.0000
3.4083,-0.0879,0.0000
3.4167,-0.2019,0.0000
3.4250,-0.3112,0.0000
3.4333,-0.3886,0.0000
3.4417,-0.4464,0.0000
3.4500,-0.4901,0.0000
3.4583,-0.5180,0.0000
3.4667,-0.5291,0.0000
3.4750,-0.5229,0.0000
3.4833,-0.4996,0.0000
3.4917,-0.4602,0.0000
3.5000,-0.4062,0.0000
3.5083,-0.3396,0.0000
3.5167,-0.2630,0.0000
3.5250,-0.1792,0.0000
3.5333,-0.0915,0.0000
3.5417,-0.0032,0.0000
3.5500,0.0825,0.0000
3.5583,0.1623,0.0000
3.5667,0.2334,0.0000
3.5750,0.2933,0.0000
3.5833,0.3397,0.0000
3.5917,0.3713,0.0000
3.6000,0.3872,0.0000
3.6083,0.3870,0.0000
3.6167,0.3711,0.0000
3.6250,0.3405,0.0000
3.6333,0.2969,0.0000
3.6417,0.2424,0.0000
3.6500,0.1795,0.0000
3.6583,0.1112,0.0000
3.6667,0.0404,0.0000
3.6750,-0.0295,0.0000
3.6833,-0.0956,0.0000
3.6917,-0.1548,0.0000
3.7000,-0.2045,0.0000
3.7083,-0.2424,0.0000
3.7167,-0.2668,0.0000
3.7250,-0.2765,0.0000
3.7333,-0.2710,0.0000
3.7417,-0.2503,0.0000
3.7500,-0.2151,0.0000
3.7583,-0.1669,0.0000
3.7667,-0.1074,0.0000
3.7750,-0.0391,0.0000
3.7833,0.0353,0.0000
3.7917,0.1127,0.0000
3.8000,0.1900,0.0000
3.8083,0.2640,0.0000
3.8167,0.3314,0.0000
3.8250,0.3895,0.0000
3.8333,0.4357,0.0000
3.8417,0.4679,0.0000
3.8500,0.4847,0.0000
3.8583,0.4849,0.0000
3.8667,0.4685,0.0000
3.8750,0.4356,0.0000
