time_s,actual_deg,setpoint_deg
0.0000,0.0000,0.0000
0.0333,0.0000,0.0000
0.0750,0.0000,0.0000
0.1167,0.0000,0.0000
0.1583,0.0000,0.0000
0.2000,-0.0000,0.0000
0.2417,-0.0000,0.0000
0.2750,0.0000,0.0000
0.3167,-0.0000,0.0000
0.3583,-0.0000,0.0000
0.4000,-0.0000,0.0000
0.4417,-0.0000,0.0000
0.4833,-0.0000,0.0000
0.5167,3.3335,20.0000
0.5583,11.6670,20.0000
0.6000,17.3018,20.0000
0.6417,18.9976,20.0000
0.6833,19.6365,20.0000
0.7250,19.8458,20.0000
0.7583,19.9035,20.0000
0.8000,19.9395,20.0000
0.8417,19.9436,20.0000
0.8833,19.9486,20.0000
0.9250,19.9492,20.0000
0.9667,19.9502,20.0000
1.0000,19.9505,20.0000
1.0417,19.9509,20.0000
1.0833,19.9512,20.0000
1.1250,19.9515,20.0000
1.1667,19.9518,20.0000
1.2083,19.9521,20.0000
1.2417,19.9523,20.0000
1.2833,19.9526,20.0000
1.3250,19.9529,20.0000
1.3667,19.9532,20.0000
1.4083,19.9534,20.0000
1.4500,19.9537,20.0000
1.4917,19.9540,20.0000
1.5250,19.9543,20.0000
1.5667,19.9545,20.0000
1.6083,19.9548,20.0000
1.6500,19.9551,20.0000
1.6917,19.9554,20.0000
1.7333,19.9557,20.0000
1.7667,19.9559,20.0000
1.8083,19.9562,20.0000
1.8500,19.9564,20.0000
1.8917,19.9567,20.0000
1.9333,19.9570,20.0000
1.9750,19.9572,20.0000
2.0083,19.9575,20.0000
2.0500,19.9577,20.0000
2.0917,19.9580,20.0000
2.1333,19.9583,20.0000
2.1750,19.9586,20.0000
2.2167,19.9588,20.0000
2.2500,19.9590,20.0000
2.2917,19.9593,20.0000
2.3333,19.9596,20.0000
2.3750,19.9598,20.0000
2.4167,19.9601,20.0000
2.4583,19.9603,20.0000
2.4917,19.9605,20.0000
2.5333,19.9608,20.0000
2.5750,19.9610,20.0000
2.6167,19.9613,20.0000
2.6583,19.9615,20.0000
2.7000,19.9617,20.0000
2.7417,19.9620,20.0000
2.7750,19.9622,20.0000
2.8167,19.9624,20.0000
2.8583,19.9626,20.0000
2.9000,19.9628,20.0000
2.9417,19.9631,20.0000
2.9833,19.9633,20.0000
3.0167,16.6299,0.0000
3.0583,8.2964,0.0000
3.1000,2.7246,0.0000
3.1417,1.0459,0.0000
3.1833,0.3595,0.0000
3.2250,0.1490,0.0000
3.2583,0.0726,0.0000
3.3000,0.0342,0.0000
3.3417,0.0216,0.0000
3.3833,0.0167,0.0000
3.4250,0.0149,0.0000
3.4667,0.0142,0.0000
3.5000,0.0140,0.0000
3.5417,0.0138,0.0000
3.5833,0.0137,0.0000
3.6250,0.0136,0.0000
3.6667,0.0135,0.0000
3.7083,0.0134,0.0000
3.7417,0.0133,0.0000
3.7833,0.0132,0.0000
3.8250,0.0132,0.0000
3.8667,0.0131,0.0000
3.9083,0.0130,0.0000
3.9500,0.0129,0.0000
3.9917,0.0128,0.0000
