step,value
250,0.0
500,0.0
750,0.0
1000,0.0
1250,0.0
1500,0.0
1750,0.0
2000,0.0
2250,0.0
2500,0.0
2750,0.0
3000,0.0
3250,0.0
3500,0.0
3750,0.0
4000,0.0
4250,0.0
4500,0.0
4750,0.0
5000,0.0
5250,0.0
5500,0.0
5750,0.0
6000,0.0
6250,0.0
6500,0.0
6750,0.0
7000,0.0
7250,0.0
7500,0.0
7750,0.0
8000,0.0
8250,0.0
8500,0.0
8750,0.0
9000,0.0
9250,0.0
9500,0.0
9750,0.0
10000,0.0
10250,0.0
10500,0.0
10750,0.0
11000,0.0
11250,0.0
11500,0.0
11750,0.0
12000,0.0
12250,0.0
12500,0.0
12750,0.0
13000,0.0
13250,0.0
13500,0.0
13750,0.0
14000,7.88954590547064e-09
14250,1.1203154599570553e-06
14500,0.0
14750,0.0
15000,0.0
15250,0.0
15500,0.0
15750,0.0
16000,0.0
16250,0.0
16500,0.0
16750,4.733728076189436e-09
17000,6.721894010297547e-07
17250,0.0
17500,0.0
17750,0.0
18000,0.0
18250,0.0
18500,0.0
18750,0.0
19000,0.0
19250,0.0
19500,0.0
19750,0.0
20000,0.0
20250,0.0
20500,0.0
20750,0.0
21000,0.0
21250,0.0
21500,0.0
21750,0.0
22000,0.0
22250,0.0
22500,0.0
22750,0.0
23000,0.0
23250,7.88954590547064e-09
23500,1.1203154599570553e-06
23750,0.0
24000,0.0
24250,4.8283965270456974e-08
24500,6.856323125248309e-06
24750,0.0
25000,0.0
25250,0.0
25500,0.0
25750,0.0
26000,8.836289033808953e-09
26250,1.254753101420647e-06
26500,1.2781055325206125e-08
26750,1.814909865061054e-06
27000,1.2938845550536371e-08
27250,1.8373160628470941e-06
27500,0.0
27750,3.897431710697674e-08
28000,5.53435302208527e-06
28250,0.0
28500,0.0
28750,2.7455588025304678e-08
29000,3.898693648807239e-06
29250,1.0729777066842416e-08
29500,1.5277310012606904e-06
29750,5.825640982948244e-07
30000,5.301769689936009e-08
30250,7.562753580714343e-06
30500,4.889147021458484e-06
30750,3.834788003587164e-06
31000,4.7053242724359734e-07
31250,5.207095199466494e-08
31500,7.401964467135258e-06
31750,1.1613410606514663e-06
32000,5.825634616485331e-06
32250,0.0
32500,3.108477031332768e-08
32750,4.414037448441377e-06
33000,1.0082830215196736e-07
33250,1.434475871064933e-05
33500,3.89332853956148e-06
33750,5.635339675791329e-06
34000,4.867687493970152e-06
34250,1.0378526894783136e-05
34500,7.04156946085277e-06
34750,7.242910669447156e-06
35000,4.035182428197004e-06
35250,6.6993216023547575e-06
35500,0.00044794045970775187
35750,0.0
36000,8.930956596486794e-08
36250,1.270894063054584e-05
36500,3.853880571114132e-06
36750,3.2111995551531436e-06
37000,4.2138012759096455e-06
37250,3.40685983246658e-06
37500,3.3782998798415065e-06
37750,5.690723810403142e-06
38000,6.296166702668415e-06
38250,4.970408085114286e-08
38500,7.057979473756859e-06
38750,3.723862107563036e-08
39000,5.287884050630964e-06
39250,1.3570009116392612e-08
39500,1.9269414224254433e-06
39750,1.893489276483251e-08
40000,2.715263462960138e-06
40250,3.7895024433964863e-06
40500,3.6282399378251284e-06
40750,6.139322977105621e-06
41000,0.0
41250,0.0
41500,4.639047901378035e-08
41750,6.587606094399234e-06
42000,2.24063132492347e-08
42250,1.1297815660782362e-07
42500,1.609039281902369e-05
42750,6.771906555513851e-06
43000,3.921099505532766e-06
43250,0.0
43500,0.0
43750,9.467451711486774e-09
44000,1.3719915159526863e-06
44250,3.921099505532766e-06
44500,0.0
44750,1.49901246970785e-08
45000,2.154475396309863e-06
45250,3.67463053407846e-06
45500,2.1775123926204287e-08
45750,3.092067572652013e-06
46000,0.0
46250,0.0
46500,0.0
46750,0.0
47000,7.88954590547064e-09
47250,1.1203154599570553e-06
47500,3.140035786941553e-08
47750,4.4680027713184245e-06
48000,1.2995654969927273e-06
48250,1.861931053781518e-08
48500,2.643942025315482e-06
48750,0.0
49000,2.4141982635228487e-08
49250,3.455301566646085e-06
49500,3.867450686811935e-06
49750,1.9269414224254433e-06
50000,3.0138039619487245e-08
50250,4.279601853340864e-06
50500,2.571989021760146e-08
50750,3.688674041768536e-06
51000,5.199836778047029e-06
51250,3.431001687204116e-06
51500,3.5850052881869487e-06
51750,1.5147914922408745e-08
52000,2.151004082406871e-06
52250,0.0
52500,0.0
52750,2.7297796023617593e-08
53000,3.87628688258701e-06
53250,0.0
53500,2.240628660388211e-08
53750,3.2083592031995067e-06
54000,3.844728780677542e-06
54250,8.272493687400129e-06
54500,3.860192464344436e-06
54750,4.1074517866945826e-06
55000,4.189974788459949e-06
55250,1.3412218002883947e-08
55500,1.9045349972657277e-06
55750,2.4141982635228487e-08
56000,3.4750253234960837e-06
56250,6.702634891553316e-06
56500,6.8115105023025535e-06
56750,2.6508843120609527e-08
57000,3.820271558652166e-06
57250,7.981528142408933e-06
57500,3.948870926251402e-06
57750,1.0335293154639658e-05
58000,4.0668983274372295e-06
58250,4.823032668355154e-06
58500,4.021770564577309e-06
58750,4.75013484901865e-06
59000,2.7297796023617593e-08
59250,3.903111519321101e-06
59500,3.809068175542052e-06
59750,1.9250471439136163e-08
60000,0.00018521115998737514
60250,1.1133241059724241e-05
60500,1.2422863619576674e-05
60750,1.0986968845827505e-05
61000,7.590208042529412e-06
61250,1.5202506801870186e-05
61500,1.1182787602592725e-05
61750,9.865392712526955e-06
62000,4.177035862085177e-06
62250,7.736637599009555e-06
62500,4.179718871455407e-06
62750,1.1329375411150977e-05
