step,value
250,-0.007093333639204502
500,-0.007092279382050037
750,-0.007078632712364197
1000,-0.007062579970806837
1250,-0.007040081545710564
1500,-0.007007739041000605
1750,-0.006963640917092562
2000,-0.006920277141034603
2250,-0.006881562061607838
2500,-0.0068358746357262135
2750,-0.00681680254638195
3000,-0.0067724427208304405
3250,-0.006719833705574274
3500,-0.006682839710265398
3750,-0.006668818183243275
4000,-0.006636494770646095
4250,-0.006564155220985413
4500,-0.006487319245934486
4750,-0.006417015101760626
5000,-0.006328574847429991
5250,-0.0062328181229531765
5500,-0.006161626428365707
5750,-0.006112012546509504
6000,-0.006067783571779728
6250,-0.006004104390740395
6500,-0.005947461351752281
6750,-0.005897035822272301
7000,-0.005846037063747644
7250,-0.005781940650194883
7500,-0.005708050448447466
7750,-0.005661080591380596
8000,-0.005616764072328806
8250,-0.005564731080085039
8500,-0.005530070047825575
8750,-0.005480163265019655
9000,-0.005449932999908924
9250,-0.005408710800111294
9500,-0.005374695174396038
9750,-0.005328793078660965
10000,-0.005265354178845882
10250,-0.005199584644287825
10500,-0.005116464104503393
10750,-0.00507037527859211
11000,-0.0050314366817474365
11250,-0.0049823615700006485
11500,-0.004925175569951534
11750,-0.004864302929490805
12000,-0.004809760954231024
12250,-0.0047632260248064995
12500,-0.004695148207247257
12750,-0.004657383542507887
13000,-0.004613228142261505
13250,-0.004566039424389601
13500,-0.00453038839623332
13750,-0.00448260735720396
14000,-0.004453298170119524
14250,-0.004432034213095903
14500,-0.004412137437611818
14750,-0.004384032916277647
15000,-0.004355544224381447
15250,-0.004308637231588364
15500,-0.0042574601247906685
15750,-0.00420176237821579
16000,-0.004150713328272104
16250,-0.004115113988518715
16500,-0.004086663480848074
16750,-0.004051977302879095
17000,-0.00401935912668705
17250,-0.003976764623075724
17500,-0.003933771047741175
17750,-0.003897804068401456
18000,-0.003863063408061862
18250,-0.0038276577834039927
18500,-0.003790647257119417
18750,-0.003755822777748108
19000,-0.003726148745045066
19250,-0.0037001585587859154
19500,-0.0036750766448676586
19750,-0.0036592844408005476
20000,-0.003647047560662031
20250,-0.0036310714203864336
20500,-0.0035966774448752403
20750,-0.00354796857573092
21000,-0.0035251607187092304
21250,-0.003501027124002576
21500,-0.0034754634834825993
21750,-0.0034578447230160236
22000,-0.003438409883528948
22250,-0.003419582499191165
22500,-0.0034030599053949118
22750,-0.0033896120730787516
23000,-0.0033656656742095947
23250,-0.003339946735650301
23500,-0.003323699813336134
23750,-0.0033050179481506348
24000,-0.0032887770794332027
24250,-0.003270649816840887
24500,-0.0032546722795814276
24750,-0.003239345271140337
25000,-0.0032272078096866608
25250,-0.0032167313620448112
25500,-0.0032009531278163195
25750,-0.003183784894645214
26000,-0.0031669610179960728
26250,-0.003153550438582897
26500,-0.0031382266897708178
26750,-0.00312837609089911
27000,-0.003118427935987711
27250,-0.003108370816335082
27500,-0.00309870601631701
27750,-0.003087087534368038
28000,-0.0030790045857429504
28250,-0.003068273887038231
28500,-0.003055077977478504
28750,-0.00304288393817842
29000,-0.0030303432140499353
29250,-0.0030238290783017874
29500,-0.0030152201652526855
29750,-0.003007503692060709
30000,-0.00299828895367682
30250,-0.002993158530443907
30500,-0.0029881163500249386
30750,-0.0029806781094521284
31000,-0.002968589775264263
31250,-0.002958964556455612
31500,-0.0029501726385205984
31750,-0.002942677354440093
32000,-0.002935215597972274
32250,-0.002929192502051592
32500,-0.0029205905739217997
32750,-0.002910209121182561
33000,-0.0029018335044384003
33250,-0.0028947049286216497
33500,-0.0028899365570396185
33750,-0.002884078770875931
34000,-0.00287438347004354
34250,-0.0028636001516133547
34500,-0.0028568143025040627
34750,-0.002847381168976426
35000,-0.0028411312960088253
35250,-0.0028325291350483894
35500,-0.0028254175558686256
35750,-0.002816209103912115
36000,-0.002808357123285532
36250,-0.002797897905111313
36500,-0.0027845732402056456
36750,-0.0027683081571012735
37000,-0.002752297557890415
37250,-0.0027364930137991905
37500,-0.002726583508774638
37750,-0.0027200591284781694
38000,-0.0027098290156573057
38250,-0.002703471574932337
38500,-0.0026960321702063084
38750,-0.002690195105969906
39000,-0.002686830470338464
39250,-0.0026802339125424623
39500,-0.002673632465302944
39750,-0.0026680417358875275
40000,-0.0026601534336805344
40250,-0.002648780355229974
40500,-0.0026390966959297657
40750,-0.0026301529724150896
41000,-0.002619778038933873
41250,-0.0026139647234231234
41500,-0.002609063172712922
41750,-0.0025996551848948
42000,-0.002586610848084092
42250,-0.002573495963588357
42500,-0.002561903325840831
42750,-0.002554207807406783
43000,-0.0025494596920907497
43250,-0.0025423418264836073
43500,-0.0025363354943692684
43750,-0.002528930315747857
44000,-0.0025189495645463467
44250,-0.0025073892902582884
44500,-0.0024991438258439302
44750,-0.0024895891547203064
45000,-0.002481844276189804
45250,-0.0024769369047135115
45500,-0.002470805309712887
45750,-0.002464759163558483
46000,-0.002458772389218211
46250,-0.002452770248055458
46500,-0.002446516416966915
46750,-0.002437205985188484
47000,-0.0024267660919576883
47250,-0.002412328729405999
47500,-0.0023903001565486193
47750,-0.002380010671913624
48000,-0.0023664759937673807
48250,-0.002357898745685816
48500,-0.0023506309371441603
48750,-0.002340728882700205
49000,-0.002328980015590787
49250,-0.002319775754585862
49500,-0.002312083961442113
49750,-0.0023068038281053305
50000,-0.0022991385776549578
50250,-0.002292138757184148
50500,-0.0022843568585813046
50750,-0.002277928637340665
51000,-0.0022686419542878866
51250,-0.002258127089589834
51500,-0.0022501815110445023
51750,-0.0022480597253888845
52000,-0.002245608251541853
52250,-0.002239536726847291
52500,-0.002231921534985304
52750,-0.0022231063339859247
53000,-0.0022135102190077305
53250,-0.0022005196660757065
53500,-0.0021921114530414343
53750,-0.0021825521253049374
54000,-0.0021736507769674063
54250,-0.002165788784623146
54500,-0.0021603857167065144
54750,-0.0021547165233641863
55000,-0.0021471453364938498
55250,-0.0021382186096161604
55500,-0.0021288678981363773
55750,-0.002121337689459324
56000,-0.00211759889498353
56250,-0.002107268199324608
56500,-0.0020969100296497345
56750,-0.0020882198587059975
57000,-0.0020789725240319967
57250,-0.002071585739031434
57500,-0.0020641423761844635
57750,-0.0020569092594087124
58000,-0.0020494088530540466
58250,-0.0020411722362041473
58500,-0.0020351791754364967
58750,-0.002030493225902319
59000,-0.002023411216214299
59250,-0.002012505428865552
59500,-0.0020034664776176214
59750,-0.0019955572206526995
60000,-0.001990186981856823
60250,-0.001983936410397291
60500,-0.0019753407686948776
60750,-0.0019665348809212446
61000,-0.0019585108384490013
61250,-0.0019469858380034566
61500,-0.0019372025271877646
61750,-0.0019249293254688382
62000,-0.0019134529866278172
62250,-0.0019087237305939198
62500,-0.00190300855319947
62750,-0.0018947323551401496
