step,value
250,148.0
500,2.0
750,1.0
1000,1.0
1250,1.0
1500,1.0
1750,1.0
2000,1.0
2250,2.0
2500,2.0
2750,2.0
3000,2.0
3250,2.0
3500,2.0
3750,2.0
4000,2.0
4250,2.0
4500,2.0
4750,2.0
5000,2.0
5250,2.0
5500,2.0
5750,2.0
6000,2.0
6250,2.0
6500,2.0
6750,2.0
7000,2.0
7250,2.0
7500,2.0
7750,2.0
8000,2.0
8250,2.0
8500,2.0
8750,2.0
9000,2.0
9250,2.0
9500,2.0
9750,2.0
10000,2.0
10250,2.0
10500,2.0
10750,2.0
11000,2.0
11250,2.0
11500,2.0
11750,1.0
12000,1.0
12250,1.0
12500,1.0
12750,1.0
13000,1.0
13250,1.0
13500,1.0
13750,1.0
14000,1.0
14250,1.0
14500,1.0
14750,1.0
15000,1.0
15250,1.0
15500,1.0
15750,1.0
16000,1.0
16250,1.0
16500,1.0
16750,1.0
17000,1.0
17250,1.0
17500,1.0
17750,1.0
18000,1.0
18250,1.0
18500,1.0
18750,1.0
19000,1.0
19250,1.0
19500,1.0
19750,1.0
20000,1.0
20250,1.0
20500,1.0
20750,1.0
21000,1.0
21250,1.0
21500,1.0
21750,1.0
22000,1.0
22250,1.0
22500,1.0
22750,1.0
23000,1.0
23250,1.0
23500,1.0
23750,1.0
24000,1.0
24250,1.0
24500,1.0
24750,1.0
25000,1.0
25250,1.0
25500,1.0
25750,1.0
26000,1.0
26250,1.0
26500,1.0
26750,1.0
27000,1.0
27250,1.0
27500,1.0
27750,1.0
28000,1.0
28250,1.0
28500,1.0
28750,1.0
29000,1.0
29250,1.0
29500,1.0
29750,1.0
30000,1.0
30250,1.0
30500,1.0
30750,1.0
31000,1.0
31250,1.0
31500,1.0
31750,1.0
32000,1.0
32250,1.0
32500,1.0
32750,1.0
33000,1.0
33250,1.0
33500,1.0
33750,1.0
34000,1.0
34250,1.0
34500,1.0
34750,1.0
35000,1.0
35250,1.0
35500,1.0
35750,1.0
36000,1.0
36250,1.0
36500,1.0
36750,1.0
37000,1.0
37250,1.0
37500,1.0
37750,1.0
38000,1.0
38250,1.0
38500,1.0
38750,1.0
39000,1.0
39250,1.0
39500,1.0
39750,1.0
40000,1.0
40250,1.0
40500,1.0
40750,1.0
41000,1.0
41250,1.0
41500,1.0
41750,1.0
42000,1.0
42250,1.0
42500,1.0
42750,1.0
43000,1.0
43250,1.0
43500,1.0
43750,1.0
44000,1.0
44250,1.0
44500,1.0
44750,1.0
45000,1.0
45250,1.0
45500,1.0
45750,1.0
46000,1.0
46250,1.0
46500,1.0
46750,1.0
47000,1.0
47250,1.0
47500,1.0
47750,1.0
48000,1.0
48250,1.0
48500,1.0
48750,1.0
49000,1.0
49250,1.0
49500,1.0
49750,1.0
50000,1.0
50250,1.0
50500,1.0
50750,1.0
51000,1.0
51250,1.0
51500,1.0
51750,1.0
52000,1.0
52250,1.0
52500,1.0
52750,1.0
53000,1.0
53250,1.0
53500,1.0
53750,1.0
54000,1.0
54250,1.0
54500,1.0
54750,1.0
55000,1.0
55250,1.0
55500,1.0
55750,1.0
56000,1.0
56250,1.0
56500,1.0
56750,1.0
57000,1.0
57250,1.0
57500,1.0
57750,1.0
58000,1.0
58250,1.0
58500,1.0
58750,1.0
59000,1.0
59250,1.0
59500,1.0
59750,1.0
60000,1.0
60250,1.0
60500,1.0
60750,1.0
61000,1.0
61250,1.0
61500,1.0
61750,1.0
62000,1.0
62250,1.0
62500,1.0
62750,1.0
63000,1.0
63250,1.0
63500,1.0
63750,1.0
64000,1.0
64250,1.0
64500,1.0
64750,1.0
65000,1.0
65250,1.0
65500,1.0
65750,1.0
66000,1.0
66250,1.0
66500,1.0
66750,1.0
67000,1.0
67250,1.0
67500,1.0
67750,1.0
68000,1.0
68250,1.0
68500,1.0
68750,1.0
69000,1.0
69250,1.0
69500,1.0
69750,1.0
70000,1.0
70250,1.0
70500,1.0
70750,1.0
71000,1.0
71250,1.0
71500,1.0
71750,1.0
72000,1.0
72250,1.0
72500,1.0
72750,1.0
73000,1.0
73250,1.0
73500,1.0
73750,1.0
74000,1.0
74250,1.0
74500,1.0
74750,1.0
75000,1.0
75250,1.0
75500,1.0
75750,1.0
76000,1.0
76250,1.0
76500,1.0
76750,1.0
77000,1.0
77250,1.0
77500,1.0
77750,1.0
78000,1.0
78250,1.0
78500,1.0
78750,1.0
79000,1.0
79250,1.0
79500,1.0
79750,1.0
80000,1.0
80250,1.0
80500,1.0
