step,value
250,-5.114499435876496e-05
500,-0.003495321609079838
750,-0.004648879636079073
1000,-0.001984138274565339
1250,-3.6598576116375625e-05
1500,-0.001409395132213831
1750,-0.2986222803592682
2000,-0.002867923118174076
2250,-0.0036475604865700006
2500,-0.0009455880499444902
2750,-0.009139210917055607
3000,-0.04943442717194557
3250,-0.1526004672050476
3500,-0.02912191115319729
3750,-0.06224510073661804
4000,-0.038557834923267365
4250,-0.07830099761486053
4500,-0.05600820481777191
4750,-0.11133882403373718
5000,-0.07914372533559799
5250,-0.03538379818201065
5500,-0.055085524916648865
5750,-0.04917508363723755
6000,-0.05078023299574852
6250,-0.08843258023262024
6500,-0.008039772510528564
6750,-0.02195720374584198
7000,-0.027910791337490082
7250,-0.017140964046120644
7500,-0.0362880565226078
7750,-0.01976339891552925
8000,-0.014886376447975636
8250,-0.021796686574816704
8500,-0.03223804384469986
8750,-0.005791601724922657
9000,-0.0024977796711027622
9250,-0.005610338412225246
9500,-0.012750936672091484
9750,-0.010217864066362381
10000,-0.0014127865433692932
10250,-0.06378604471683502
10500,-0.0026054007466882467
10750,-0.01943282224237919
11000,-0.008239543065428734
11250,-0.014136127196252346
11500,-0.01974698342382908
11750,-0.012191087938845158
12000,-0.01668578013777733
12250,-0.0055375052616000175
12500,-0.005214680917561054
12750,-0.0023952354677021503
13000,-0.00869334302842617
13250,-0.001490386319346726
13500,-0.000993334804661572
13750,0.0
14000,0.0
14250,0.0
14500,-3.079732050537132e-05
14750,-1.5854209777899086e-05
15000,0.0
15250,-0.0025392859242856503
15500,0.0
15750,0.0
16000,-1.6400908862124197e-05
16250,0.0
16500,0.0
16750,0.0
17000,0.0
17250,0.0
17500,0.0
17750,0.0
18000,-3.225518230465241e-05
18250,0.0
18500,-1.5307510693673976e-05
18750,0.0
19000,0.0
19250,0.0
19500,0.0
19750,0.0
20000,0.0
20250,-0.006860001012682915
20500,0.0
20750,0.0
21000,-0.0003200000210199505
21250,0.0
21500,0.0
21750,0.0
22000,0.0
22250,0.0
22500,0.0
22750,0.0
23000,0.0
23250,-0.0002600000298116356
23500,-0.002453337889164686
23750,0.0
24000,0.0
24250,0.0
24500,0.0
24750,0.0
25000,0.0
25250,0.0
25500,0.0
25750,0.0
26000,0.0
26250,0.0
26500,0.0
26750,0.0
27000,0.0
27250,0.0
27500,0.0
27750,0.0
28000,0.0
28250,0.0
28500,0.0
28750,0.0
29000,0.0
29250,0.0
29500,0.0
29750,0.0
30000,0.0
30250,0.0
30500,0.0
30750,0.0
31000,0.0
31250,0.0
31500,0.0
31750,0.0
32000,0.0
32250,0.0
32500,0.0
32750,0.0
33000,0.0
33250,0.0
33500,0.0
33750,0.0
34000,0.0
34250,0.0
34500,0.0
34750,0.0
35000,0.0
35250,0.0
35500,0.0
35750,0.0
36000,0.0
36250,0.0
36500,0.0
36750,0.0
37000,0.0
37250,0.0
37500,0.0
37750,0.0
38000,0.0
38250,0.0
38500,0.0
38750,0.0
39000,0.0
39250,0.0
39500,0.0
39750,0.0
40000,0.0
40250,0.0
40500,0.0
40750,0.0
41000,0.0
41250,0.0
41500,0.0
41750,0.0
42000,0.0
42250,0.0
42500,0.0
42750,0.0
43000,0.0
43250,0.0
43500,0.0
43750,0.0
44000,0.0
44250,0.0
44500,-1.8223239749204367e-05
44750,0.0
45000,0.0
45250,0.0
45500,0.0
45750,0.0
46000,0.0
46250,0.0
46500,0.0
46750,0.0
47000,0.0
47250,0.0
47500,0.0
47750,0.0
48000,0.0
48250,0.0
48500,0.0
48750,0.0
49000,0.0
49250,0.0
49500,0.0
