step,value
250,-0.00304504856467247
500,-0.006736417766660452
750,-0.009348408319056034
1000,-0.008612862788140774
1250,-0.00985936913639307
1500,-0.00991747621446848
1750,-0.00910981185734272
2000,-0.009460771456360817
2250,-0.00913694966584444
2500,-0.008701029233634472
2750,-0.00664750998839736
3000,-0.005949457176029682
3250,-0.006267671473324299
3500,-0.005900203716009855
3750,-0.006483928766101599
4000,-0.006146542727947235
4250,-0.00568021647632122
4500,-0.005245683249086142
4750,-0.006043030880391598
5000,-0.005713614169508219
5250,-0.004634501412510872
5500,-0.0036283417139202356
5750,-0.002619801089167595
6000,-0.0023470560554414988
6250,-0.002083767205476761
6500,-0.0017875211779028177
6750,-0.0018598305759951472
7000,-0.001799188437871635
7250,-0.0016845323843881488
7500,-0.001692696358077228
7750,-0.0016691864002496004
8000,-0.0015442370204254985
8250,-0.001505325548350811
8500,-0.00146873842459172
8750,-0.0014114199439063668
9000,-0.001407155185006559
9250,-0.001459556515328586
9500,-0.0014821350341662765
9750,-0.0015563375782221556
10000,-0.0014459163649007678
10250,-0.001588141079992056
10500,-0.0013965459074825048
10750,-0.0015747436555102468
11000,-0.0014965408481657505
11250,-0.0014831435400992632
11500,-0.0015311144525185227
11750,-0.001500578597187996
12000,-0.0015580353792756796
12250,-0.0014663352631032467
12500,-0.0014875815249979496
12750,-0.0013668716419488192
13000,-0.0013524506939575076
13250,-0.001386786112561822
13500,-0.0013993324246257544
13750,-0.0014137841062620282
14000,-0.0013688005274161696
14250,-0.0013486618408933282
14500,-0.0013392642140388489
14750,-0.0013251446653157473
15000,-0.0012643480440601707
15250,-0.0012526455102488399
15500,-0.0012587334495037794
15750,-0.0012702045496553183
16000,-0.0012560453033074737
16250,-0.0012564383214339614
16500,-0.0012585102813318372
16750,-0.0012332083424553275
17000,-0.0011800691718235612
17250,-0.0011856111232191324
17500,-0.0011625386541709304
17750,-0.0011434870539233088
18000,-0.0011349078267812729
18250,-0.0011377311311662197
18500,-0.001119664404541254
18750,-0.0010978981154039502
19000,-0.0010907797841355205
19250,-0.001130381366237998
19500,-0.001146446680650115
19750,-0.0011137513210996985
20000,-0.0011447964934632182
20250,-0.001152341952547431
20500,-0.0011184157337993383
20750,-0.0011217989958822727
21000,-0.0011347655672580004
21250,-0.001135897939093411
21500,-0.001154254307039082
21750,-0.0011282064951956272
22000,-0.00113160558976233
22250,-0.0011334576411172748
22500,-0.0011185869807377458
22750,-0.001116516999900341
23000,-0.001151680713519454
23250,-0.0011184439063072205
23500,-0.0011160371359437704
23750,-0.0010938197374343872
24000,-0.0010954242898151278
24250,-0.0011152841616421938
24500,-0.0011000540107488632
24750,-0.0010985025437548757
25000,-0.0010992706520482898
25250,-0.0011233510449528694
25500,-0.001091087469831109
25750,-0.001105806208215654
26000,-0.0011126809986308217
26250,-0.0011154368985444307
26500,-0.0011058960808441043
26750,-0.0010753829265013337
27000,-0.0010829634265974164
27250,-0.001076058833859861
27500,-0.0010808282531797886
27750,-0.0010834351414814591
28000,-0.0010800061281770468
28250,-0.0010712279472500086
28500,-0.0010544564574956894
28750,-0.0010720384307205677
29000,-0.0010351620148867369
29250,-0.0010549674043431878
29500,-0.0010681896237656474
29750,-0.001069260062649846
30000,-0.0010510737774893641
30250,-0.0010893474100157619
30500,-0.0010765487095341086
30750,-0.001073730643838644
31000,-0.0010780560551211238
31250,-0.0010809608502313495
31500,-0.001096472260542214
31750,-0.001094415900297463
32000,-0.001087505603209138
32250,-0.0010854501742869616
32500,-0.001069526537321508
32750,-0.001057385466992855
33000,-0.0010713603114709258
33250,-0.0010563959367573261
33500,-0.0010711520444601774
33750,-0.0010788524523377419
34000,-0.0010715549578890204
34250,-0.001095873536542058
34500,-0.0010674441000446677
34750,-0.0010781073942780495
35000,-0.0010725203901529312
35250,-0.001080001937225461
35500,-0.0010742361191660166
35750,-0.001096814638003707
36000,-0.0010990489972755313
36250,-0.0010963083477690816
36500,-0.0010963487438857555
36750,-0.0011129238409921527
37000,-0.001098250737413764
37250,-0.0011375767644494772
37500,-0.0011203024769201875
37750,-0.001144337235018611
38000,-0.001161668449640274
38250,-0.0011744966031983495
38500,-0.0011819798965007067
38750,-0.0011467832373455167
39000,-0.001140240696258843
39250,-0.0011636256240308285
39500,-0.0011554541997611523
39750,-0.0011582070728763938
40000,-0.0011415582848712802
40250,-0.0011358213378116488
40500,-0.0011600806610658765
40750,-0.001146248308941722
41000,-0.0011460647219792008
41250,-0.0011649035150185227
41500,-0.0011651620734483004
41750,-0.0011292758863419294
42000,-0.001167662674561143
42250,-0.0011535284575074911
42500,-0.001140132430009544
42750,-0.0011476165382191539
43000,-0.0011277628364041448
43250,-0.00114224455319345
43500,-0.0011344470549374819
43750,-0.0011111949570477009
44000,-0.0011356485774740577
44250,-0.0011008207220584154
44500,-0.0011212555691599846
44750,-0.0011111400090157986
45000,-0.0011048302985727787
45250,-0.001110533601604402
45500,-0.0011117856483906507
45750,-0.0011150576174259186
46000,-0.001092457794584334
46250,-0.0011245987843722105
46500,-0.0011032292386516929
46750,-0.0011180000146850944
47000,-0.001145829795859754
47250,-0.0011193063110113144
47500,-0.0011111433850601315
47750,-0.0011277607409283519
48000,-0.0011169473873451352
48250,-0.001129481359384954
48500,-0.0011286103399470448
48750,-0.0011255659628659487
49000,-0.001117541454732418
49250,-0.0011165332980453968
49500,-0.0011401076335459948
49750,-0.0011360873468220234
50000,-0.0011420565424486995
50250,-0.001150963013060391
50500,-0.0011516520753502846
50750,-0.0011660329764708877
51000,-0.0011524062138050795
51250,-0.0011471102479845285
51500,-0.0011520355474203825
51750,-0.0011431805323809385
52000,-0.0011218091240152717
52250,-0.00112634664401412
52500,-0.0011464132694527507
52750,-0.001118181855417788
53000,-0.0011342527577653527
53250,-0.001136986305937171
53500,-0.0011287620291113853
53750,-0.0011183854658156633
54000,-0.001137941493652761
54250,-0.00117624516133219
54500,-0.0011219753650948405
54750,-0.0011363998055458069
55000,-0.0011560384882614017
55250,-0.0011526349699124694
55500,-0.0011374474270269275
55750,-0.001135232043452561
56000,-0.0011537158861756325
56250,-0.0011268571252003312
56500,-0.0011344525264576077
56750,-0.0011374877067282796
57000,-0.0011501755798235536
57250,-0.0011610991787165403
57500,-0.0011215535923838615
57750,-0.001138780964538455
58000,-0.0011365131940692663
58250,-0.0011381682706996799
58500,-0.0011637978022918105
58750,-0.0011271208059042692
59000,-0.001136556500568986
59250,-0.0011710514081642032
59500,-0.0011511214543133974
59750,-0.0011630561202764511
60000,-0.0012124284403398633
60250,-0.0011370714055374265
60500,-0.0012044317554682493
60750,-0.0011550498893484473
61000,-0.001141636399552226
61250,-0.001179721555672586
61500,-0.001162466243840754
61750,-0.001172335701994598
62000,-0.0012102059554308653
62250,-0.001182096661068499
62500,-0.0012332092737779021
62750,-0.0012487937929108739
63000,-0.0011718487367033958
63250,-0.0012873515952378511
63500,-0.001279471442103386
63750,-0.0012229239800944924
64000,-0.0012863841839134693
64250,-0.001208186848089099
64500,-0.0012474743416532874
64750,-0.0012759834062308073
65000,-0.0012498454889282584
65250,-0.0012760884128510952
65500,-0.0013065068051218987
65750,-0.001332673360593617
66000,-0.0013241424458101392
66250,-0.0012830982450395823
66500,-0.001338075497187674
66750,-0.0013811998069286346
67000,-0.0013669279869645834
67250,-0.001384211704134941
67500,-0.0013358391588553786
67750,-0.0013612644979730248
68000,-0.001323089119978249
68250,-0.001388385659083724
68500,-0.0014172270894050598
68750,-0.0014064369024708867
69000,-0.001358924899250269
69250,-0.0014478737721219659
69500,-0.0013416826259344816
69750,-0.0014045464340597391
70000,-0.001295520574785769
70250,-0.001313365763053298
70500,-0.0013578512007370591
70750,-0.0013430751860141754
71000,-0.0013579466613009572
71250,-0.0013575644697993994
71500,-0.0013739863643422723
71750,-0.0013716010143980384
72000,-0.0013495738385245204
72250,-0.0013979903887957335
72500,-0.0014237345894798636
72750,-0.0014962241984903812
73000,-0.0015231220750138164
73250,-0.0013833008706569672
73500,-0.0013952732551842928
73750,-0.0014439201913774014
74000,-0.0014792856527492404
74250,-0.001477090292610228
74500,-0.001453818054869771
74750,-0.0015300544910132885
75000,-0.0015196297317743301
75250,-0.001415320672094822
75500,-0.0015065983170643449
75750,-0.0013774115359410644
76000,-0.0014849904691800475
76250,-0.0014207628555595875
76500,-0.0015124841593205929
76750,-0.001455242047086358
77000,-0.001428155810572207
77250,-0.0014740839833393693
77500,-0.0015491662779822946
77750,-0.0015215397579595447
78000,-0.0014618688728660345
78250,-0.0014465766726061702
78500,-0.0015215909807011485
78750,-0.0014745162334293127
79000,-0.0014913935447111726
79250,-0.0015284003457054496
79500,-0.0014637249987572432
79750,-0.0015680425567552447
80000,-0.0014856011839583516
80250,-0.0015930879162624478
80500,-0.001557505689561367
80750,-0.0015613812720403075
81000,-0.0014839282957836986
81250,-0.0015355105279013515
81500,-0.0015015698736533523
81750,-0.0015349178574979305
82000,-0.0015926985070109367
82250,-0.0015585996443405747
82500,-0.0015252545708790421
82750,-0.0015186883974820375
83000,-0.0015290892915800214
83250,-0.001551291556097567
83500,-0.0017066635191440582
83750,-0.0015642245998606086
84000,-0.001622749026864767
84250,-0.0015895870747044683
84500,-0.0016700666164979339
84750,-0.0015985387144610286
85000,-0.0015851123025640845
85250,-0.0015560091705992818
85500,-0.0015723686665296555
85750,-0.001675568986684084
86000,-0.0016126889968290925
86250,-0.0016613121842965484
86500,-0.001652724458836019
86750,-0.0016870262334123254
87000,-0.001793928793631494
87250,-0.00160457962192595
87500,-0.0017029515001922846
87750,-0.0016693040961399674
88000,-0.0016989795258268714
88250,-0.0017229423392564058
88500,-0.00164472043979913
88750,-0.0017238450236618519
89000,-0.0016683691646903753
89250,-0.0018978393636643887
89500,-0.001746193622238934
89750,-0.0016678111860528588
90000,-0.0016116001643240452
90250,-0.0018208841793239117
90500,-0.0016158528160303831
90750,-0.0017113074427470565
91000,-0.001734754303470254
91250,-0.0016346588963642716
91500,-0.0017254238482564688
91750,-0.0017804078524932265
92000,-0.0017117939423769712
92250,-0.0015777680091559887
92500,-0.0017850244184955955
92750,-0.0016556663904339075
93000,-0.0017271367833018303
93250,-0.0017831097356975079
93500,-0.0016526465769857168
93750,-0.0017473482294008136
94000,-0.0016586113488301635
94250,-0.0016964212991297245
94500,-0.0016758746933192015
94750,-0.0016834603156894445
95000,-0.0017255565617233515
95250,-0.0016573343891650438
95500,-0.0017545233713462949
95750,-0.0015964092453941703
96000,-0.0017402754165232182
96250,-0.001699127722531557
96500,-0.001678453292697668
96750,-0.0017321048071607947
97000,-0.0016952466685324907
97250,-0.001561015727929771
97500,-0.0016677522799000144
97750,-0.0017884314293041825
98000,-0.0015511574456468225
98250,-0.0016464157961308956
98500,-0.0016465735388919711
98750,-0.0016170023009181023
99000,-0.0016623727278783917
99250,-0.0016512046568095684
99500,-0.001740551320835948
99750,-0.0017050104215741158
100000,-0.001670708181336522
100250,-0.0017402918310835958
100500,-0.0016950304852798581
100750,-0.0016890374245122075
101000,-0.001825766870751977
101250,-0.0016705836169421673
101500,-0.001657704939134419
101750,-0.0017363961087539792
102000,-0.0017146080499514937
102250,-0.0017372218426316977
102500,-0.0017061487305909395
102750,-0.0015836328966543078
103000,-0.0016665947623550892
103250,-0.0016690095653757453
103500,-0.0017443394754081964
103750,-0.0017105884617194533
104000,-0.001651993254199624
104250,-0.0016518465708941221
104500,-0.0015591442352160811
104750,-0.0016909693367779255
105000,-0.0017311347182840109
105250,-0.0017759125912562013
105500,-0.0017124996520578861
105750,-0.001809712965041399
106000,-0.0016352190868929029
106250,-0.0016666015144437551
106500,-0.0016241560224443674
106750,-0.001671590842306614
107000,-0.0016023096395656466
107250,-0.0016286231111735106
107500,-0.0016643087146803737
107750,-0.0016865660436451435
108000,-0.0015882696025073528
108250,-0.0016743753803893924
108500,-0.001682612462900579
108750,-0.0016813687980175018
109000,-0.001707578427158296
109250,-0.0017689693486317992
109500,-0.0016818876611068845
109750,-0.0016404956113547087
110000,-0.0017668197397142649
110250,-0.0017850716831162572
110500,-0.001640435541048646
110750,-0.0016722290311008692
111000,-0.0017130159540101886
111250,-0.0017413721652701497
111500,-0.0016367991920560598
111750,-0.0017569060437381268
112000,-0.0017324222717434168
112250,-0.0017909693997353315
112500,-0.0018107161158695817
112750,-0.0016998860519379377
113000,-0.0017460220260545611
113250,-0.0016357307322323322
113500,-0.0017114499351009727
113750,-0.0018141266191378236
114000,-0.0017601901199668646
114250,-0.001764293760061264
114500,-0.0017743222415447235
114750,-0.0017800898058339953
115000,-0.0018680894281715155
115250,-0.0016888007521629333
115500,-0.0017593145603314042
115750,-0.0016233933856710792
116000,-0.0016762464074417949
116250,-0.0017511937767267227
116500,-0.0016869574319571257
116750,-0.0017281501786783338
117000,-0.0016761176520958543
117250,-0.0017202318413183093
117500,-0.0016801221063360572
117750,-0.001664641429670155
118000,-0.001765607506968081
118250,-0.0017649614019319415
118500,-0.0017287228256464005
118750,-0.0017787129618227482
119000,-0.0017415371257811785
119250,-0.0017624021274968982
119500,-0.0016997085185721517
119750,-0.0017749948892742395
120000,-0.0017141493735834956
120250,-0.0016996940830722451
120500,-0.0016042279312387109
120750,-0.0017477389192208648
121000,-0.0015921695157885551
121250,-0.0017556309467181563
121500,-0.001807842985726893
121750,-0.0017219732981175184
122000,-0.001887673162855208
122250,-0.001903520431369543
122500,-0.0017977752722799778
122750,-0.001826644060201943
123000,-0.0017040277598425746
123250,-0.0016724106390029192
123500,-0.0018550296081230044
123750,-0.0016958278138190508
124000,-0.0016883829375728965
124250,-0.0016097368206828833
124500,-0.0016889313701540232
124750,-0.0016663295682519674
125000,-0.0015975955175235868
125250,-0.0015767194563522935
125500,-0.0016243027057498693
125750,-0.0017750216647982597
126000,-0.0016991220181807876
126250,-0.0017220142763108015
126500,-0.001824121456593275
126750,-0.0019464242504909635
