step,value
250,-0.007094938773661852
500,-0.00709544587880373
750,-0.00708574615418911
1000,-0.007070854771882296
1250,-0.007056432776153088
1500,-0.007053732872009277
1750,-0.007031622808426619
2000,-0.006999244913458824
2250,-0.0069836219772696495
2500,-0.00696368794888258
2750,-0.0069427951239049435
3000,-0.006929898168891668
3250,-0.0069128889590501785
3500,-0.006887603551149368
3750,-0.0068682399578392506
4000,-0.006854080595076084
4250,-0.006831446662545204
4500,-0.006803485564887524
4750,-0.006785213481634855
5000,-0.00676377210766077
5250,-0.006742308847606182
5500,-0.00672885263338685
5750,-0.0067168427631258965
6000,-0.006700797472149134
6250,-0.006688798777759075
6500,-0.006676462944597006
6750,-0.006655425298959017
7000,-0.0066154757514595985
7250,-0.006576253566890955
7500,-0.006536627188324928
7750,-0.006502886768430471
8000,-0.006470846943557262
8250,-0.006447074934840202
8500,-0.0064177922904491425
8750,-0.006394574884325266
9000,-0.006374657619744539
9250,-0.006365010514855385
9500,-0.006345309317111969
9750,-0.0063304295763373375
10000,-0.006305265240371227
10250,-0.00628491910174489
10500,-0.006273111794143915
10750,-0.006263122893869877
11000,-0.006249676924198866
11250,-0.006215672940015793
11500,-0.006196048576384783
11750,-0.006181895732879639
12000,-0.006161721423268318
12250,-0.006125572603195906
12500,-0.0060812076553702354
12750,-0.006044785026460886
13000,-0.006014231126755476
13250,-0.0059811449609696865
13500,-0.005950005259364843
13750,-0.005910531152039766
14000,-0.005884263198822737
14250,-0.005852806847542524
14500,-0.005822559352964163
14750,-0.005792094860225916
15000,-0.005764003377407789
15250,-0.005741783883422613
15500,-0.0057112001813948154
15750,-0.005683146417140961
16000,-0.0056580593809485435
16250,-0.0056261466816067696
16500,-0.005609377287328243
16750,-0.005586007609963417
17000,-0.0055472454987466335
17250,-0.005523349158465862
17500,-0.005503339227288961
17750,-0.00546220364049077
18000,-0.005440074950456619
18250,-0.0054139187559485435
18500,-0.0053927055560052395
18750,-0.005378685891628265
19000,-0.005358092952519655
19250,-0.005341945216059685
19500,-0.005326792597770691
19750,-0.005310351960361004
20000,-0.005299844313412905
20250,-0.005285818129777908
20500,-0.005267071537673473
20750,-0.005247476045042276
21000,-0.005229994188994169
21250,-0.005217332858592272
21500,-0.0052007464691996574
21750,-0.005183169152587652
22000,-0.0051563153974711895
22250,-0.005134847480803728
22500,-0.005121043883264065
22750,-0.005116122309118509
23000,-0.00509288115426898
23250,-0.005063249729573727
23500,-0.005034692119807005
23750,-0.005008356180042028
24000,-0.004994702525436878
24250,-0.004977335687726736
24500,-0.0049610864371061325
24750,-0.004943518899381161
25000,-0.004926939494907856
25250,-0.0049123759381473064
25500,-0.004899940453469753
25750,-0.004886068869382143
26000,-0.00487269414588809
26250,-0.00485521275550127
26500,-0.004846570082008839
26750,-0.004840802866965532
27000,-0.004836401902139187
27250,-0.004824702627956867
27500,-0.00479839788749814
27750,-0.004778868053108454
28000,-0.004766866099089384
28250,-0.004747585393488407
28500,-0.004728608764708042
28750,-0.00470786402001977
29000,-0.004683508072048426
29250,-0.004664274398237467
29500,-0.0046495175920426846
29750,-0.004638505168259144
30000,-0.004632818046957254
30250,-0.004621587693691254
30500,-0.004616869147866964
30750,-0.004613117314875126
31000,-0.004607536364346743
31250,-0.004602910950779915
31500,-0.004597425926476717
31750,-0.004583526868373156
32000,-0.004574728198349476
32250,-0.004563261289149523
32500,-0.004540951922535896
32750,-0.004513355903327465
33000,-0.004499267321079969
33250,-0.004484138917177916
33500,-0.0044713192619383335
33750,-0.004461280070245266
34000,-0.004449915606528521
34250,-0.004437414929270744
34500,-0.004428552929311991
34750,-0.004417050629854202
35000,-0.004405949730426073
35250,-0.004396120551973581
35500,-0.004384445957839489
35750,-0.004383813589811325
36000,-0.0043799695558846
36250,-0.004377455450594425
36500,-0.004373501520603895
36750,-0.004367079585790634
37000,-0.004360543563961983
37250,-0.004352951887995005
37500,-0.004345527850091457
37750,-0.004337556194514036
38000,-0.004330121912062168
38250,-0.004313863813877106
38500,-0.004298891872167587
38750,-0.004289280157536268
39000,-0.004282748326659203
39250,-0.004265143070369959
39500,-0.004244565963745117
39750,-0.004236635286360979
40000,-0.004231897182762623
40250,-0.004225194454193115
40500,-0.004216903354972601
40750,-0.004211117513477802
41000,-0.004207691177725792
41250,-0.004205742385238409
41500,-0.0042046308517456055
41750,-0.00420309416949749
42000,-0.004198227543383837
42250,-0.004195027519017458
42500,-0.004193573724478483
42750,-0.004194117151200771
43000,-0.00419129291549325
43250,-0.004181343130767345
43500,-0.004171956330537796
43750,-0.004159868694841862
44000,-0.004149799235165119
44250,-0.004145984537899494
44500,-0.004135780036449432
44750,-0.00412351218983531
45000,-0.004109094385057688
45250,-0.004106360021978617
45500,-0.0041018323972821236
45750,-0.004098658449947834
46000,-0.004098162986338139
46250,-0.004096687771379948
46500,-0.004095497541129589
46750,-0.004094025120139122
47000,-0.004094116389751434
47250,-0.0040948884561657906
47500,-0.004091460257768631
47750,-0.004084816202521324
48000,-0.004080315586179495
48250,-0.004071635194122791
48500,-0.004063460510224104
48750,-0.004054591991007328
49000,-0.004044086206704378
49250,-0.004032222554087639
49500,-0.004020532127469778
49750,-0.004009783733636141
50000,-0.00399484159424901
50250,-0.003980870824307203
50500,-0.003972033970057964
50750,-0.003965411800891161
51000,-0.003962154034525156
51250,-0.003959338646382093
51500,-0.0039576031267642975
51750,-0.003955761902034283
52000,-0.00395442359149456
52250,-0.003951759077608585
52500,-0.003949958365410566
52750,-0.0039436048828065395
53000,-0.0039392574690282345
53250,-0.0039393967017531395
53500,-0.003937095403671265
53750,-0.003935255575925112
54000,-0.003923934884369373
54250,-0.003919797018170357
54500,-0.003913546912372112
54750,-0.0038952629547566175
55000,-0.003886133898049593
55250,-0.0038743307814002037
55500,-0.003863696940243244
55750,-0.0038537620566785336
56000,-0.00384370400570333
56250,-0.0038402187637984753
56500,-0.0038376220036298037
56750,-0.00383559288457036
57000,-0.0038351023104041815
57250,-0.003833887865766883
57500,-0.0038312471006065607
57750,-0.0038291686214506626
58000,-0.0038296827115118504
58250,-0.003828930202871561
58500,-0.0038264254108071327
58750,-0.0038234528619796038
59000,-0.0038208328187465668
59250,-0.0038184230215847492
59500,-0.0038164127618074417
59750,-0.003810787107795477
60000,-0.0038110949099063873
60250,-0.0038046385161578655
60500,-0.0038005956448614597
60750,-0.0037958356551826
61000,-0.0037887757644057274
61250,-0.0037806211039423943
61500,-0.003773267148062587
61750,-0.003769897622987628
62000,-0.0037628409918397665
62250,-0.0037588353734463453
62500,-0.0037565689999610186
62750,-0.0037559447810053825
63000,-0.003755170153453946
63250,-0.003751689800992608
63500,-0.003750225529074669
63750,-0.0037475861608982086
64000,-0.00374459195882082
64250,-0.0037381609436124563
64500,-0.003735353471711278
64750,-0.003727677743881941
65000,-0.0037206001579761505
65250,-0.0037150040734559298
65500,-0.0037104522343724966
65750,-0.0037047460209578276
66000,-0.003697187639772892
66250,-0.0036890809424221516
66500,-0.003679441986605525
66750,-0.0036770508158951998
67000,-0.003674028906971216
67250,-0.003671415150165558
67500,-0.0036672528367489576
67750,-0.0036634947173297405
68000,-0.003659392474219203
68250,-0.00365620874799788
68500,-0.0036541554145514965
68750,-0.0036506149917840958
69000,-0.0036424300633370876
69250,-0.0036360586527734995
69500,-0.0036347934510558844
69750,-0.0036324181128293276
70000,-0.003628731472417712
70250,-0.003625694429501891
70500,-0.0036170980893075466
70750,-0.0036103660240769386
71000,-0.003603400429710746
71250,-0.003599225077778101
71500,-0.0035955675411969423
71750,-0.0035914238542318344
72000,-0.0035855520982295275
72250,-0.0035812773276120424
72500,-0.003572471672669053
72750,-0.003565865335986018
73000,-0.0035637994296848774
73250,-0.003563069738447666
73500,-0.0035616853274405003
73750,-0.003558653173968196
74000,-0.0035577367525547743
74250,-0.003557374933734536
74500,-0.003555865725502372
74750,-0.003553604707121849
75000,-0.0035520028322935104
75250,-0.0035430514253675938
75500,-0.0035297044087201357
75750,-0.003519343910738826
76000,-0.003515941323712468
76250,-0.0035109305754303932
76500,-0.0035083859693259
76750,-0.003506411099806428
77000,-0.0035031987354159355
77250,-0.0035010743886232376
77500,-0.0034964121878147125
77750,-0.003492138348519802
78000,-0.0034934966824948788
78250,-0.003494113916531205
78500,-0.003492738353088498
78750,-0.003491596784442663
79000,-0.003490242874249816
79250,-0.003487499663606286
79500,-0.0034847024362534285
79750,-0.003476946149021387
80000,-0.003469988703727722
80250,-0.0034671800676733255
80500,-0.003464728593826294
80750,-0.0034624228719621897
81000,-0.0034563750959932804
81250,-0.0034545185044407845
81500,-0.003453429788351059
81750,-0.003444358706474304
82000,-0.003434962360188365
82250,-0.0034331618808209896
82500,-0.003431255929172039
82750,-0.0034290815237909555
83000,-0.003423860063776374
83250,-0.0034181729424744844
83500,-0.00341570726595819
83750,-0.003413149621337652
84000,-0.003412323771044612
84250,-0.003411093493923545
84500,-0.0034100664779543877
84750,-0.003408533288165927
85000,-0.003407558426260948
85250,-0.003405183320865035
85500,-0.0034051963593810797
85750,-0.0034044436179101467
86000,-0.003399881301447749
86250,-0.0033949660137295723
86500,-0.0033906842581927776
