step,value
250,-2.809674151649233e-05
500,-0.007042860612273216
750,-0.011758590117096901
1000,-0.02815951779484749
1250,-0.048904381692409515
1500,-0.049780040979385376
1750,-0.03861367329955101
2000,-0.03823975846171379
2250,-0.033905282616615295
2500,-0.027115661650896072
2750,-0.02306145615875721
3000,-0.01706877537071705
3250,-0.015273258090019226
3500,-0.015171053819358349
3750,-0.016352461650967598
4000,-0.02160767838358879
4250,-0.023672079667448997
4500,-0.025978906080126762
4750,-0.027445336803793907
5000,-0.027240650728344917
5250,-0.025798603892326355
5500,-0.026301806792616844
5750,-0.02741251140832901
6000,-0.025526082143187523
6250,-0.02190183661878109
6500,-0.01978033222258091
6750,-0.017208432778716087
7000,-0.015450834296643734
7250,-0.014372373931109905
7500,-0.017223553732037544
7750,-0.01775174029171467
8000,-0.015147830359637737
8250,-0.013886961154639721
8500,-0.009869287721812725
8750,-0.009675382636487484
9000,-0.01001555472612381
9250,-0.010300411842763424
9500,-0.009813258424401283
9750,-0.007686749566346407
10000,-0.005781520623713732
10250,-0.005387779790908098
10500,-0.006153288297355175
10750,-0.005508666392415762
11000,-0.007301075849682093
11250,-0.00880179088562727
11500,-0.0068355523981153965
11750,-0.005825793370604515
12000,-0.004594657104462385
12250,-0.003803832456469536
12500,-0.002985649276524782
12750,-0.002436813898384571
13000,-0.0019040652550756931
13250,-0.001791774295270443
13500,-0.0014980853302404284
13750,-0.0009290184825658798
14000,-0.0005634458502754569
14250,-0.0002949247427750379
14500,-0.0002472371270414442
14750,-0.00017829632270149887
15000,-0.00017587371985428035
15250,-0.0001994588819798082
15500,-0.0002661204489413649
15750,-0.0003338733804412186
16000,-0.000425122823799029
16250,-0.0004634979704860598
16500,-0.00040113754221238196
16750,-0.00037527570384554565
17000,-0.0005326097598299384
17250,-0.00045152183156460524
17500,-0.0004267800541128963
17750,-0.0003118558961432427
18000,-0.0002771956496872008
18250,-0.00034149622661061585
18500,-0.00026540193357504904
18750,-0.00022612606699112803
19000,-0.00027369236340746284
19250,-0.0002462111006025225
19500,-0.0001985808921745047
19750,-0.00022895069560036063
20000,-0.00018028424528893083
20250,-0.0001994564081542194
20500,-0.00023209978826344013
20750,-0.00014892582839820534
21000,-0.00013445731019601226
21250,-0.0001562641264172271
21500,-0.0001539891236461699
21750,-0.00018561884644441307
22000,-0.0001891438296297565
22250,-0.00016772732487879694
22500,-0.00020114934886805713
22750,-0.00018731012823991477
23000,-0.0001471302384743467
23250,-0.00011112492938991636
