step,value
250,4.4726868964062305e-07
500,0.0001113853941205889
750,3.867980467475718e-06
1000,2.532200824134634e-06
1250,8.866622636105603e-08
1500,2.2078338588471524e-05
1750,1.199682913011202e-07
2000,2.0850579858233687e-06
2250,4.985131862866865e-09
2500,1.130706436924811e-06
2750,4.382325641927309e-06
3000,1.2196574061817955e-07
3250,3.0541887099388987e-06
3500,3.1133392752735745e-08
3750,7.75221451476682e-06
4000,4.2896363794397985e-08
4250,1.0681194908102043e-05
4500,0.0
4750,3.967434020202276e-12
5000,9.878911022553893e-10
5250,1.9134221318495293e-08
5500,4.764420737046748e-06
5750,0.0
6000,0.0
6250,0.0
6500,0.0
6750,0.0
7000,0.0
7250,0.0
7500,0.0
7750,0.0
8000,0.0
8250,0.0
8500,0.0
8750,0.0
9000,0.0
9250,0.0
9500,0.0
9750,0.0
10000,0.0
10250,0.0
10500,0.0
10750,0.0
11000,0.0
11250,8.572868637202191e-09
11500,2.134644319085055e-06
11750,0.0
12000,0.0
12250,2.9445144100748166e-09
12500,7.540818955931172e-07
12750,5.208462425798643e-06
13000,1.2663828101722174e-06
13250,1.1607983651629183e-05
13500,1.5152291780395899e-05
13750,1.7124310033977963e-05
14000,1.3202506124798674e-05
14250,1.7599859347683378e-05
14500,3.6852752600680105e-06
14750,2.8718344765366055e-05
15000,2.304599547642283e-05
15250,1.7277288861805573e-05
15500,2.28189292101888e-05
15750,6.403936276910827e-05
16000,5.1553084631450474e-05
16250,3.390849815332331e-05
16500,8.942314161686227e-05
16750,0.00011956591333728284
17000,0.0001704442111076787
17250,0.00015166653611231595
17500,8.452484325971454e-05
17750,0.00010085762914968655
18000,0.00013993967149872333
18250,0.00017222363385371864
18500,0.00014299493341241032
18750,0.00016190150927286595
19000,0.00018495655967853963
19250,0.000190358332474716
19500,0.00016463620704598725
19750,0.00031736984965391457
20000,0.0002654032432474196
20250,0.00022020359756425023
20500,0.000248730240855366
20750,0.0002376460179220885
21000,0.00031927641248330474
21250,0.0005124621093273163
21500,0.0006905142217874527
21750,0.0027341328095644712
22000,0.0009237142512574792
22250,0.0010651941411197186
22500,0.0017797931795939803
22750,0.0013396439608186483
23000,0.0021905535832047462
23250,0.0050373743288218975
23500,0.005374209955334663
23750,0.004025155678391457
24000,0.007487501949071884
24250,0.009139345958828926
24500,0.007879270240664482
24750,0.004848943557590246
25000,0.00520713347941637
25250,0.0038792185951024294
25500,0.004915699828416109
25750,0.004820698406547308
26000,0.0050385803915560246
26250,0.009287641383707523
26500,0.006600473541766405
26750,0.006926392670720816
27000,0.007984145544469357
27250,0.00822378322482109
27500,0.010675373487174511
27750,0.01899818331003189
28000,0.0171358585357666
28250,0.013906421139836311
28500,0.016918480396270752
28750,0.018427027389407158
29000,0.01644682139158249
29250,0.023273300379514694
29500,0.030226195231080055
29750,0.03665279224514961
30000,0.04838823154568672
30250,0.04780205339193344
30500,0.06052756682038307
30750,0.08577897399663925
31000,0.08902855962514877
31250,0.11566872894763947
31500,0.1232055053114891
31750,0.13275103271007538
32000,0.15864162147045135
32250,0.14891013503074646
32500,0.15414386987686157
32750,0.18546530604362488
33000,0.2303553819656372
33250,0.28186461329460144
33500,0.28601375222206116
33750,0.31937792897224426
34000,0.3542971611022949
34250,0.41254734992980957
34500,0.4455697536468506
34750,0.4779658615589142
35000,0.5482880473136902
35250,0.5840142369270325
35500,0.6262001991271973
35750,0.6711369156837463
36000,0.7645663022994995
36250,0.8654043674468994
36500,0.9144127368927002
36750,0.9495692253112793
37000,1.0578765869140625
37250,1.1417551040649414
37500,1.1959569454193115
37750,1.4003204107284546
38000,1.3238275051116943
38250,1.3325265645980835
38500,1.3820308446884155
38750,1.4228310585021973
39000,1.4745835065841675
39250,1.6334785223007202
39500,1.6741770505905151
39750,1.7346304655075073
40000,1.9280081987380981
40250,1.8742766380310059
40500,1.9134615659713745
40750,1.9071632623672485
41000,1.6693836450576782
41250,1.6345727443695068
41500,1.410099744796753
41750,1.3087652921676636
42000,1.3165631294250488
42250,1.1905351877212524
42500,1.3438398838043213
42750,1.3889704942703247
43000,1.4875092506408691
43250,1.3740588426589966
43500,1.2496474981307983
43750,1.1132736206054688
44000,1.0388550758361816
44250,0.9587037563323975
44500,0.9127291440963745
44750,0.8700764179229736
45000,0.8877699375152588
45250,0.8615390062332153
45500,0.8490110635757446
45750,0.8371557593345642
46000,0.8055481910705566
46250,0.7629904747009277
46500,0.7976464629173279
46750,0.8030440211296082
47000,0.73212069272995
47250,0.74891197681427
47500,0.776122510433197
47750,0.7528169751167297
48000,0.7812311053276062
48250,0.7593972682952881
48500,0.7306913137435913
48750,0.705960214138031
49000,0.7174574136734009
49250,0.7034599781036377
49500,0.690747857093811
49750,0.6947121620178223
50000,0.6871092319488525
50250,0.7183284163475037
50500,0.7320234179496765
50750,0.727605938911438
51000,0.736151397228241
51250,0.7681431770324707
51500,0.7531427145004272
51750,0.7439740896224976
52000,0.7281072735786438
52250,0.7338038086891174
52500,0.7179097533226013
52750,0.7261959314346313
53000,0.7202929854393005
53250,0.7231307625770569
53500,0.7069249153137207
53750,0.7152993679046631
54000,0.7118194699287415
54250,0.7080680131912231
54500,0.7118924260139465
54750,0.6920236945152283
55000,0.7034903168678284
55250,0.6832926273345947
55500,0.6893025040626526
55750,0.6712506413459778
56000,0.6932978630065918
56250,0.6725207567214966
56500,0.6796174049377441
56750,0.6909599900245667
57000,0.669996976852417
57250,0.6756213307380676
57500,0.6715826392173767
57750,0.6763618588447571
58000,0.6405032873153687
58250,0.6618090271949768
58500,0.6472547650337219
58750,0.6254281997680664
59000,0.6489437222480774
59250,0.6426393389701843
59500,0.6301645636558533
59750,0.642795205116272
60000,0.6541465520858765
60250,0.663713276386261
60500,0.6410256028175354
60750,0.6584623456001282
61000,0.6624257564544678
61250,0.6797645092010498
61500,0.674208402633667
61750,0.6463562846183777
62000,0.6337899565696716
62250,0.6339185237884521
62500,0.6304354667663574
62750,0.6396728754043579
63000,0.6459602117538452
63250,0.6362959146499634
63500,0.6282703280448914
63750,0.643420398235321
64000,0.6407380104064941
64250,0.6355844736099243
64500,0.6507594585418701
64750,0.6272326111793518
65000,0.6452152132987976
65250,0.6262292265892029
65500,0.6248470544815063
65750,0.6340650916099548
66000,0.6402164101600647
66250,0.6186661720275879
66500,0.6387271881103516
66750,0.6372509002685547
67000,0.6421380043029785
67250,0.627255380153656
67500,0.6309446096420288
67750,0.6452643871307373
68000,0.6239898800849915
68250,0.6305907964706421
68500,0.6141477823257446
68750,0.6169304847717285
69000,0.6217888593673706
69250,0.6084811091423035
69500,0.6114199757575989
69750,0.6108933091163635
70000,0.6086231470108032
70250,0.6166062951087952
70500,0.5998004674911499
70750,0.6056426167488098
71000,0.6074614524841309
71250,0.6055375337600708
71500,0.6124377846717834
71750,0.6232572197914124
72000,0.6131704449653625
72250,0.608467161655426
72500,0.6259715557098389
72750,0.6270968317985535
73000,0.6348095536231995
73250,0.6406803131103516
73500,0.627099335193634
73750,0.6152850389480591
74000,0.6092246770858765
74250,0.6258516311645508
74500,0.6217002868652344
74750,0.6053348183631897
75000,0.5902215838432312
75250,0.5864416360855103
75500,0.5762942433357239
75750,0.5482174158096313
76000,0.5413619875907898
76250,0.5503309965133667
76500,0.54954594373703
76750,0.5765008330345154
77000,0.585797905921936
77250,0.5800288319587708
77500,0.5959866642951965
77750,0.5934627056121826
78000,0.6058196425437927
78250,0.6127259731292725
78500,0.6042520403862
78750,0.613444447517395
79000,0.6346545815467834
79250,0.6459057927131653
79500,0.6387616991996765
79750,0.634490430355072
80000,0.6505914330482483
80250,0.655007541179657
80500,0.652887225151062
80750,0.647352933883667
81000,0.6586570143699646
81250,0.6743497848510742
81500,0.6798602938652039
81750,0.6869819760322571
82000,0.6860190629959106
82250,0.6939218044281006
82500,0.693411648273468
82750,0.7091354727745056
83000,0.7111949920654297
83250,0.7013561129570007
83500,0.6956667304039001
83750,0.6965498924255371
84000,0.7246749401092529
84250,0.6971686482429504
84500,0.705130398273468
84750,0.6967266798019409
85000,0.6948814392089844
85250,0.6890133023262024
85500,0.6855877637863159
85750,0.6814898252487183
86000,0.6691066026687622
86250,0.6418417692184448
86500,0.6567949056625366
86750,0.6588924527168274
87000,0.6808958053588867
87250,0.6705765724182129
87500,0.6733000874519348
