step,value
250,0.0
500,0.0
750,0.0
1000,0.0
1250,0.0
1500,0.0
1750,0.0
2000,0.0
2250,0.0
2500,0.0
2750,0.0
3000,0.0
3250,0.0
3500,0.0
3750,0.0
4000,0.0
4250,0.0
4500,0.0
4750,0.0
5000,0.0
5250,0.0
5500,0.0
5750,0.0
6000,0.0
6250,0.0
6500,0.0
6750,0.0
7000,0.0
7250,0.0
7500,0.0
7750,0.0
8000,0.0
8250,0.0
8500,0.0
8750,0.0
9000,0.0
9250,0.0
9500,0.0
9750,0.0
10000,0.0
10250,0.0
10500,0.0
10750,0.0
11000,0.0
11250,0.0
11500,0.0
11750,0.0
12000,0.0
12250,0.0
12500,0.0
12750,0.0
13000,0.0
13250,0.0
13500,0.0
13750,0.0
14000,0.0
14250,0.0
14500,0.0
14750,0.0
15000,0.0
15250,0.0
15500,0.0
15750,0.0
16000,0.0
16250,0.0
16500,0.0
16750,0.0
17000,0.0
17250,0.0
17500,0.0
17750,0.0
18000,0.0
18250,0.0
18500,0.0
18750,0.0
19000,0.0
19250,0.0
19500,0.0
19750,0.0
20000,0.0
20250,0.0
20500,0.0
20750,0.0
21000,0.0
21250,0.0
21500,0.0
21750,0.0
22000,0.0
22250,0.0
22500,0.0
22750,0.0
23000,0.0
23250,0.0
23500,0.0
23750,0.0
24000,0.0
24250,0.0
24500,0.0
24750,0.0
25000,0.0
25250,0.0
25500,0.0
25750,8.593749953433871e-05
26000,0.02159062586724758
26250,0.048182811588048935
26500,0.08170312643051147
26750,0.0
27000,0.0
27250,0.00021875000675208867
27500,0.054468750953674316
27750,0.0001250000059371814
28000,0.03112499974668026
28250,0.0
28500,0.0
28750,0.0
29000,0.0
29250,0.0
29500,0.0
29750,0.00012187500396976247
30000,0.03047499991953373
30250,0.032276563346385956
30500,0.09311093389987946
30750,0.031754687428474426
31000,0.1576703041791916
31250,0.21949531137943268
31500,0.2102796882390976
31750,0.14495624601840973
32000,0.4440906345844269
32250,0.14089687168598175
32500,0.40293753147125244
32750,0.35905784368515015
33000,1.0593593120574951
33250,1.3481249809265137
33500,1.5626968145370483
33750,1.7138828039169312
34000,2.9384000301361084
34250,4.134655952453613
34500,4.014518737792969
34750,5.11055326461792
35000,7.542011260986328
35250,7.111050128936768
35500,7.631195068359375
35750,9.0764799118042
36000,9.058656692504883
36250,9.759406089782715
36500,10.842945098876953
36750,12.296172142028809
37000,12.310908317565918
37250,11.139358520507812
37500,11.88933277130127
37750,10.79053020477295
38000,11.064823150634766
38250,12.619089126586914
38500,13.37649154663086
38750,11.415800094604492
39000,12.042564392089844
39250,11.944939613342285
39500,12.73693561553955
39750,15.12391471862793
40000,14.756301879882812
40250,14.773516654968262
40500,15.866704940795898
40750,16.82162094116211
41000,18.12211799621582
41250,18.578529357910156
41500,20.34245491027832
41750,22.83553123474121
42000,21.56831932067871
42250,21.85655403137207
42500,23.48431968688965
42750,22.502235412597656
43000,23.64012908935547
43250,23.037630081176758
43500,24.83550262451172
43750,28.62808609008789
44000,31.157865524291992
44250,33.79877471923828
44500,34.26953125
44750,33.79337692260742
45000,36.330299377441406
45250,37.268524169921875
45500,39.356056213378906
45750,40.37553405761719
46000,40.02231216430664
46250,40.13673782348633
46500,41.696266174316406
46750,41.34354019165039
47000,39.74707794189453
47250,42.913063049316406
47500,43.53830337524414
47750,43.352935791015625
48000,44.276371002197266
48250,43.84571075439453
48500,45.50242614746094
48750,45.810821533203125
49000,44.90731430053711
49250,44.97515106201172
49500,44.337890625
49750,45.804508209228516
50000,47.705875396728516
50250,47.80796432495117
50500,48.23724365234375
50750,48.954833984375
51000,49.675201416015625
51250,50.40525817871094
51500,50.357582092285156
51750,51.463294982910156
52000,50.49269104003906
52250,50.2289924621582
52500,50.25300216674805
52750,51.09941482543945
53000,51.63197708129883
53250,51.13698196411133
53500,52.369407653808594
53750,52.153594970703125
54000,54.409549713134766
54250,54.24890899658203
54500,51.84513854980469
54750,53.85020065307617
55000,55.25991439819336
55250,54.808345794677734
55500,54.16238784790039
55750,54.03992462158203
56000,54.830230712890625
56250,52.93681335449219
56500,56.356468200683594
56750,54.17365646362305
57000,54.2274284362793
57250,54.248313903808594
57500,54.31264114379883
57750,53.763370513916016
58000,53.68891143798828
58250,53.75297164916992
58500,54.88002395629883
58750,54.47861099243164
59000,54.69810485839844
59250,54.90697479248047
59500,54.79914474487305
59750,55.55956268310547
60000,55.79737091064453
60250,54.85068130493164
60500,55.024356842041016
60750,56.12129592895508
61000,54.526302337646484
61250,56.50023651123047
61500,55.48500442504883
61750,54.675872802734375
62000,56.44503402709961
62250,55.50230407714844
62500,56.077674865722656
62750,56.54930877685547
63000,56.76496887207031
63250,56.59809112548828
63500,55.63959503173828
63750,56.54790115356445
64000,55.92815017700195
64250,56.037925720214844
64500,57.6927375793457
64750,55.788326263427734
65000,56.089115142822266
65250,55.41715621948242
65500,54.346595764160156
65750,56.11980438232422
66000,54.82489013671875
66250,54.609474182128906
66500,56.287376403808594
66750,56.255672454833984
67000,56.21051788330078
67250,56.493961334228516
67500,56.3497314453125
67750,55.79545211791992
68000,55.73482894897461
68250,56.236515045166016
68500,56.37805938720703
68750,55.972190856933594
69000,55.85664367675781
69250,55.86166000366211
69500,56.917842864990234
69750,57.17593765258789
70000,56.5372428894043
70250,57.43994140625
70500,56.19708251953125
70750,55.666259765625
71000,56.014930725097656
71250,55.067684173583984
71500,55.87202835083008
71750,55.91151428222656
72000,56.247135162353516
72250,55.6351203918457
72500,56.78593444824219
