step,value
250,-3.687462367452099e-06
500,-0.0009218784980475903
750,-0.0009252975578419864
1000,-0.0009741466492414474
1250,-0.001042123418301344
1500,-0.0010271677747368813
1750,-0.0009708539582788944
2000,-0.0009337661904282868
2250,-0.0008903327398002148
2500,-0.0008381347288377583
2750,-0.0007998893270269036
3000,-0.0007755973492749035
3250,-0.0007544121472164989
3500,-0.0007445626542903483
3750,-0.0007381190080195665
4000,-0.0007578983204439282
4250,-0.0007697783294133842
4500,-0.0007546408451162279
4750,-0.0007526585250161588
5000,-0.0007419174071401358
5250,-0.0007250222843140364
5500,-0.0007086519035510719
5750,-0.0006900682928971946
6000,-0.0006824488518759608
6250,-0.0006761611439287663
6500,-0.0006726281717419624
6750,-0.0006616697064600885
7000,-0.0006582941277883947
7250,-0.0006492424290627241
7500,-0.0006512965192086995
7750,-0.0006469945656135678
8000,-0.000643256469629705
8250,-0.0006391306524164975
8500,-0.00063561019487679
8750,-0.0006357274833135307
9000,-0.0006301708053797483
9250,-0.0006268622237257659
9500,-0.0006258593639358878
9750,-0.0006239198264665902
10000,-0.0006167628453113139
10250,-0.0006111185066401958
10500,-0.0006092072580941021
10750,-0.0006027868366800249
11000,-0.0006010254728607833
11250,-0.0006003242451697588
11500,-0.0005973703227937222
11750,-0.0005966070457361639
12000,-0.0005968361510895193
12250,-0.0005951632629148662
12500,-0.0005943846190348268
12750,-0.0005914696375839412
13000,-0.0005919359973631799
13250,-0.0005909253959544003
13500,-0.0005906657315790653
13750,-0.0005897897644899786
14000,-0.0005877042422071099
14250,-0.0005890581523999572
14500,-0.0005897782975807786
14750,-0.0005887220031581819
15000,-0.00058806745801121
15250,-0.0005871254834346473
15500,-0.0005857949145138264
15750,-0.0005865637795068324
16000,-0.0005867354921065271
16250,-0.0005886447033844888
16500,-0.0005877782241441309
16750,-0.0005899028619751334
17000,-0.0005910650943405926
17250,-0.0005915512447245419
17500,-0.0005908078164793551
17750,-0.0005912953638471663
18000,-0.0005887796869501472
18250,-0.000588472350500524
18500,-0.0005888990126550198
18750,-0.0005889131571166217
19000,-0.0005902018747292459
19250,-0.0005890005850233138
19500,-0.0005911608459427953
19750,-0.0005901692202314734
20000,-0.0005894926143810153
20250,-0.0005916659138165414
20500,-0.0005924105062149465
20750,-0.0005919011891819537
21000,-0.0005928422906436026
21250,-0.0005926410667598248
21500,-0.0005948309553787112
21750,-0.0005932537605985999
22000,-0.0005932945059612393
22250,-0.0005937244859524071
22500,-0.0005895124631933868
22750,-0.0005865921848453581
23000,-0.0005828834837302566
23250,-0.0005814428441226482
23500,-0.0005826933193020523
23750,-0.0005824785330332816
24000,-0.0005819665384478867
24250,-0.0005800371873192489
24500,-0.0005828668945468962
24750,-0.0005820938968099654
25000,-0.0005836632917635143
25250,-0.0005870127934031188
25500,-0.0005817720084451139
25750,-0.0005888654850423336
26000,-0.0005884062265977263
26250,-0.0005839580553583801
26500,-0.000579816463869065
26750,-0.0005816347547806799
27000,-0.0005805610562674701
27250,-0.000578614417463541
27500,-0.0005771100404672325
27750,-0.0005739137995988131
28000,-0.0005706875817850232
28250,-0.0005703448550775647
28500,-0.0005650364328175783
28750,-0.0005637353169731796
29000,-0.000567611597944051
29250,-0.0005651272367686033
29500,-0.0005601929151453078
29750,-0.0005655998829752207
30000,-0.0005638289148919284
30250,-0.0005587704945355654
30500,-0.0005596491391770542
30750,-0.0005591048975475132
31000,-0.0005554668023250997
31250,-0.0005521924467757344
31500,-0.0005533954245038331
31750,-0.0005496082594618201
32000,-0.0005526606109924614
32250,-0.0005474428180605173
32500,-0.0005468692979775369
32750,-0.0005462164408527315
33000,-0.0005526264430955052
33250,-0.0005440246895886958
33500,-0.0005414324114099145
33750,-0.0005390956648625433
34000,-0.000545726390555501
34250,-0.0005436019273474813
34500,-0.0005369694554246962
34750,-0.0005473102792166173
35000,-0.0005455950740724802
35250,-0.0005507301539182663
35500,-0.0005427307332865894
35750,-0.0005416672793217003
36000,-0.0005353876040317118
36250,-0.0005387846613302827
36500,-0.0005386779666878283
36750,-0.0005399181391112506
37000,-0.0005387746496126056
37250,-0.0005338762421160936
37500,-0.0005321140051819384
37750,-0.0005228769150562584
38000,-0.0005252950941212475
38250,-0.0005279842880554497
38500,-0.000514387444127351
38750,-0.0005211232346482575
39000,-0.0005180429434403777
39250,-0.0005195980193093419
39500,-0.0005175084806978703
39750,-0.000523518945556134
40000,-0.0005167098133824766
40250,-0.0005205846391618252
40500,-0.0005184541223570704
40750,-0.0005258079618215561
41000,-0.0005268421373330057
41250,-0.0005300272605381906
41500,-0.0005286944797262549
41750,-0.0005260563921183348
42000,-0.0005203924374654889
42250,-0.000524328148458153
42500,-0.0005258523742668331
42750,-0.0005217267316766083
43000,-0.0005233550327830017
43250,-0.0005282694473862648
43500,-0.0005252833943814039
43750,-0.0005323638906702399
44000,-0.0005322302458807826
44250,-0.0005356632173061371
44500,-0.0005317851318977773
44750,-0.0005328808911144733
45000,-0.0005430507590062916
45250,-0.0005528568872250617
45500,-0.0005498438258655369
45750,-0.0005522124120034277
46000,-0.0005576154799200594
46250,-0.000553860270883888
46500,-0.0005563569720834494
46750,-0.0005634388653561473
47000,-0.0005582053563557565
47250,-0.0005575745599344373
47500,-0.0005550785572268069
47750,-0.0005585391190834343
48000,-0.0005583062302321196
48250,-0.0005666789365932345
48500,-0.0005691988044418395
48750,-0.0005701553891412914
49000,-0.000563647598028183
49250,-0.0005727088428102434
49500,-0.0005757065373472869
49750,-0.000578370236326009
50000,-0.0005780035862699151
50250,-0.0005850789602845907
50500,-0.000585786416195333
50750,-0.0005863393889740109
51000,-0.0005869336891919374
51250,-0.000589260715059936
51500,-0.0005862885736860335
51750,-0.0005851461319252849
52000,-0.0005816444754600525
52250,-0.0005861467798240483
52500,-0.0005854783812537789
52750,-0.0005744663067162037
53000,-0.0005758637562394142
53250,-0.0005783104570582509
53500,-0.0005789404967799783
53750,-0.0005772726726718247
54000,-0.0005763683584518731
54250,-0.000576211023144424
54500,-0.0005851121968589723
54750,-0.0005790966679342091
55000,-0.0005750872660428286
55250,-0.000577774306293577
55500,-0.000580717867705971
55750,-0.0005787975969724357
56000,-0.0005798443453386426
56250,-0.0005801135557703674
56500,-0.000572140037547797
56750,-0.0005655303248204291
57000,-0.0005686938529834151
57250,-0.0005695691215805709
57500,-0.0005647354410029948
57750,-0.0005695871659554541
58000,-0.0005711797275580466
58250,-0.0005705857183784246
58500,-0.0005708885146304965
58750,-0.0005720964400097728
59000,-0.0005689858226105571
59250,-0.0005687943194061518
59500,-0.0005687592783942819
59750,-0.0005721608176827431
60000,-0.0005717614549212158
60250,-0.0005759880878031254
60500,-0.0005694273859262466
60750,-0.0005698335589841008
61000,-0.0005738958134315908
61250,-0.0005740824271924794
61500,-0.0005759283667430282
61750,-0.0005754189332947135
62000,-0.0005789592978544533
62250,-0.0005744564696215093
62500,-0.0005775860627181828
62750,-0.0005813207826577127
63000,-0.0005732675199396908
63250,-0.000574238714762032
63500,-0.0005767412367276847
63750,-0.0005690465332008898
64000,-0.0005759880878031254
64250,-0.0005743629299104214
64500,-0.0005708855460397899
64750,-0.0005759449559263885
65000,-0.0005795370088890195
65250,-0.0005799030768685043
65500,-0.0005819168291054666
65750,-0.0005773333250544965
66000,-0.0005773614393547177
66250,-0.0005771040450781584
66500,-0.0005707713426090777
66750,-0.0005776872276328504
67000,-0.0005744802765548229
67250,-0.0005739406915381551
67500,-0.0005735019221901894
67750,-0.0005758420447818935
68000,-0.0005809935973957181
68250,-0.0005778032937087119
68500,-0.0005805540713481605
68750,-0.0005794031312689185
69000,-0.0005799171049147844
69250,-0.000578945386223495
69500,-0.0005758615443482995
69750,-0.0005831896560266614
70000,-0.0005792234442196786
70250,-0.0005774390301667154
70500,-0.0005852514295838773
70750,-0.000584330060519278
71000,-0.0005800921353511512
71250,-0.0005855511408299208
71500,-0.0005839279037900269
71750,-0.000580497260671109
72000,-0.0005858780932612717
72250,-0.0005931143532507122
72500,-0.0005867912550456822
72750,-0.0005889467429369688
73000,-0.0005889522726647556
73250,-0.0005950965569354594
73500,-0.0005931741325184703
73750,-0.000597934820689261
74000,-0.0005942765274085104
74250,-0.0005947013269178569
74500,-0.0006017654668539762
74750,-0.0006049100775271654
75000,-0.0006134858122095466
75250,-0.0006096433498896658
75500,-0.0006137287127785385
75750,-0.0006304901908151805
76000,-0.000635128584690392
76250,-0.0006321619148366153
76500,-0.0006265355041250587
76750,-0.0006286288262344897
77000,-0.0006197646725922823
77250,-0.0006212200387381017
77500,-0.0006185284582898021
77750,-0.0006253133760765195
78000,-0.0006190819549374282
78250,-0.0006233250605873764
78500,-0.000620069622527808
78750,-0.0006259721121750772
79000,-0.0006169892731122673
79250,-0.0006179351476021111
79500,-0.0006230553844943643
79750,-0.0006200688658282161
80000,-0.0006212444859556854
80250,-0.0006152018322609365
80500,-0.0006194778252393007
80750,-0.0006234108004719019
81000,-0.0006185438251122832
81250,-0.000612481206189841
81500,-0.0006128880195319653
81750,-0.0006086855428293347
82000,-0.000609296141192317
82250,-0.0006095803109928966
82500,-0.0006060066516511142
82750,-0.0006019589491188526
83000,-0.0006029006326571107
83250,-0.0006078897858969867
83500,-0.0006057704449631274
83750,-0.0006050341762602329
84000,-0.0006100546452216804
84250,-0.0006061582244001329
84500,-0.0006055349949747324
84750,-0.0006094611017033458
85000,-0.0006069450173527002
85250,-0.0006132639828138053
85500,-0.0006123695056885481
85750,-0.0006085094646550715
86000,-0.0006093488773331046
86250,-0.0006100201862864196
86500,-0.0006075607379898429
86750,-0.0006159964832477272
87000,-0.0006133656715974212
87250,-0.0006189052946865559
87500,-0.0006178110488690436
87750,-0.0006157980533316731
88000,-0.0006131393020041287
88250,-0.0006148830871097744
88500,-0.0006233020685613155
88750,-0.000623860047198832
89000,-0.0006297121872194111
89250,-0.0006264502299018204
89500,-0.0006293915212154388
89750,-0.0006366038578562438
90000,-0.0006330654141493142
90250,-0.000629470101557672
90500,-0.0006351823685690761
90750,-0.0006287359865382314
91000,-0.0006358347600325942
91250,-0.0006367790047079325
91500,-0.0006358647951856256
91750,-0.000631519069429487
92000,-0.0006366431480273604
92250,-0.0006242588278837502
92500,-0.0006268202560022473
92750,-0.0006285227718763053
93000,-0.0006310653407126665
93250,-0.000624564359895885
93500,-0.0006335749640129507
93750,-0.000634624797385186
94000,-0.0006338750827126205
94250,-0.0006398370023816824
94500,-0.0006352374912239611
94750,-0.00063878990476951
95000,-0.0006412627990357578
95250,-0.000642666534986347
95500,-0.0006417680415324867
95750,-0.0006401977152563632
96000,-0.0006419237470254302
96250,-0.0006412541843019426
96500,-0.000645997584797442
96750,-0.0006433310336433351
97000,-0.0006433028029277921
97250,-0.0006494528497569263
97500,-0.0006443741731345654
97750,-0.0006461417069658637
98000,-0.000651600887067616
98250,-0.0006401028949767351
98500,-0.0006474233232438564
98750,-0.0006423777667805552
99000,-0.0006565603544004261
99250,-0.0006544209900312126
99500,-0.000651686277706176
99750,-0.0006593196303583682
100000,-0.0006532237166538835
100250,-0.0006581953493878245
100500,-0.0006589243421331048
100750,-0.0006677195196971297
101000,-0.0006667050183750689
101250,-0.0006711031892336905
101500,-0.0006767456070519984
101750,-0.0006776227382943034
102000,-0.0006755272625014186
102250,-0.0006741465767845511
102500,-0.0006735915085300803
102750,-0.0006671154987998307
103000,-0.0006792264757677913
103250,-0.0006838292465545237
103500,-0.0006764280842617154
103750,-0.0006791772320866585
104000,-0.0006829258636571467
104250,-0.000680825614836067
104500,-0.000682984886225313
104750,-0.0006877144915051758
105000,-0.0006867838674224913
105250,-0.0006841442082077265
105500,-0.000682540237903595
105750,-0.0006825670134276152
106000,-0.0006850746576674283
106250,-0.0006852885126136243
106500,-0.0006913269171491265
106750,-0.0006921814638189971
107000,-0.0006939791492186487
107250,-0.0006924226181581616
107500,-0.0006905316840857267
107750,-0.0006914252298884094
108000,-0.0006960403406992555
108250,-0.0007014564471319318
108500,-0.000697296520229429
108750,-0.0006958360318094492
109000,-0.0006996208685450256
109250,-0.0006947996444068849
109500,-0.0007000721525400877
109750,-0.0007003654609434307
110000,-0.00070858997059986
110250,-0.0007061518845148385
110500,-0.0007052358123473823
110750,-0.0007078018970787525
111000,-0.0007014262373559177
111250,-0.0006949772941879928
111500,-0.000693167676217854
111750,-0.0006878182757645845
112000,-0.0006913319230079651
112250,-0.0006853924132883549
112500,-0.0006914252298884094
112750,-0.0006897840066812932
113000,-0.0006936551071703434
113250,-0.0006913594552315772
113500,-0.0006964024505577981
113750,-0.000687057210598141
114000,-0.0006932495743967593
114250,-0.0006976373842917383
114500,-0.0006884296308271587
114750,-0.0006910258089192212
115000,-0.000687715073581785
115250,-0.0006925462512299418
115500,-0.0006937591824680567
115750,-0.0006920260493643582
116000,-0.0006884140311740339
116250,-0.0006901927408762276
116500,-0.0006828911136835814
116750,-0.0006903736502863467
117000,-0.0006871683872304857
117250,-0.0006869910866953433
117500,-0.0006862917216494679
117750,-0.0006920649320818484
118000,-0.0006934299599379301
118250,-0.0006890946533530951
118500,-0.0006896270788274705
118750,-0.0006896230042912066
119000,-0.0006900035659782588
119250,-0.0006894877878949046
119500,-0.0006844403687864542
119750,-0.0006928793736733496
120000,-0.0006911178934387863
120250,-0.0006874176906421781
120500,-0.0006867675110697746
120750,-0.0006902187597006559
121000,-0.0006862790323793888
121250,-0.0006804570439271629
