step,value
250,237.0
500,500.0
750,731.0
1000,825.0
1250,825.0
1500,825.0
1750,825.0
2000,825.0
2250,825.0
2500,825.0
2750,825.0
3000,825.0
3250,825.0
3500,825.0
3750,825.0
4000,825.0
4250,825.0
4500,825.0
4750,825.0
5000,825.0
5250,825.0
5500,825.0
5750,825.0
6000,825.0
6250,825.0
6500,825.0
6750,825.0
7000,825.0
7250,825.0
7500,825.0
7750,825.0
8000,825.0
8250,825.0
8500,825.0
8750,825.0
9000,825.0
9250,825.0
9500,825.0
9750,825.0
10000,825.0
10250,825.0
10500,825.0
10750,825.0
11000,825.0
11250,825.0
11500,825.0
11750,825.0
12000,825.0
12250,825.0
12500,825.0
12750,825.0
13000,825.0
13250,825.0
13500,825.0
13750,825.0
14000,825.0
14250,825.0
14500,825.0
14750,825.0
15000,825.0
15250,825.0
15500,825.0
15750,825.0
16000,825.0
16250,825.0
16500,825.0
16750,825.0
17000,825.0
17250,825.0
17500,825.0
17750,825.0
18000,825.0
18250,825.0
18500,825.0
18750,825.0
19000,825.0
19250,825.0
19500,825.0
19750,825.0
20000,825.0
