step,value
250,235.23529052734375
500,310.9098815917969
750,608.4000244140625
1000,817.3165283203125
1250,613.0595092773438
1500,618.6357421875
1750,781.8060302734375
2000,552.282958984375
2250,721.0525512695312
2500,764.8486328125
2750,771.6505737304688
3000,687.1220703125
3250,734.574462890625
3500,822.5831909179688
3750,794.6699829101562
4000,779.800537109375
4250,814.5489501953125
4500,774.0243530273438
4750,783.2483520507812
5000,805.2870483398438
5250,779.9514770507812
5500,747.2786865234375
5750,807.2901000976562
6000,824.0806274414062
6250,709.4754028320312
6500,784.9194946289062
6750,820.0946044921875
7000,773.2562866210938
7250,759.619873046875
7500,807.5813598632812
7750,749.7894897460938
8000,790.6874389648438
8250,818.6305541992188
8500,704.930908203125
8750,765.1155395507812
9000,822.1454467773438
9250,824.8084716796875
9500,792.0939331054688
9750,801.0075073242188
10000,820.8658447265625
10250,720.88134765625
10500,810.9249267578125
10750,800.3659057617188
11000,817.5088500976562
11250,797.5692749023438
11500,798.6112060546875
11750,822.8452758789062
12000,781.2827758789062
12250,813.0654296875
12500,819.7070922851562
12750,781.7324829101562
13000,801.8482055664062
13250,815.452880859375
13500,796.8679809570312
13750,786.8185424804688
14000,819.5060424804688
14250,821.3799438476562
14500,800.275146484375
14750,793.5484008789062
15000,822.3973388671875
15250,807.69580078125
15500,785.9724731445312
15750,814.1199340820312
16000,770.6446533203125
16250,801.3563842773438
16500,809.3016967773438
16750,778.7326049804688
17000,798.2798461914062
17250,816.3165283203125
17500,823.987548828125
17750,788.2195434570312
18000,816.9578247070312
18250,821.2620239257812
18500,820.8560180664062
18750,798.6318969726562
19000,818.4144287109375
19250,765.8262329101562
19500,819.381591796875
19750,818.7348022460938
20000,824.6256103515625
