step,value
250,-0.0183815099298954
500,-0.31940165162086487
750,-0.4643538296222687
1000,-0.46603643894195557
1250,-0.4038931131362915
1500,-0.4319393038749695
1750,-0.4696032404899597
2000,-0.3842754364013672
2250,-0.43843382596969604
2500,-0.47557252645492554
2750,-0.45136356353759766
3000,-0.4142538905143738
3250,-0.46963199973106384
3500,-0.4639880061149597
3750,-0.4473482370376587
4000,-0.44149869680404663
4250,-0.4726324677467346
4500,-0.45443591475486755
4750,-0.4624062478542328
5000,-0.4679267406463623
5250,-0.45795169472694397
5500,-0.4491994082927704
5750,-0.47486796975135803
6000,-0.4498738944530487
6250,-0.4356009066104889
6500,-0.4609905779361725
6750,-0.4739767014980316
7000,-0.4516916573047638
7250,-0.49140694737434387
7500,-0.49061352014541626
7750,-0.46034562587738037
8000,-0.475015252828598
8250,-0.4737294018268585
8500,-0.46591833233833313
8750,-0.4581894278526306
9000,-0.47842100262641907
9250,-0.4854837954044342
9500,-0.48117682337760925
9750,-0.4892272353172302
10000,-0.49153977632522583
10250,-0.4128986597061157
10500,-0.4943016767501831
10750,-0.4785168468952179
11000,-0.4496821165084839
11250,-0.47853004932403564
11500,-0.4706134796142578
11750,-0.49607717990875244
12000,-0.4627055525779724
12250,-0.47689682245254517
12500,-0.46929287910461426
12750,-0.4690118432044983
13000,-0.47022438049316406
13250,-0.487212598323822
13500,-0.44880685210227966
13750,-0.4573923945426941
14000,-0.4811148941516876
14250,-0.47009721398353577
14500,-0.4727630317211151
14750,-0.4722857177257538
15000,-0.47507303953170776
15250,-0.4721654951572418
15500,-0.48801255226135254
15750,-0.47579243779182434
16000,-0.46269047260284424
16250,-0.47304239869117737
16500,-0.48187732696533203
16750,-0.48712658882141113
17000,-0.4788658916950226
17250,-0.485579252243042
17500,-0.47618088126182556
17750,-0.4533763527870178
18000,-0.48302963376045227
18250,-0.48138192296028137
18500,-0.46428585052490234
18750,-0.48032936453819275
19000,-0.4651621878147125
19250,-0.4363977611064911
19500,-0.4927006661891937
19750,-0.4726989269256592
20000,-0.4832439124584198
