step,value
250,-0.000906988512724638
500,-0.01985936239361763
750,-0.03400410711765289
1000,-0.041833169758319855
1250,-0.03604722395539284
1500,-0.034817829728126526
1750,-0.0411515012383461
2000,-0.031320590525865555
2250,-0.03768491372466087
2500,-0.041519321501255035
2750,-0.04092264175415039
3000,-0.035321589559316635
3250,-0.03902905061841011
3500,-0.04142717272043228
3750,-0.03959348052740097
4000,-0.03848007693886757
4250,-0.04182032123208046
4500,-0.040818728506565094
4750,-0.04054912179708481
5000,-0.0412278026342392
5250,-0.03999551013112068
5500,-0.03909097984433174
5750,-0.040936656296253204
6000,-0.0393957644701004
6250,-0.037254881113767624
6500,-0.0398915559053421
6750,-0.041537921875715256
7000,-0.037611424922943115
7250,-0.04190411791205406
7500,-0.041600629687309265
7750,-0.0397200807929039
8000,-0.0408022366464138
8250,-0.04098169878125191
8500,-0.03957829624414444
8750,-0.03834599256515503
9000,-0.041060686111450195
9250,-0.041295427829027176
9500,-0.040523335337638855
9750,-0.04125697910785675
10000,-0.041260093450546265
10250,-0.031926460564136505
10500,-0.04087469354271889
10750,-0.040463898330926895
11000,-0.038779277354478836
11250,-0.040848854929208755
11500,-0.04009890928864479
11750,-0.04098115861415863
12000,-0.03867054730653763
12250,-0.040744848549366
12500,-0.04043913632631302
12750,-0.03886115923523903
13000,-0.039632055908441544
13250,-0.041334133595228195
13500,-0.03805657848715782
13750,-0.03905247524380684
14000,-0.04096795618534088
14250,-0.03977623209357262
14500,-0.040106985718011856
14750,-0.040581487119197845
15000,-0.04081229865550995
15250,-0.040341462939977646
15500,-0.04098000377416611
15750,-0.04097318276762962
16000,-0.039693210273981094
16250,-0.04027431085705757
16500,-0.040960464626550674
16750,-0.04126009717583656
17000,-0.040680624544620514
17250,-0.041312605142593384
17500,-0.04053535684943199
17750,-0.03878777101635933
18000,-0.04112726077437401
18250,-0.04147036001086235
18500,-0.04003332927823067
18750,-0.04034791886806488
19000,-0.039373572915792465
19250,-0.034602563828229904
19500,-0.0416228361427784
19750,-0.04046342149376869
20000,-0.04158317670226097
